orf	hap a | growth (streaks on agar) | sirolimus [25 nM] | discrete | discrete | discrete
YAL009W	0.01
YAL021C	0.0001
YBR200W	0.001
YCL008C	0.01
YCR002C	0.01
YCR009C	100.0
YDR049W	0.0001
YDR075W	100.0
YDR079W	100.0
YDR080W	0.001
YDR099W	0.1
YDR150W	0.01
YDR158W	0.0001
YDR159W	0.0001
YDR162C	0.001
YDR169C	100.0
YDR173C	0.01
YDR227W	100.0
YDR237W	100.0
YDR348C	0.01
YDR359C	0.001
YDR382W	0.01
YDR405W	0.01
YDR418W	0.001
YDR432W	0.001
YDR433W	0.01
YEL013W	0.001
YEL031W	100.0
YEL061C	0.0001
YER040W	1000.0
YER052C	0.0001
YER070W	0.01
YGL211W	0.001
YGL212W	0.001
YGL223C	0.001
YGL237C	100.0
YGL252C	0.001
YGR034W	10.0
YGR055W	0.001
YGR057C	0.0001
YGR112W	100.0
YGR135W	0.001
YGR171C	100.0
YGR208W	0.001
YHL015W	0.0001
YHL027W	0.001
YHR004C	0.0001
YHR021C	0.0001
YHR030C	0.0001
YHR041C	0.01
YHR111W	0.001
YHR142W	0.0001
YHR146W	0.001
YJL140W	100.0
YJL183W	0.0001
YKL041W	0.01
YKL110C	0.01
YKL176C	0.01
YLR025W	0.001
YLR027C	0.01
YLR055C	100.0
YLR056W	0.01
YLR079W	0.01
YLR148W	0.0001
YLR177W	100.0
YLR182W	0.001
YLR239C	0.01
YLR318W	0.01
YML001W	0.001
YML017W	100.0
YML062C	0.01
YMR021C	100.0
YMR024W	100.0
YMR032W	0.001
YMR038C	1000.0
YMR198W	0.01
YMR263W	100.0
YNL229C	0.0001
YOR036W	0.01
YOR080W	0.0001
YOR106W	0.001
YOR184W	0.001
YPL104W	100.0
YPL118W	100.0
YPL129W	0.0001
YPL144W	0.001
YPL152W	100.0
YPL161C	100.0
YPL173W	100.0
YPL174C	0.01
YPL179W	100.0
YPL234C	0.01
YPL254W	0.0001
YPR120C	0.01
YPR124W	1000.0
YPR135W	0.01
YPR159W	0.01
YPR160W	0.01
YPR173C	0.01
YPR194C	0.001
