orf	hap a | growth (streaks on agar) | sirolimus [25 nM] | discrete | discrete | discrete
YAL009W	-4.959808629169418
YAL021C	-9.84559026387362
YBR200W	-7.402699446521519
YCL008C	-4.959808629169418
YCR002C	-4.959808629169418
YCR009C	4.811754640238987
YDR049W	-9.84559026387362
YDR075W	4.811754640238987
YDR079W	4.811754640238987
YDR080W	-7.402699446521519
YDR099W	-2.5169178118173163
YDR150W	-4.959808629169418
YDR158W	-9.84559026387362
YDR159W	-9.84559026387362
YDR162C	-7.402699446521519
YDR169C	4.811754640238987
YDR173C	-4.959808629169418
YDR227W	4.811754640238987
YDR237W	4.811754640238987
YDR348C	-4.959808629169418
YDR359C	-7.402699446521519
YDR382W	-4.959808629169418
YDR405W	-4.959808629169418
YDR418W	-7.402699446521519
YDR432W	-7.402699446521519
YDR433W	-4.959808629169418
YEL013W	-7.402699446521519
YEL031W	4.811754640238987
YEL061C	-9.84559026387362
YER040W	7.254645457591088
YER052C	-9.84559026387362
YER070W	-4.959808629169418
YGL211W	-7.402699446521519
YGL212W	-7.402699446521519
YGL223C	-7.402699446521519
YGL237C	4.811754640238987
YGL252C	-7.402699446521519
YGR034W	2.368863822886886
YGR055W	-7.402699446521519
YGR057C	-9.84559026387362
YGR112W	4.811754640238987
YGR135W	-7.402699446521519
YGR171C	4.811754640238987
YGR208W	-7.402699446521519
YHL015W	-9.84559026387362
YHL027W	-7.402699446521519
YHR004C	-9.84559026387362
YHR021C	-9.84559026387362
YHR030C	-9.84559026387362
YHR041C	-4.959808629169418
YHR111W	-7.402699446521519
YHR142W	-9.84559026387362
YHR146W	-7.402699446521519
YJL140W	4.811754640238987
YJL183W	-9.84559026387362
YKL041W	-4.959808629169418
YKL110C	-4.959808629169418
YKL176C	-4.959808629169418
YLR025W	-7.402699446521519
YLR027C	-4.959808629169418
YLR055C	4.811754640238987
YLR056W	-4.959808629169418
YLR079W	-4.959808629169418
YLR148W	-9.84559026387362
YLR177W	4.811754640238987
YLR182W	-7.402699446521519
YLR239C	-4.959808629169418
YLR318W	-4.959808629169418
YML001W	-7.402699446521519
YML017W	4.811754640238987
YML062C	-4.959808629169418
YMR021C	4.811754640238987
YMR024W	4.811754640238987
YMR032W	-7.402699446521519
YMR038C	7.254645457591088
YMR198W	-4.959808629169418
YMR263W	4.811754640238987
YNL229C	-9.84559026387362
YOR036W	-4.959808629169418
YOR080W	-9.84559026387362
YOR106W	-7.402699446521519
YOR184W	-7.402699446521519
YPL104W	4.811754640238987
YPL118W	4.811754640238987
YPL129W	-9.84559026387362
YPL144W	-7.402699446521519
YPL152W	4.811754640238987
YPL161C	4.811754640238987
YPL173W	4.811754640238987
YPL174C	-4.959808629169418
YPL179W	4.811754640238987
YPL234C	-4.959808629169418
YPL254W	-9.84559026387362
YPR120C	-4.959808629169418
YPR124W	7.254645457591088
YPR135W	-4.959808629169418
YPR159W	-4.959808629169418
YPR160W	-4.959808629169418
YPR173C	-4.959808629169418
YPR194C	-7.402699446521519
