ORF	hom | growth (relative abundance in pooled culture) | UVB [6,400 J/m2] | Birrell GW~Brown JM, 2001	hom | growth (relative abundance in pooled culture) | UVC [200 J/m2] | Birrell GW~Brown JM, 2001
YML095C	-3.200	-3.082
YER162C	-3.296	-3.205
YLR032W	-2.529	-2.556
YMR201C	-2.912	-2.762
YGR258C	-3.555	-3.417
YMR137C	-0.141	-0.187
YPL022W	-3.120	-2.898
YGL087C	-1.258	-1.493
YJL092W	-1.535	-1.687
YPL167C	-0.184	-0.274
YGL175C	-0.567	-0.682
YIL154C	-0.047	-0.007
YDR076W	-0.800	-0.757
YOR346W	-0.232	-0.340
YDL059C	-1.133	-1.266
YJR043C	-0.516	-0.539
YIL139C	-0.513	-0.676
YCR066W	-1.668	-1.546
YIL132C	-0.222	-0.249
YDR386W	-1.889	-1.807
YBR098W	-1.521	-1.545
YDR004W	-0.628	-0.844
YEL037C	-1.746	-2.148
YNL201C	-0.182	-0.289
YLR376C	-0.279	-0.309
YNL197C	0.049	0.024
YDR075W	-0.224	-0.289
YIR002C	-0.422	-0.470
YBR099C	-1.162	-1.320
YLR135W	-0.210	-0.253
YOR039W	-0.113	-0.057
YHL006C	-0.247	-0.217
YHL031C	NaN	NaN
YDR078C	-0.143	-0.232
YLL043W	-0.135	-0.367
YKL048C	-0.317	-0.615
YKL076C	-0.465	-0.528
YOL081W	-0.230	-0.194
YDL160C	-0.207	-0.348
YJL129C	-0.002	0.072
YGL071W	-0.363	-0.400
YHR030C	-0.233	-0.353
YAL021C	-0.462	-0.428
YDR484W	0.117	0.076
YBR073W	-0.317	-0.393
YJL165C	-0.035	-0.089
YLR426W	-0.238	-0.247
YGL012W	0.044	0.055
YCL016C	-0.583	-0.519
YIL156W	-0.071	-0.030
YHR134W	-0.662	-0.723
YER016W	-0.161	-0.158
YDR409W	-0.222	-0.438
YAR002W	-0.168	-0.335
YGL019W	-0.115	-0.266
YMR039C	-0.162	-0.316
YIL005W	-0.003	-0.054
YNL107W	-0.396	-0.726
YER089C	-0.114	-0.103
YCR009C	NaN	NaN
YMR214W	-0.045	-0.037
YDL101C	-0.686	-1.029
YDL006W	-0.492	-0.595
YMR190C	-0.882	-0.649
YMR294W	0.015	-0.010
YHR031C	-0.090	0.063
YDR293C	-0.322	-0.379
YMR031W-A	-0.237	-0.179
YNL273W	0.248	0.282
YJL047C	-0.488	-0.195
YOL001W	0.145	0.181
YHL005C	-0.040	0.084
YER083C	-0.239	-0.263
YOR033C	-0.090	-0.070
YOR345C	-0.086	-0.163
YMR284W	NaN	NaN
YAR003W	0.020	0.051
YHR025W	-0.444	-0.930
YKL126W	0.160	0.348
YKL212W	0.015	0.210
YIL153W	-0.048	-0.054
YBR231C	-0.317	-0.411
YOR198C	NaN	NaN
YOR038C	-0.050	-0.001
YJL095W	-0.149	-0.292
YAL019W	-0.055	-0.079
YDR456W	NaN	NaN
YNR068C	-0.224	-0.367
YPR119W	-0.178	-0.383
YER111C	-0.142	-0.127
YNL271C	-0.359	-0.106
YGR056W	0.000	0.077
YDR014W	-0.060	-0.061
YDR207C	NaN	NaN
YNL084C	0.204	0.290
YNL307C	-0.015	-0.061
YPR040W	-0.049	0.015
YMR242C	-0.461	-0.569
YDL192W	0.333	0.701
YPL008W	-0.066	-0.025
YPR164W	-0.182	-0.289
YOR008C-A	0.172	0.164
YBR215W	-0.119	-0.121
YPL183W-A	NaN	NaN
YML013W	0.409	0.628
YDR149C	-0.244	-0.111
YLR027C	-0.335	-0.456
YOR089C	0.043	0.015
YOR014W	0.119	0.158
YIL035C	-0.101	-0.223
YJR111C	-0.072	0.026
YAL026C	-0.114	-0.159
YML028W	0.282	0.425
YMR152W	-0.158	-0.250
YDL066W	-0.142	-0.145
YLR131C	-0.999	0.030
YDR389W	-0.104	-0.001
YMR036C	-0.025	-0.027
YCL037C	-0.508	-0.476
YBL083C	0.037	0.052
YNL136W	-0.418	-0.496
YNL070W	-0.066	-0.190
YMR020W	-0.040	-0.022
YOL012C	-0.039	-0.192
YMR017W	-0.083	0.035
YOR360C	-0.199	-0.250
YDR372C	0.025	0.034
YER019W	-0.109	-0.162
YER048C	-0.038	-0.001
YDL133W	-0.020	-0.111
YNL291C	-0.025	0.009
YOR085W	0.005	0.342
YER041W	-0.113	-0.151
YAL002W	-0.013	0.106
YBR156C	-0.119	-0.110
YML030W	0.081	0.086
YHR041C	0.093	-0.389
YBL022C	0.018	-0.043
YNL264C	-0.031	-0.029
YCL061C	NaN	NaN
YJL192C	-0.028	0.013
YHL044W	-0.068	-0.085
YIL041W	0.004	-0.115
YAL011W	-0.083	-0.134
YDR455C	-0.048	-0.075
YGL251C	-0.212	-0.310
YGL127C	0.004	-0.129
YCL032W	-0.098	-0.076
YDR414C	-0.030	0.194
YGR092W	-0.163	-0.368
YML013C-A	NaN	NaN
YOL076W	-0.325	-0.385
YMR038C	-0.203	-0.171
YCL060C	-0.162	-0.203
YKL113C	NaN	NaN
YJR052W	-0.902	-1.503
YIL036W	NaN	NaN
YOR025W	-0.125	-0.027
YDR162C	-0.314	-0.372
YOR233W	-0.049	-0.008
YPL047W	-0.135	-0.183
YBL006C	-0.093	-0.437
YIL077C	-0.061	-0.162
YER145C	-0.012	-0.052
YML001W	0.031	0.146
YMR167W	-0.124	-0.077
YHR129C	0.190	0.140
YBL031W	-0.152	-0.084
YLR262C	0.024	0.076
YPL180W	0.115	0.252
YBL046W	-0.111	-0.102
YDR442W	0.169	0.275
YCR008W	-0.028	-0.046
YML006C	0.091	0.099
YDR253C	-0.042	-0.034
YER072W	-0.045	0.034
YMR018W	-0.073	-0.055
YMR023C	-0.048	-0.040
YMR044W	-0.085	-0.114
YAL040C	0.100	0.117
YDR291W	-0.132	-0.247
YAR028W	0.162	0.157
YER063W	-0.038	-0.039
YMR019W	-0.063	0.012
YOL054W	-0.083	-0.034
YCR081W	-0.032	0.065
YMR027W	-0.015	-0.010
YPL195W	0.049	0.041
YCL010C	-0.052	-0.075
YGR057C	0.093	0.066
YAR035W	0.138	0.139
YER130C	-0.006	-0.035
YHL009C	-0.108	-0.138
YER060W	-0.073	-0.012
YIL098C	0.093	0.080
YNL068C	-0.096	-0.186
YMR048W	0.026	0.014
YDR150W	-0.394	-0.113
YHR154W	NaN	NaN
YAR040C	0.006	0.070
YHL027W	0.253	0.201
YJL204C	-0.166	-0.153
YOR061W	0.221	0.363
YML097C	0.090	0.066
YIL152W	-0.018	-0.028
YLR200W	0.207	0.502
YGR229C	-0.155	-0.091
YMR280C	-0.094	-0.265
YML035C-A	0.012	0.013
YER129W	-0.016	-0.066
YIL065C	-0.092	-0.196
YLR102C	-0.040	-0.048
YAR044W	0.139	0.092
YBR044C	-0.074	-0.177
YLR085C	-0.004	-0.077
YER058W	0.015	0.101
YKL101W	-0.186	-0.281
YNL091W	-0.042	-0.139
YOR036W	0.022	0.061
YOR072W	0.113	0.107
YOR371C	-0.112	-0.307
YHL012W	-0.076	0.005
YAL024C	-0.311	-0.386
YDL077C	0.178	0.197
YER128W	-0.010	-0.027
YML029W	0.122	0.138
YDR540C	-0.449	-0.555
YEL042W	0.026	0.059
YHL019C	0.007	0.021
YDR435C	0.158	0.110
YER119C	-0.043	-0.040
YJL193W	-0.094	-0.122
YMR057C	-0.117	-0.158
YML002W	-0.047	-0.010
YDR217C	-0.538	-0.918
YER046W-A	0.008	0.044
YAR047C	0.073	0.158
YBL008W	-0.111	-0.144
YMR016C	-0.011	0.064
YER139C	-0.028	-0.055
YKL176C	0.094	0.163
YPL253C	0.043	0.083
YBL089W	-0.106	-0.141
YMR073C	-0.060	-0.043
YNL025C	0.091	0.265
YBR187W	-0.020	-0.038
YHL032C	-0.054	-0.003
YHR013C	0.208	0.144
YMR042W	-0.053	-0.032
YGL250W	-0.072	-0.215
YJL155C	0.144	0.048
YDL041W	-0.320	-0.398
YAR042W	0.047	0.096
YML017W	0.152	0.187
YDR270W	-0.133	-0.024
YER066W	0.002	0.018
YMR015C	0.001	-0.014
YHR029C	-0.007	-0.033
YDL076C	-0.034	-0.096
YHL021C	-0.046	-0.047
YNL283C	-0.001	-0.057
YJL101C	0.041	-0.006
YMR003W	-0.045	-0.031
YKR072C	-0.012	-0.054
YMR183C	0.203	0.207
YPL262W	-0.061	-0.140
YDR289C	-0.041	-0.039
YLR318W	-0.027	-0.008
YMR223W	-0.093	-0.266
YJL094C	0.050	0.073
YJR054W	0.202	0.252
YCR065W	0.057	0.112
YAL027W	-0.142	-0.139
YJR102C	0.268	0.281
YAL015C	-0.171	-0.128
YML033W	-0.010	0.007
YAL043C-A	-0.054	0.007
YER062C	-0.067	-0.059
YDR323C	-0.029	0.204
YER053C	0.017	-0.002
YML058C-A	-0.045	0.058
