orf	hom | NHEJ | standard [standard] | Ooi SL~Boeke JD, 2001	hap a | NHEJ | standard [standard] | Ooi SL~Boeke JD, 2001
YAL056W	-14.387494569938157	-12.753150871171295
YBL021C	-14.387494569938157	0.0
YCL033C	-14.387494569938157	-12.753150871171295
YCR050C	-14.387494569938157	-12.753150871171295
YDL042C	0.0	-12.753150871171295
YDR178W	-14.387494569938157	-12.753150871171295
YDR227W	0.0	-12.753150871171295
YDR322W	-14.387494569938157	-12.753150871171295
YEL048C	-14.387494569938157	-12.753150871171295
YGL090W	-14.387494569938157	-12.753150871171295
YGR058W	-14.387494569938157	-12.753150871171295
YIR013C	0.0	-12.753150871171295
YKL208W	-14.387494569938157	-12.753150871171295
YKR055W	-14.387494569938157	-12.753150871171295
YLR069C	-14.387494569938157	-12.753150871171295
YLR265C	-14.387494569938157	-12.753150871171295
YLR442C	0.0	-12.753150871171295
YMR106C	-14.387494569938157	-12.753150871171295
YMR284W	-14.387494569938157	-12.753150871171295
YNL250W	-14.387494569938157	-12.753150871171295
YNL322C	-14.387494569938157	-12.753150871171295
YNR013C	0.0	-12.753150871171295
YOR005C	0.0	-12.753150871171295
YOR222W	-14.387494569938157	-12.753150871171295
YPL048W	-14.387494569938157	-12.753150871171295
YPL178W	0.0	-12.753150871171295
YPL182C	-14.387494569938157	-12.753150871171295
YPL198W	-14.387494569938157	-12.753150871171295
YPR166C	-14.387494569938157	-12.753150871171295
