ORF	hap ? | cell size | YPD [standard] | Jorgensen P~Tyers M, 2002	het | cell size | YPD [standard] | Jorgensen P~Tyers M, 2002
YAL010C	0.902	NaN
YAL016W	0.805	NaN
YAL021C	1.463	NaN
YAL035W	1.098	NaN
YAL040C	1.439	NaN
YAL041W	NaN	0.871
YAL047C	1.585	NaN
YBL006C	1.756	NaN
YBL024W	1.537	NaN
YBL039C	1.341	NaN
YBL051C	NaN	NaN
YBL058W	1.268	NaN
YBL072C	0.902	NaN
YBL087C	0.854	NaN
YBL093C	2.415	NaN
YBL094C	1.878	NaN
YBL099W	0.951	NaN
YBL105C	NaN	1.186
YBR022W	1.293	NaN
YBR037C	0.854	NaN
YBR078W	1.220	NaN
YBR081C	1.415	NaN
YBR084C-A	0.878	NaN
YBR085W	1.780	NaN
YBR091C	NaN	0.900
YBR093C	0.829	NaN
YBR112C	1.732	NaN
YBR122C	1.220	NaN
YBR126C	0.854	NaN
YBR132C	0.707	NaN
YBR154C	NaN	0.957
YBR171W	1.293	NaN
YBR179C	0.976	NaN
YBR181C	0.878	NaN
YBR190W	NaN	0.929
YBR196C	NaN	1.200
YBR200W	1.585	NaN
YBR202W	NaN	1.186
YBR251W	0.902	NaN
YBR266C	0.854	NaN
YBR268W	0.976	NaN
YBR277C	0.976	NaN
YBR278W	1.024	NaN
YBR279W	1.854	NaN
YBR289W	1.317	NaN
YCL005W	1.829	NaN
YCL016C	1.341	NaN
YCL058C	1.146	NaN
YCL061C	1.537	NaN
YCR002C	1.707	NaN
YCR004C	0.902	NaN
YCR009C	1.341	NaN
YCR020W-B	1.537	NaN
YCR024C-A	1.268	NaN
YCR025C	1.317	NaN
YCR026C	1.244	NaN
YCR027C	1.268	NaN
YCR028C-A	0.780	NaN
YCR035C	NaN	1.129
YCR045C	1.220	NaN
YCR050C	1.220	NaN
YCR052W	NaN	1.157
YCR061W	0.805	NaN
YCR063W	1.366	NaN
YCR065W	1.220	NaN
YCR087C-A	1.268	NaN
YCR087W	1.220	NaN
YCR094W	1.195	NaN
YDL007W	NaN	1.471
YDL014W	NaN	0.929
YDL021W	1.439	NaN
YDL032W	1.317	NaN
YDL049C	0.512	NaN
YDL057W	0.902	NaN
YDL061C	0.902	NaN
YDL062W	0.780	NaN
YDL063C	0.829	NaN
YDL074C	1.220	NaN
YDL075W	0.829	NaN
YDL082W	0.829	NaN
YDL083C	0.878	NaN
YDL135C	0.976	NaN
YDL136W	0.854	NaN
YDR027C	0.878	NaN
YDR060W	NaN	0.929
YDR064W	NaN	0.929
YDR065W	0.756	NaN
YDR075W	1.171	NaN
YDR081C	NaN	1.157
YDR083W	0.854	NaN
YDR101C	0.854	NaN
YDR115W	0.780	NaN
YDR138W	1.610	NaN
YDR140W	0.854	NaN
YDR156W	0.902	NaN
YDR159W	1.317	NaN
YDR195W	1.707	NaN
YDR226W	1.585	NaN
YDR245W	1.366	NaN
YDR264C	1.854	NaN
YDR300C	1.634	NaN
YDR337W	0.854	NaN
YDR347W	0.854	NaN
YDR359C	1.512	NaN
YDR364C	0.976	NaN
YDR377W	0.854	NaN
YDR378C	1.220	NaN
YDR382W	0.854	NaN
YDR404C	NaN	1.157
YDR405W	0.878	NaN
YDR417C	0.854	NaN
YDR433W	1.415	NaN
YDR450W	0.902	NaN
YDR470C	0.780	NaN
YDR500C	0.829	NaN
YDR518W	0.854	NaN
YDR526C	NaN	1.229
YDR531W	NaN	0.929
YDR532C	1.439	NaN
YEL036C	1.463	NaN
YEL044W	1.561	NaN
YEL050C	0.927	NaN
YEL054C	0.878	NaN
YEL061C	1.707	NaN
YER014C-A	0.902	NaN
YER020W	0.878	NaN
YER037W	1.341	NaN
YER068W	1.146	NaN
YER070W	2.049	NaN
YER087W	0.854	NaN
YER103W	0.854	NaN
YER111C	1.610	NaN
YER116C	1.220	NaN
YER122C	0.878	NaN
YER125W	NaN	1.143
YER151C	1.366	NaN
YER154W	0.780	NaN
YER155C	1.098	NaN
YER167W	1.390	NaN
YFL001W	1.171	NaN
YFL039C	NaN	1.157
YFR001W	0.854	NaN
YFR004W	NaN	1.129
YFR019W	1.317	NaN
YFR036W	1.195	NaN
YFR052W	NaN	1.143
YGL003C	0.976	NaN
YGL016W	0.878	NaN
YGL030W	NaN	0.943
YGL033W	1.780	NaN
YGL047W	NaN	0.943
YGL071W	0.902	NaN
YGL076C	0.805	NaN
YGL078C	0.878	NaN
YGL097W	NaN	1.171
YGL107C	0.854	NaN
YGL129C	0.854	NaN
YGL135W	0.780	NaN
YGL143C	0.732	NaN
YGL173C	1.659	NaN
YGL214W	1.024	NaN
YGL218W	0.902	NaN
YGL220W	0.878	NaN
YGL246C	0.951	NaN
YGL253W	0.829	NaN
YGR006W	1.683	NaN
YGR036C	1.220	NaN
YGR056W	1.561	NaN
YGR063C	1.268	NaN
YGR064W	0.927	NaN
YGR078C	1.341	NaN
YGR092W	1.268	NaN
YGR102C	0.829	NaN
YGR104C	1.415	NaN
YGR111W	0.927	NaN
YGR115C	NaN	1.214
YGR150C	0.854	NaN
YGR160W	0.902	NaN
YGR165W	0.927	NaN
YGR167W	1.927	NaN
YGR171C	0.854	NaN
YGR180C	1.659	NaN
