orf	hap ? | cell size | YPD [standard] | Jorgensen P~Tyers M, 2002	het | cell size | YPD [standard] | Jorgensen P~Tyers M, 2002
YAL010C	-0.09756097560975607	
YAL016W	-0.19512195121951215	
YAL021C	0.46341463414634143	
YAL035W	0.09756097560975618	
YAL040C	0.4390243902439024	
YAL047C	0.5853658536585367	
YBL006C	0.7560975609756098	
YBL024W	0.5365853658536586	
YBL039C	0.3414634146341464	
YBL051C		
YBL058W	0.2682926829268293	
YBL072C	-0.09756097560975607	
YBL087C	-0.14634146341463417	
YBL093C	1.4146341463414633	
YBL094C	0.8780487804878048	
YBL099W	-0.04878048780487809	
YBR022W	0.29268292682926833	
YBR037C	-0.14634146341463417	
YBR078W	0.2195121951219512	
YBR081C	0.41463414634146334	
YBR084C-A	-0.12195121951219512	
YBR085W	0.7804878048780488	
YBR093C	-0.1707317073170732	
YBR112C	0.7317073170731707	
YBR122C	0.2195121951219512	
YBR126C	-0.14634146341463417	
YBR132C	-0.29268292682926833	
YBR171W	0.29268292682926833	
YBR179C	-0.024390243902439046	
YBR181C	-0.12195121951219512	
YBR200W	0.5853658536585367	
YBR251W	-0.15853658536585363	
YBR266C	-0.14634146341463417	
YBR268W	-0.024390243902439046	
YBR277C	-0.024390243902439046	
YBR278W	0.024390243902439046	
YBR279W	0.853658536585366	
YBR289W	0.3170731707317074	
YCL005W	0.8292682926829269	
YCL016C	0.3414634146341464	
YCL058C	0.14634146341463405	
YCL061C	0.5365853658536586	
YCR002C	0.7073170731707317	
YCR004C	-0.09756097560975607	
YCR009C	0.3414634146341464	
YCR020W-B	0.5365853658536586	
YCR024C-A	0.2682926829268293	
YCR025C	0.3170731707317074	
YCR026C	0.24390243902439024	
YCR027C	0.2682926829268293	
YCR028C-A	-0.2195121951219512	
YCR045C	0.2195121951219512	
YCR050C	0.2195121951219512	
YCR061W	0.012195121951219523	
YCR063W	0.36585365853658547	
YCR065W	0.2195121951219512	
YCR087C-A	0.2682926829268293	
YCR087W	0.2195121951219512	
YCR094W	0.19512195121951215	
YDL021W	0.4390243902439024	
YDL032W	0.3170731707317074	
YDL049C	-0.4878048780487805	
YDL057W	-0.09756097560975607	
YDL061C	-0.09756097560975607	
YDL062W	-0.2195121951219512	
YDL063C	-0.1707317073170732	
YDL074C	0.2195121951219512	
YDL075W	-0.1707317073170732	
YDL082W	-0.1707317073170732	
YDL083C	-0.12195121951219512	
YDL135C	-0.024390243902439046	
YDL136W	-0.14634146341463417	
YDR027C	-0.12195121951219512	
YDR065W	-0.24390243902439024	
YDR075W	0.1707317073170731	
YDR083W	-0.14634146341463417	
YDR101C	-0.14634146341463417	
YDR115W	-0.2195121951219512	
YDR138W	0.6097560975609757	
YDR140W	-0.14634146341463417	
YDR156W	-0.09756097560975607	
YDR159W	0.3170731707317074	
YDR195W	0.7073170731707317	
YDR226W	0.5853658536585367	
YDR245W	0.36585365853658547	
YDR264C	0.853658536585366	
YDR300C	0.6341463414634145	
YDR337W	-0.14634146341463417	
YDR347W	-0.14634146341463417	
YDR359C	0.5121951219512195	
YDR364C	-0.024390243902439046	
YDR377W	-0.14634146341463417	
YDR378C	0.2195121951219512	
YDR382W	-0.14634146341463417	
YDR405W	-0.12195121951219512	
YDR417C	-0.14634146341463417	
YDR433W	0.41463414634146334	
YDR450W	-0.09756097560975607	
YDR470C	-0.2195121951219512	
YDR500C	-0.13414634146341464	
YDR518W	-0.14634146341463417	
YDR532C	0.4390243902439024	
YEL036C	0.46341463414634143	
YEL044W	0.5609756097560976	
YEL050C	-0.07317073170731703	
YEL054C	-0.12195121951219512	
YEL061C	0.7073170731707317	
YER014C-A	-0.09756097560975607	
YER020W	-0.12195121951219512	
YER037W	0.3414634146341464	
YER068W	0.14634146341463405	
YER070W	1.048780487804878	
YER087W	-0.14634146341463417	
YER103W	-0.14634146341463417	
YER111C	0.6097560975609757	
YER116C	0.2195121951219512	
YER122C	-0.12195121951219512	
YER151C	0.36585365853658547	
YER154W	-0.2195121951219512	
YER155C	0.09756097560975618	
YER167W	0.3902439024390243	
YFL001W	0.1707317073170731	
YFR001W	-0.14634146341463417	
YFR019W	0.3170731707317074	
YFR036W	0.19512195121951215	
YGL003C	-0.024390243902439046	
YGL016W	-0.12195121951219512	
YGL033W	0.7804878048780488	
YGL071W	-0.09756097560975607	
YGL076C	-0.19512195121951215	
YGL078C	-0.12195121951219512	
YGL107C	-0.14634146341463417	
YGL129C	-0.14634146341463417	
YGL135W	-0.2195121951219512	
