orf	hap ? | cell size | YPD [standard] | Jorgensen P~Tyers M, 2002	het | cell size | YPD [standard] | Jorgensen P~Tyers M, 2002
YAL010C	-0.8361362963568367	
YAL016W	-1.7408083547101358	
YAL021C	4.365728039174635	
YAL035W	0.9732078203497628	
YAL040C	4.139560024586309	
YAL047C	5.49656811211626	
YBL006C	7.079744214234533	
YBL024W	5.04423208293961	
YBL039C	3.2348879662330114	
YBL051C		
YBL058W	2.556383922468036	
YBL072C	-0.8361362963568367	
YBL087C	-1.288472325533487	
YBL093C	13.186280608119302	
YBL094C	8.210584287176157	
YBL099W	-0.3838002671801876	
YBR022W	2.782551937056361	
YBR037C	-1.288472325533487	
YBR078W	2.104047893291386	
YBR081C	3.9133920099979846	
YBR084C-A	-1.0623043109451618	
YBR085W	7.305912228822859	
YBR093C	-1.5146403401218118	
YBR112C	6.853576199646208	
YBR122C	2.104047893291386	
YBR126C	-1.288472325533487	
YBR132C	-2.6454804130634364	
YBR171W	2.782551937056361	
YBR179C	-0.15763225259186253	
YBR181C	-1.0623043109451618	
YBR200W	5.49656811211626	
YBR251W	-1.4015563328276488	
YBR266C	-1.288472325533487	
YBR268W	-0.15763225259186253	
YBR277C	-0.15763225259186253	
YBR278W	0.29470377658478764	
YBR279W	7.984416272587834	
YBR289W	3.0087199516446863	
YCL005W	7.758248257999509	
YCL016C	3.2348879662330114	
YCL058C	1.425543849526411	
YCL061C	5.04423208293961	
YCR002C	6.627408185057884	
YCR004C	-0.8361362963568367	
YCR009C	3.2348879662330114	
YCR020W-B	5.04423208293961	
YCR024C-A	2.556383922468036	
YCR025C	3.0087199516446863	
YCR026C	2.3302159078797113	
YCR027C	2.556383922468036	
YCR028C-A	-1.966976369298461	
YCR045C	2.104047893291386	
YCR050C	2.104047893291386	
YCR061W	0.1816197692906251	
YCR063W	3.4610559808213366	
YCR065W	2.104047893291386	
YCR087C-A	2.556383922468036	
YCR087W	2.104047893291386	
YCR094W	1.877879878703061	
YDL021W	4.139560024586309	
YDL032W	3.0087199516446863	
YDL049C	-4.454824529770034	
YDL057W	-0.8361362963568367	
YDL061C	-0.8361362963568367	
YDL062W	-1.966976369298461	
YDL063C	-1.5146403401218118	
YDL074C	2.104047893291386	
YDL075W	-1.5146403401218118	
YDL082W	-1.5146403401218118	
YDL083C	-1.0623043109451618	
YDL135C	-0.15763225259186253	
YDL136W	-1.288472325533487	
YDR027C	-1.0623043109451618	
YDR065W	-2.193144383886786	
YDR075W	1.651711864114736	
YDR083W	-1.288472325533487	
YDR101C	-1.288472325533487	
YDR115W	-1.966976369298461	
YDR138W	5.722736126704585	
YDR140W	-1.288472325533487	
YDR156W	-0.8361362963568367	
YDR159W	3.0087199516446863	
YDR195W	6.627408185057884	
YDR226W	5.49656811211626	
YDR245W	3.4610559808213366	
YDR264C	7.984416272587834	
YDR300C	5.948904141292908	
YDR337W	-1.288472325533487	
YDR347W	-1.288472325533487	
YDR359C	4.818064068351285	
YDR364C	-0.15763225259186253	
YDR377W	-1.288472325533487	
YDR378C	2.104047893291386	
YDR382W	-1.288472325533487	
YDR405W	-1.0623043109451618	
YDR417C	-1.288472325533487	
YDR433W	3.9133920099979846	
YDR450W	-0.8361362963568367	
YDR470C	-1.966976369298461	
YDR500C	-1.1753883182393243	
YDR518W	-1.288472325533487	
YDR532C	4.139560024586309	
YEL036C	4.365728039174635	
YEL044W	5.270400097527935	
YEL050C	-0.6099682817685116	
YEL054C	-1.0623043109451618	
YEL061C	6.627408185057884	
YER014C-A	-0.8361362963568367	
YER020W	-1.0623043109451618	
YER037W	3.2348879662330114	
YER068W	1.425543849526411	
YER070W	9.793760389294432	
YER087W	-1.288472325533487	
YER103W	-1.288472325533487	
YER111C	5.722736126704585	
YER116C	2.104047893291386	
