orf	het | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002
YAL001C	0.0051800000000000734	-0.0022050000000000125	0.002949999999999897	-0.009845000000000104	0.03227000000000002	0.008549999999999947	0.07455999999999996	0.05640999999999985	0.024620000000000086	-0.08480500000000002	0.022849999999999815	-0.060125000000000095	0.01800500000000005	-0.0006349999999999412	0.04482000000000008	0.020830000000000015
YAL002W	0.020630000000000037	0.015735000000000054	0.0020200000000000218	0.002234999999999987	-0.016350000000000087	-0.0187449999999999	0.009280000000000066	-0.05102499999999999	0.06668000000000007	-0.06194500000000003	0.07909999999999995	-0.03236499999999998	0.08524500000000002	-0.03734000000000004	-0.008700000000000041	0.0007549999999999502
YAL003W	-0.016669999999999963		-0.006050000000000111		0.041469999999999896		0.06397000000000008		-0.0032600000000000406		-0.009619999999999962		-0.002134999999999998		0.04249999999999998	
YAL004W	0.008280000000000176	0.03155500000000011	0.014089999999999936	0.04801500000000003	0.0026000000000000467	0.01185500000000006	-0.004049999999999998	0.012970000000000148	0.021239999999999926	0.018284999999999996	0.029139999999999944	0.023534999999999973	0.005885000000000029	0.01988500000000004	-0.026959999999999984	0.012440000000000118
YAL005C	-0.02679000000000009	-0.013820000000000165	0.004290000000000016	0.012429999999999941	0.020540000000000003	0.03953999999999991	0.12897000000000003	0.06296499999999994	0.03533999999999993	-0.029360000000000053	0.011890000000000067	-0.0006200000000000649	0.0206599999999999	0.03540499999999991	0.11759000000000008	0.0436399999999999
YAL007C	0.009885000000000033	-0.011255000000000015	-0.01114499999999996	-0.003274999999999917	0.028364999999999974	0.03288500000000005	0.18689500000000003	0.04821500000000012	0.07398499999999997	-0.01780500000000007	0.04029499999999997	0.009405000000000108	0.056074999999999875	0.04401999999999995	0.0949850000000001	0.03764000000000012
YAL008W	-0.005659999999999998	-0.005104999999999915	-0.0012699999999998823	-0.006195000000000173	0.0320600000000002	0.02222499999999994	0.07381000000000015	0.029044999999999987	0.011030000000000095	-0.010695000000000121	-0.0102899999999998	0.018385000000000096	-0.004024999999999945	0.02244999999999986	0.05388000000000015	0.02725500000000003
YAL009W	-0.01992499999999997	-0.010625000000000107	-0.011824999999999974	-0.028465000000000074	0.0425549999999999	0.05316499999999991	0.05597500000000011	0.036414999999999864	-0.003635000000000055	-0.02185500000000007	-0.006864999999999899	0.0038049999999999473	-0.008759999999999879	0.015525000000000011	0.021575000000000122	0.05206499999999992
YAL010C	-0.019064999999999777	0.024250000000000105	-0.004584999999999839	0.03990000000000016	0.04143500000000011	-0.013619999999999965	0.08111500000000005	-0.09221999999999997	7.50000000002693e-05	-0.1695799999999999	-0.007664999999999811	-0.20735999999999993	-0.008064999999999767	-0.03614499999999987	0.04860500000000001	-0.08633000000000002
YAL011W	-0.004344999999999932	-0.005970000000000031	-0.005774999999999975	-0.013410000000000033	0.010814999999999908	0.002194999999999947	-0.0013850000000000806	-0.03817999999999999	-0.038004999999999955	-0.017729999999999912	-0.047985000000000055	0.008239999999999914	-0.03247	0.06056000000000006	-0.010685000000000056	0.014975000000000072
