ORF	hom | growth (relative abundance in pooled culture) | YPGal, time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | glucitol [1.5 M], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SD + His + Leu + Ura, time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | sodium chloride [1 M], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | pH [8], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | YPGal, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | glucitol [1.5 M], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | pH [8], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | sodium chloride [1 M], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SD + His + Leu + Ura, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | nystatin [10 uM], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | nystatin [10 uM], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Lys, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Trp, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Thr, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | standard | YPD | Giaever G~Johnston M, 2002	hom | cell size | standard | YPAD | Giaever G~Johnston M, 2002	hom | elongated cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | round cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | clumped cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | football cell shape | standard | YPAD | Giaever G~Johnston M, 2002
YAL002W	-32.693	5.029	-16.207	-7.336	32.627	0.700	5.609	-1.852	-1.462	-3.860	-237.284	-59.263	0.135	0.848	4.292	-1.906	0.000	0.000	0.000	0.000	0.000	0.000
YAL004W	-2.725	4.471	-3.278	-46.123	-23.488	-3.093	-1.130	2.402	0.168	2.883	0.507	2.530	3.582	3.421	5.179	-1.715	0.000	0.000	0.000	0.000	0.000	0.000
YAL005C	-1.686	-1.920	-2.191	-0.105	-2.286	-0.132	0.338	-2.695	-0.520	-0.733	2.027	0.203	0.481	0.692	0.073	1.107	0.000	0.000	0.000	0.000	0.000	0.000
YAL007C	0.077	-2.841	-1.996	-4.412	-1.079	0.188	0.681	-2.743	2.416	0.053	-0.002	-0.017	0.771	1.262	-2.487	2.721	0.000	0.000	0.000	0.000	0.000	0.000
YAL008W	0.871	0.990	-2.301	-14.160	-9.157	-1.377	0.459	-14.712	-5.782	-8.503	1.675	1.638	0.551	0.500	-1.121	2.391	0.000	0.000	0.000	0.000	0.000	0.000
YAL009W	0.163	3.107	0.164	-0.247	-10.823	1.391	0.228	-7.999	1.014	-1.264	-0.013	1.501	1.777	-0.215	-0.549	-1.640	0.000	2.000	0.000	3.000	0.000	0.000
YAL010C	1.590	0.863	1.409	0.558	0.411	-0.010	-0.333	-0.182	-0.208	-0.229	1.800	-0.192	-0.190	-0.174	-0.178	-0.211	-3.800	0.000	0.000	0.000	0.000	0.000
YAL011W	-4.863	0.135	-0.081	-31.748	-131.481	-1.489	-0.117	-77.653	-10.465	-2.548	-49.912	-27.245	0.744	0.965	1.637	-1.886	0.000	2.000	2.000	0.000	0.000	0.000
YAL012W	-21.029	0.825	-21.237	13.399	-7.276	-21.011	14.330	-20.226	8.926	-7.260	-9.761	-4.504	-9.092	-9.022	-3.036	-2.367	0.000	0.000	0.000	0.000	0.000	0.000
YAL013W	0.352	1.946	7.557	27.774	-0.798	1.707	1.721	2.580	9.958	0.421	0.441	0.234	2.754	1.717	3.522	2.184	0.000	0.000	0.000	2.000	0.000	0.000
YAL014C	-0.168	-1.647	0.302	-6.104	-4.377	-0.779	-2.568	2.486	-1.306	1.357	-4.768	1.558	0.226	0.200	-1.725	3.001	0.000	0.000	0.000	0.000	0.000	0.000
YAL015C	-0.038	1.145	-0.444	-7.986	-3.364	1.270	-2.399	-0.812	-0.957	-1.642	0.088	1.487	2.354	2.273	-2.562	-0.534	0.000	0.000	0.000	0.000	0.000	0.000
