orf	hom | growth (relative abundance in pooled culture) | YPGal, time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | glucitol [1.5 M], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SD + His + Leu + Ura, time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | sodium chloride [1 M], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | pH [8], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | YPGal, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | glucitol [1.5 M], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | pH [8], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | sodium chloride [1 M], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SD + His + Leu + Ura, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | nystatin [10 uM], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | nystatin [10 uM], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Lys, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Trp, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Thr, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | standard | YPD | Giaever G~Johnston M, 2002	hom | cell size | standard | YPAD | Giaever G~Johnston M, 2002	hom | elongated cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | round cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | football cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | clumped cell shape | standard | YPAD | Giaever G~Johnston M, 2002
YAL002W	-32.6926535	5.0290539999999995	-16.206715000000003	-7.3355464999999995	32.626678	0.6996070000000001	5.6086149999999995	-1.8524764999999999	-1.461604	-3.85965	-237.2839475	-59.26328149999999	0.13452049999999993	0.8480664999999998	4.292242	-1.906391	0.0	0.0	0.0	0.0	0.0	0.0
YAL004W	-2.7251670000000003	4.471172	-3.277725	-46.122971500000006	-23.4881405	-3.0930925	-1.1300265	2.4018925	0.16842000000000001	2.8829059999999997	0.506771	2.529533	3.5816885000000003	3.421117	5.179082	-1.7153630000000002	0.0	0.0	0.0	0.0	0.0	0.0
YAL005C	-1.6862375	-1.9198430000000002	-2.1914195000000003	-0.10504150000000001	-2.2859015	-0.13162350000000012	0.3375564999999999	-2.694712	-0.5201295	-0.7334814999999999	2.0266944999999996	0.2030075	0.48052149999999993	0.6924104999999999	0.07345699999999988	1.107479	0.0	0.0	0.0	0.0	0.0	0.0
YAL007C	0.07748950000000004	-2.840667	-1.9960565	-4.411874	-1.0794839999999999	0.18796849999999976	0.6811735000000001	-2.7426765	2.4158775	0.053325000000000004	-0.0017105000000000037	-0.01711449999999992	0.7712725	1.262348	-2.4873745	2.720904	0.0	0.0	0.0	0.0	0.0	0.0
YAL008W	0.8709724999999999	0.9902544999999996	-2.3011825000000004	-14.160435	-9.1568165	-1.3765100000000001	0.45860500000000004	-14.712105	-5.7815095	-8.5030715	1.6747915	1.638208	0.5513079999999999	0.5003454999999999	-1.1207645	2.390691	0.0	0.0	0.0	0.0	0.0	0.0
YAL009W	0.16291699999999998	3.106761	0.164192	-0.247131	-10.823472	1.3909845	0.2275919999999999	-7.99856	1.014319	-1.263708	-0.013397500000000007	1.501457	1.7769270000000001	-0.21485200000000004	-0.5494614999999999	-1.639523	0.0	2.0	0.0	3.0	0.0	0.0
YAL010C	1.5897554999999999	0.8630739999999999	1.4091150000000001	0.558311	0.4111025	-0.010216000000000003	-0.33270900000000003	-0.1818185	-0.2081155	-0.22864600000000002	1.800253	-0.1919305	-0.19049149999999998	-0.17386449999999998	-0.1777325	-0.21092800000000003	-3.8	0.0	0.0	0.0	0.0	0.0
YAL011W	-4.8629195	0.135378	-0.08050899999999994	-31.7479345	-131.4807325	-1.4889635	-0.11680749999999995	-77.653087	-10.4648665	-2.5479074999999995	-49.9122375	-27.244619	0.7438515000000001	0.9650875	1.636948	-1.885905	0.0	2.0	2.0	0.0	0.0	0.0
YAL012W	-21.0286335	0.8254064999999999	-21.237388	13.398688499999999	-7.275953499999999	-21.010503000000003	14.329973500000001	-20.2258375	8.926451	-7.259708	-9.7610045	-4.5038505	-9.0917755	-9.022013000000001	-3.035837	-2.36718	0.0	0.0	0.0	0.0	0.0	0.0
YAL013W	0.35232050000000004	1.9459195	7.557375	27.7738865	-0.798167	1.707342	1.7211755000000002	2.5802405	9.9578485	0.421431	0.4413064999999998	0.23393600000000003	2.7539315	1.7173470000000002	3.5224845	2.183878	0.0	0.0	0.0	2.0	0.0	0.0
