ORF      	strain background 	Gene Names                        	Cell Shape Morphologies                         
---------	------------------	----------------------------------	------------------------------------------------
YAL002W  	homozygous diploid 	VPS8, FUN15, VPT8                	WT                                              
YAL004W  	homozygous diploid	                                  	WT                                              
YAL005C  	homozygous diploid	SSA1, YG100                       	WT                                              
YAL007C  	homozygous diploid	ERP2                              	WT                                              
YAL008W  	homozygous diploid	FUN14                             	WT                                              
YAL009W  	homozygous diploid	SPO7                              	Round 3;  Large 2                                
YAL010C  	homozygous diploid	MDM10, FUN37                      	WT                                              
YAL011W  	homozygous diploid	                                  	Large 2;  Elongate 2                             
YAL012W  	homozygous diploid	CYS3, CYI1, FUN35, STR1           	WT                                              
YAL013W  	homozygous diploid	DEP1, FUN54                       	Round 2                                         
YAL014C  	homozygous diploid	                                  	WT                                              
YAL015C  	homozygous diploid	NTG1, FUN33                       	WT                                              
YAL016W  	homozygous diploid	TPD3, FUN32                       	WT                                              
YAL017W  	homozygous diploid	FUN31                             	WT                                              
YAL018C  	homozygous diploid	                                  	WT                                              
YAL019W  	homozygous diploid	FUN30                             	WT                                              
YAL020C  	homozygous diploid	ATS1, FUN28                       	WT                                              
YAL021C  	homozygous diploid	CCR4, FUN27, NUT21                	Round 3                                         
YAL022C  	homozygous diploid	FUN26                             	WT                                              
YAL023C  	homozygous diploid	PMT2, FUN25                       	Small 2;  Round 2                                
YAL024C  	homozygous diploid	LTE1, MSI2                        	Elongate 2                                      
YAL026C  	homozygous diploid	DRS2, FUN38                       	Elongate 2                                      
YAL027W  	homozygous diploid	                                  	WT                                              
YAL028W  	homozygous diploid	                                  	WT                                              
YAL029C  	homozygous diploid	MYO4, FUN22                       	WT                                              
YAL030W  	homozygous diploid	SNC1                              	WT                                              
YAL031C  	homozygous diploid	FUN21                             	WT                                              
YAL034C  	homozygous diploid	FUN19                             	WT                                              
YAL035W  	homozygous diploid	FUN12                             	WT                                              
YAL036C  	homozygous diploid	FUN11                             	WT                                              
YAL037W  	homozygous diploid	                                  	WT                                              
YAL039C  	homozygous diploid	CYC3                              	WT                                              
YAL040C  	homozygous diploid	CLN3, DAF1, FUN10, WHI1           	Large 3                                         
