Gene	Orf	Spo1	Spo2	HomDip	oligo	microarray	Under 15%	Biological Process	Molecular Function	Cellular Component
SWI4	YER111C	2.146	1.706	0.896	SK1	 	 	cell cycle	transcription factor	not yet annotated
ISC10	YER180C	2.461	3.338	1.008	Both	induced	 	not yet annotated	molecular_function unknown	not yet annotated
NDI1	YML120C	1.904	4.154	0.994	W303	 	 	complex I (NADH to ubiquinone)	not yet annotated	NADH dehydrogenase (ubiquinone)
SMA2	YML066C	2.787	5.121	1.011	Both	induced	yes	biological_process unknown	molecular_function unknown	not yet annotated
YML010W-A	YML010W-A	1.831	1.623	0.878	 	 	 	biological_process unknown	molecular_function unknown	not yet annotated
YPT7	YML001W	1.911	2.432	0.990	 	 	 	vacuole inheritance*	RAB small monomeric GTPase	not yet annotated
SPO20	YMR017W	3.149	3.902	1.030	Both	induced	 	non-selective vesicle fusion*	v-SNARE	prospore membrane
YMR030W	YMR030W	2.516	2.882	1.024	 	 	yes	biological_process unknown	molecular_function unknown	not yet annotated
SRT1	YMR101C	2.628	2.698	1.001	Both	 	 	protein amino acid glycosylation	not yet annotated	not yet annotated
sto1	YMR125W	2.766	2.950	0.748	Both	induced	 	not yet annotated	not yet annotated	not yet annotated
YMR135C	YMR135C	2.723	5.510	0.983	 	 	yes	biological_process unknown	molecular_function unknown	not yet annotated
ccr4	YAL021C	2.667	4.477	0.924	 	 	 	not yet annotated	not yet annotated	not yet annotated
spo7	YAL009W	1.921	2.265	0.921	 	 	 	meiosis	molecular_function unknown	not yet annotated
FUN16	YAR003W	1.835	8.782	0.985	 	induced	yes	biological_process unknown	molecular_function unknown	not yet annotated
SPO73	YER046W	2.251	3.304	1.026	Both	induced	yes	biological_process unknown	molecular_function unknown	not yet annotated
PET117	YER058W	1.735	3.976	0.858	Both	 	 	cytochrome c oxidase biogenesis	molecular_function unknown	mitochondrial inner membrane
ICL1	YER065C	1.555	1.959	1.020	W303	 	 	not yet annotated	isocitrate lyase	not yet annotated
YER092W	YER092W	1.680	2.027	0.991	SK1	 	no	biological_process unknown	molecular_function unknown	not yet annotated
shc1	YER096W	1.674	2.600	1.025	Both	induced	 	not yet annotated	molecular_function unknown	not yet annotated
YMR148W	YMR148W	1.579	2.363	1.024	Both	induced	no	biological_process unknown	molecular_function unknown	not yet annotated
YIM2	YMR151W	1.552	2.764	0.910	 	 	 	biological_process unknown	molecular_function unknown	not yet annotated
RIM13	YMR154C	1.713	1.619	0.974	 	 	 	not yet annotated	not yet annotated	not yet annotated
APG16	YMR159C	1.683	2.543	1.030	 	 	 	autophagy	molecular_function unknown	membrane fraction
YMR196W	YMR196W	2.036	4.421	1.017	Both	 	yes	biological_process unknown	molecular_function unknown	not yet annotated
UBP8	YMR223W	1.851	2.030	0.970	 		 	deubiquitylation	ubiquitin-specific protease	cellular_component unknown
CBP2	YHL038C	1.885	2.461	0.888	 	 	 	not yet annotated	not yet annotated	not yet annotated
RIM101	YHL027W	1.795	1.762	0.977	 	 	 	meiosis	transcription factor	not yet annotated
RIM4	YHL024W	3.139	7.310	1.020	Both	induced	 	not yet annotated	molecular_function unknown	not yet annotated
YHL023C	YHL023C	2.050	4.285	1.012	 	 	yes	biological_process unknown	molecular_function unknown	not yet annotated
PRS3	YHL011C	2.253	2.653	0.737	 	 	 	histidine biosynthesis*	ribose-phosphate pyrophosphokinase	cytoplasm
NEM1	YHR004C	1.691	2.147	0.899	 	 	 	nuclear organization and biogenesis	not yet annotated	not yet annotated
