orf	hap a | growth (undefined) | wortmannin [2-3.5 uM] | Zewail A~Huang J, 2003	het | growth (undefined) | wortmannin [2-3.5 uM] | Zewail A~Huang J, 2003
YAL004W	-2.0	
YAL005C	-4.0	
YAL009W	2.0	
YAL010C	3.0	
YAL013W	-5.0	
YAL016W	-4.0	
YAL017W	-4.0	
YAL021C	2.0	
YAL047C	2.0	
YAL048C	2.0	
YAL055W	2.0	
YAL056W	-2.0	
YAL058W	2.0	
YAL059W	-4.0	
YAL066W	2.0	
YBL002W	2.0	
YBL005W	-4.0	
YBL007C	1.0	
YBL012C	2.0	
YBL016W	-2.0	
YBL022C	4.0	
YBL025W	-4.0	
YBL032W	-2.0	
YBL033C	5.0	
YBL041W		1.0
YBL042C	-2.0	
YBL044W	2.0	
YBL051C	-4.0	
YBL054W	-3.0	
YBL064C	-2.0	
YBL072C	1.0	
YBL080C	3.0	
YBL081W	-2.0	
YBL090W	4.0	
YBL093C	2.0	
YBL103C	-2.0	
YBL105C		-4.0
YBL107C	2.0	
YBR009C	-2.0	
YBR010W	-2.0	
YBR014C	2.0	
YBR015C	2.0	
YBR016W	2.0	
YBR018C	2.0	
YBR020W	2.0	
YBR021W	-3.0	
YBR023C	2.0	
YBR025C	2.0	
YBR027C	2.0	
YBR029C		1.0
YBR034C	3.0	
YBR035C	-4.0	
YBR037C	2.0	
YBR042C	2.0	
YBR058C	-2.0	
YBR077C	-5.0	
YBR081C	-5.0	
YBR095C	-3.0	
YBR097W	-5.0	
YBR106W	2.0	
YBR110W		-2.0
YBR122C	2.0	
YBR126C	3.0	
YBR127C	-2.0	
YBR131W	2.0	
YBR139W	-2.0	
YBR140C		-4.0
YBR144C	2.0	
YBR148W	-2.0	
YBR152W		1.0
YBR156C	-2.0	
YBR163W	2.0	
YBR173C	2.0	
YBR179C	4.0	
YBR185C	3.0	
YBR189W		3.0
YBR191W	3.0	
YBR194W	-4.0	
YBR195C	-3.0	
YBR208C	2.0	
YBR238C	-2.0	
YBR246W	1.0	
YBR247C		-2.0
YBR259W	-2.0	
YBR262C	-4.0	
YBR268W	2.0	
YBR269C	-2.0	
YBR277C	-2.0	
YBR278W	-3.0	
YBR279W	-2.0	
YBR281C	-4.0	
YBR282W	-2.0	
YBR284W	-4.0	
YBR286W	-3.0	
YBR291C	-4.0	
YBR295W	-4.0	
YBR297W	-4.0	
YBR298C	-2.0	
YCL001W	2.0	
YCL001W-A	-4.0	
YCL005W	-4.0	
YCL007C	-5.0	
YCL008C	2.0	
YCL037C	2.0	
YCL058C	3.0	
YCR003W	2.0	
YCR020C-A	-2.0	
YCR020W-B	-3.0	
YCR022C	1.0	
YCR024C-A	-4.0	
YCR025C	-2.0	
YCR026C	-2.0	
YCR027C	-2.0	
YCR028C	-2.0	
YCR030C	-2.0	
YCR034W	-5.0	
YCR045C	-3.0	
YCR047C	-2.0	
YCR050C	-2.0	
YCR061W	-0.5	
YCR068W	-2.0	
YCR069W	-2.0	
YCR073C	-2.0	
YCR075C	-2.0	
YCR077C	3.0	
YCR079W	3.0	
YCR081W	-2.0	
YCR082W	2.0	
YCR083W	-2.0	
YCR084C	-2.0	
YCR085W	-2.0	
YCR087W	-2.0	
YCR088W	-3.0	
YDL004W		1.0
YDL006W	2.0	
YDL013W	-3.0	
YDL021W	-2.0	
YDL022W	-2.0	
YDL027C	-2.0	
YDL037C	-2.0	
YDL040C	3.0	
YDL044C	2.0	
YDL046W	-2.0	
YDL049C	2.0	
YDL057W	3.0	
YDL067C	1.0	
YDL072C	-2.0	
YDL074C	-2.0	
YDL075W	4.0	
YDL081C	1.0	
YDL082W	2.0	
YDL086W	2.0	
YDL089W	-2.0	
YDL091C	-2.0	
YDL097C		3.0
YDL100C	2.0	
YDL101C	1.0	
YDL104C	3.0	
YDL113C	2.0	
YDL115C	-2.0	
YDL118W	3.0	
YDL130W	2.0	
YDL136W	2.0	
YDL138W	1.0	
YDL142C	-2.0	
YDL146W	2.0	
YDL157C	3.0	
YDL159W	2.0	
YDL167C	2.0	
YDL173W	-2.0	
YDL176W	2.0	
YDL181W	4.0	
YDL184C	3.0	
YDL185W	-3.0	
YDL186W	1.0	
YDL187C	1.0	
YDL188C	2.0	
YDL189W	4.0	
YDL191W	1.0	
YDL193W		2.0
YDL202W	2.0	
YDL232W	2.0	
YDR010C	3.0	
YDR017C	-5.0	
YDR026C	1.0	
YDR041W		-2.0
