orf	hap a | growth (undefined) | wortmannin [2-3.5 uM] | Zewail A~Huang J, 2003	het | growth (undefined) | wortmannin [2-3.5 uM] | Zewail A~Huang J, 2003
YAL004W	-1.5907657589836433	
YAL005C	-3.1423500953322216	
YAL009W	1.5124029137135135	
YAL010C	2.2881950818878027	
YAL013W	-3.918142263506511	
YAL016W	-3.1423500953322216	
YAL017W	-3.1423500953322216	
YAL021C	1.5124029137135135	
YAL047C	1.5124029137135135	
YAL048C	1.5124029137135135	
YAL055W	1.5124029137135135	
YAL056W	-1.5907657589836433	
YAL058W	1.5124029137135135	
YAL059W	-3.1423500953322216	
YAL066W	1.5124029137135135	
YBL002W	1.5124029137135135	
YBL005W	-3.1423500953322216	
YBL007C	0.7366107455392243	
YBL012C	1.5124029137135135	
YBL016W	-1.5907657589836433	
YBL022C	3.063987250062092	
YBL025W	-3.1423500953322216	
YBL032W	-1.5907657589836433	
YBL033C	3.839779418236381	
YBL041W		2.59963896410296
YBL042C	-1.5907657589836433	
YBL044W	1.5124029137135135	
YBL051C	-3.1423500953322216	
YBL054W	-2.3665579271579325	
YBL064C	-1.5907657589836433	
YBL072C	0.7366107455392243	
YBL080C	2.2881950818878027	
YBL081W	-1.5907657589836433	
YBL090W	3.063987250062092	
YBL093C	1.5124029137135135	
YBL103C	-1.5907657589836433	
YBL105C		-10.39855585641184
YBL107C	1.5124029137135135	
YBR009C	-1.5907657589836433	
YBR010W	-1.5907657589836433	
YBR014C	1.5124029137135135	
YBR015C	1.5124029137135135	
YBR016W	1.5124029137135135	
YBR018C	1.5124029137135135	
YBR020W	1.5124029137135135	
YBR021W	-2.3665579271579325	
YBR023C	1.5124029137135135	
YBR025C	1.5124029137135135	
YBR027C	1.5124029137135135	
YBR029C		2.59963896410296
YBR034C	2.2881950818878027	
YBR035C	-3.1423500953322216	
YBR037C	1.5124029137135135	
YBR042C	1.5124029137135135	
YBR058C	-1.5907657589836433	
YBR077C	-3.918142263506511	
YBR081C	-3.918142263506511	
YBR095C	-2.3665579271579325	
YBR097W	-3.918142263506511	
YBR106W	1.5124029137135135	
YBR110W		-5.19927792820592
YBR122C	1.5124029137135135	
YBR126C	2.2881950818878027	
YBR127C	-1.5907657589836433	
YBR131W	1.5124029137135135	
YBR139W	-1.5907657589836433	
YBR140C		-10.39855585641184
YBR144C	1.5124029137135135	
YBR148W	-1.5907657589836433	
YBR152W		2.59963896410296
YBR156C	-1.5907657589836433	
YBR163W	1.5124029137135135	
YBR173C	1.5124029137135135	
YBR179C	3.063987250062092	
YBR185C	2.2881950818878027	
YBR189W		7.798916892308879
YBR191W	2.2881950818878027	
YBR194W	-3.1423500953322216	
YBR195C	-2.3665579271579325	
YBR208C	1.5124029137135135	
YBR238C	-1.5907657589836433	
YBR246W	0.7366107455392243	
YBR247C		-5.19927792820592
YBR259W	-1.5907657589836433	
YBR262C	-3.1423500953322216	
YBR268W	1.5124029137135135	
YBR269C	-1.5907657589836433	
YBR277C	-1.5907657589836433	
YBR278W	-2.3665579271579325	
YBR279W	-1.5907657589836433	
YBR281C	-3.1423500953322216	
YBR282W	-1.5907657589836433	
YBR284W	-3.1423500953322216	
YBR286W	-2.3665579271579325	
YBR291C	-3.1423500953322216	
YBR295W	-3.1423500953322216	
YBR297W	-3.1423500953322216	
YBR298C	-1.5907657589836433	
YCL001W	1.5124029137135135	
YCL001W-A	-3.1423500953322216	
YCL005W	-3.1423500953322216	
YCL007C	-3.918142263506511	
YCL008C	1.5124029137135135	
YCL037C	1.5124029137135135	
YCL058C	2.2881950818878027	
YCR003W	1.5124029137135135	
YCR020C-A	-1.5907657589836433	
YCR020W-B	-2.3665579271579325	
YCR022C	0.7366107455392243	
YCR024C-A	-3.1423500953322216	
YCR025C	-1.5907657589836433	
YCR026C	-1.5907657589836433	
YCR027C	-1.5907657589836433	
YCR028C	-1.5907657589836433	
YCR030C	-1.5907657589836433	
YCR034W	-3.918142263506511	
YCR045C	-2.3665579271579325	
YCR047C	-1.5907657589836433	
YCR050C	-1.5907657589836433	
YCR061W	-0.42707750672220945	
YCR068W	-1.5907657589836433	
YCR069W	-1.5907657589836433	
YCR073C	-1.5907657589836433	
YCR075C	-1.5907657589836433	
YCR077C	2.2881950818878027	
YCR079W	2.2881950818878027	
YCR081W	-1.5907657589836433	
YCR082W	1.5124029137135135	
YCR083W	-1.5907657589836433	
YCR084C	-1.5907657589836433	
YCR085W	-1.5907657589836433	
YCR087W	-1.5907657589836433	
YCR088W	-2.3665579271579325	
YDL004W		2.59963896410296
YDL006W	1.5124029137135135	
YDL013W	-2.3665579271579325	
YDL021W	-1.5907657589836433	
YDL022W	-1.5907657589836433	
YDL027C	-1.5907657589836433	
YDL037C	-1.5907657589836433	
YDL040C	2.2881950818878027	
YDL044C	1.5124029137135135	
YDL046W	-1.5907657589836433	
YDL049C	1.5124029137135135	
YDL057W	2.2881950818878027	
YDL067C	0.7366107455392243	
YDL072C	-1.5907657589836433	
YDL074C	-1.5907657589836433	
YDL075W	3.063987250062092	
YDL081C	0.7366107455392243	
YDL082W	1.5124029137135135	
YDL086W	1.5124029137135135	
YDL089W	-1.5907657589836433	
YDL091C	-1.5907657589836433	
YDL097C		7.798916892308879
YDL100C	1.5124029137135135	
YDL101C	0.7366107455392243	
YDL104C	2.2881950818878027	
YDL113C	1.5124029137135135	
YDL115C	-1.5907657589836433	
YDL118W	2.2881950818878027	
YDL130W	1.5124029137135135	
YDL136W	1.5124029137135135	
YDL138W	0.7366107455392243	
YDL142C	-1.5907657589836433	
YDL146W	1.5124029137135135	
YDL157C	2.2881950818878027	
YDL159W	1.5124029137135135	
YDL167C	1.5124029137135135	
YDL173W	-1.5907657589836433	
YDL176W	1.5124029137135135	
YDL181W	3.063987250062092	
YDL184C	2.2881950818878027	
YDL185W	-2.3665579271579325	
YDL186W	0.7366107455392243	
YDL187C	0.7366107455392243	
YDL188C	1.5124029137135135	
YDL189W	3.063987250062092	
YDL191W	0.7366107455392243	
YDL193W		5.19927792820592
YDL202W	1.5124029137135135	
YDL232W	1.5124029137135135	
YDR010C	2.2881950818878027	
YDR017C	-3.918142263506511	
YDR026C	0.7366107455392243	
YDR041W		-5.19927792820592
YDR042C	1.5124029137135135	
YDR043C	0.7366107455392243	
YDR048C	-1.5907657589836433	
YDR049W	0.7366107455392243	
YDR058C	1.5124029137135135	
YDR074W	-3.1423500953322216	
YDR075W	1.5124029137135135	
YDR078C	3.063987250062092	
YDR079W	1.5124029137135135	
YDR114C	2.2881950818878027	
YDR115W	1.5124029137135135	
YDR126W	-3.1423500953322216	
YDR129C	-1.5907657589836433	
YDR138W	-1.5907657589836433	
YDR148C	3.063987250062092	
YDR158W	-1.5907657589836433	
YDR161W	3.063987250062092	
YDR162C	2.2881950818878027	
YDR175C	1.5124029137135135	
YDR176W	-3.1423500953322216	
YDR181C	1.5124029137135135	
YDR194C	1.5124029137135135	
YDR195W	-3.918142263506511	
YDR199W	3.063987250062092	
YDR207C	-3.1423500953322216	
YDR208W		2.59963896410296
YDR213W	-1.5907657589836433	
YDR217C	2.2881950818878027	
YDR226W	-3.1423500953322216	
YDR229W	-1.5907657589836433	
YDR231C	3.063987250062092	
YDR237W	3.839779418236381	
YDR247W	-1.5907657589836433	
YDR268W	1.5124029137135135	
YDR269C	1.5124029137135135	
YDR270W	1.5124029137135135	
YDR278C	1.5124029137135135	
YDR283C	1.5124029137135135	
YDR284C	1.5124029137135135	
YDR287W	0.7366107455392243	
YDR290W	-3.1423500953322216	
YDR295C	1.5124029137135135	
YDR296W	1.5124029137135135	
YDR305C	1.5124029137135135	
YDR306C	1.5124029137135135	
YDR315C	2.2881950818878027	
YDR323C	1.5124029137135135	
YDR347W	1.5124029137135135	
YDR350C	1.5124029137135135	
YDR363W-A	2.2881950818878027	
YDR364C	-3.918142263506511	
YDR369C	-1.5907657589836433	
YDR377W	3.063987250062092	
YDR378C	2.2881950818878027	
YDR389W	0.7366107455392243	
YDR392W	-3.1423500953322216	
YDR393W	3.063987250062092	
YDR410C	1.5124029137135135	
YDR417C	2.676091165974947	
YDR418W	2.2881950818878027	
YDR435C	0.7366107455392243	
YDR440W	-1.5907657589836433	
YDR448W	-3.1423500953322216	
YDR449C		-5.19927792820592
YDR461W	-2.3665579271579325	
YDR470C	-2.3665579271579325	
YDR475C	-1.5907657589836433	
YDR483W		-5.19927792820592
YDR488C	-1.5907657589836433	
YDR500C	-2.3665579271579325	
YDR507C	2.2881950818878027	
YDR514C	-1.5907657589836433	
YDR518W	2.2881950818878027	
YDR521W	-1.5907657589836433	-5.19927792820592
YDR523C	0.7366107455392243	
YDR526C		2.59963896410296
YDR531W		-7.798916892308879
YEL027W	-3.918142263506511	
YEL029C	-3.918142263506511	
YEL031W	3.063987250062092	
YEL034W		-10.39855585641184
YEL044W	-1.5907657589836433	
YEL045C	-3.1423500953322216	
YEL046C	-3.1423500953322216	
YEL050C	3.063987250062092	
YEL051W	-3.918142263506511	
YEL054C	3.063987250062092	
YER007C-A	3.063987250062092	
YER012W		7.798916892308879
YER016W	-3.1423500953322216	
YER027C	-1.5907657589836433	
YER037W	-1.5907657589836433	
YER044C	0.7366107455392243	
YER050C	3.063987250062092	
YER061C	1.5124029137135135	
YER068W	2.2881950818878027	
YER075C	3.063987250062092	
YER077C	-1.5907657589836433	
YER078C	-1.5907657589836433	
YER081W	0.7366107455392243	
YER083C	-3.918142263506511	
YER084W	2.2881950818878027	
YER087W	3.063987250062092	
YER094C		7.798916892308879
YER095W	-2.3665579271579325	
YER103W	1.5124029137135135	
YER107C		2.59963896410296
YER116C	-2.3665579271579325	
YER120W	0.7366107455392243	
YER122C	2.2881950818878027	
YER129W	-1.5907657589836433	
YER139C	-1.5907657589836433	
YER141W	2.2881950818878027	
YER151C	-3.1423500953322216	
YER155C	-3.1423500953322216	
YER158C	1.5124029137135135	
YER169W	1.5124029137135135	
YER184C	1.5124029137135135	
YER186C	1.5124029137135135	
YFL007W	2.676091165974947	
YFL009W		5.19927792820592
YFL012W-A	-1.5907657589836433	
YFL016C	1.5124029137135135	
YFL023W	-1.5907657589836433	
YFL027C	1.5124029137135135	
YFL036W	1.5124029137135135	
YFL039C		2.59963896410296
YFL042C	-1.5907657589836433	
YFL055W	-1.5907657589836433	
YFL060C		-7.798916892308879
YFR004W		5.19927792820592
YFR008W	2.2881950818878027	
YFR011C	-3.1423500953322216	
YFR012W	2.2881950818878027	
YFR031C-A	1.5124029137135135	
YFR050C		5.19927792820592
YFR052W		10.39855585641184
YFR056C	0.7366107455392243	
YGL011C		5.19927792820592
YGL012W	-3.918142263506511	
YGL020C	3.063987250062092	
YGL025C	-3.1423500953322216	
YGL031C	1.5124029137135135	
YGL035C	1.5124029137135135	
YGL042C	-1.5907657589836433	
YGL047W		10.39855585641184
YGL049C	-1.5907657589836433	
YGL054C	1.5124029137135135	
YGL058W	-1.5907657589836433	
YGL064C	3.839779418236381	
YGL076C	1.5124029137135135	
YGL077C	-1.5907657589836433	
YGL079W	1.5124029137135135	
YGL081W	-2.3665579271579325	
YGL093W		-7.798916892308879
YGL097W		12.998194820514799
YGL103W		2.59963896410296
YGL107C	3.839779418236381	
YGL124C	1.5124029137135135	
YGL126W	1.5124029137135135	
YGL129C	3.839779418236381	
YGL133W	1.5124029137135135	
YGL136C	3.063987250062092	
YGL141W	1.5124029137135135	
YGL143C	3.063987250062092	
YGL144C	1.5124029137135135	
YGL146C	1.5124029137135135	
YGL147C	1.5124029137135135	
YGL167C	-3.1423500953322216	
YGL168W	-3.918142263506511	
YGL203C	1.5124029137135135	
YGL206C	-3.1423500953322216	
YGL217C	-1.5907657589836433	
YGL218W	2.2881950818878027	
YGL219C	3.839779418236381	
YGL220W	1.5124029137135135	
YGL223C	-3.1423500953322216	
YGL228W	1.5124029137135135	
YGL235W	-2.3665579271579325	
YGL240W	3.063987250062092	
YGL241W	-2.3665579271579325	
YGL244W	-1.5907657589836433	
YGL252C	-3.1423500953322216	
YGL253W	1.5124029137135135	
YGR006W	-3.1423500953322216	
YGR011W	-2.3665579271579325	
YGR012W	-1.5907657589836433	
YGR017W	-1.5907657589836433	
YGR018C	-3.1423500953322216	
YGR022C	-3.1423500953322216	
YGR033C	-2.3665579271579325	
YGR037C	-2.3665579271579325	
YGR046W		-5.19927792820592
YGR050C	-1.5907657589836433	
YGR055W	-3.1423500953322216	
YGR058W	-3.1423500953322216	
YGR076C	1.5124029137135135	
YGR078C	-3.918142263506511	
YGR092W	-1.5907657589836433	
YGR101W	2.2881950818878027	
YGR102C	0.7366107455392243	
YGR104C	-3.1423500953322216	
YGR105W	-3.1423500953322216	
YGR109C	-1.5907657589836433	
