ORF	hap alpha | growth (area of killing zone) | K1 killer toxin [unknown] | quantitative | quantitative only for hits | quantitative only for hits	het | growth (area of killing zone) | K1 killer toxin [unknown] | quantitative | quantitative only for hits | quantitative only for hits	hom | growth (area of killing zone) | K1 killer toxin [unknown] | quantitative | quantitative only for hits | quantitative only for hits
YOL001W	52.000	15.000	37.000
YPL031C	44.000	0.000	63.000
YER075C	35.000	0.000	37.000
YOR061W	35.000	0.000	37.000
YDR389W	33.000	0.000	15.000
YKL048C	31.000	0.000	42.000
YDL006W	29.000	0.000	36.000
YAR018C	28.000	0.000	30.000
YFR040W	27.000	0.000	38.000
YKR028W	26.000	0.000	25.000
YER020W	26.000	0.000	17.000
YIL153W	25.000	0.000	31.000
YNL076W	18.000	0.000	17.000
YMR311C	17.000	0.000	31.000
YJL117W	17.000	0.000	30.000
YPL179W	15.000	0.000	33.000
YBR112C	100.000	19.000	100.000
YCR084C	100.000	17.000	100.000
YML112W	100.000	0.000	100.000
YNR023W	100.000	0.000	NaN
YAL021C	58.000	0.000	43.000
YNR052C	40.000	0.000	30.000
YPL101W	32.000	0.000	24.000
YDR448W	31.000	0.000	37.000
YKL139W	30.000	0.000	42.000
YLR131C	29.000	0.000	25.000
YDR227W	28.000	0.000	NaN
YLR384C	27.000	0.000	25.000
YPL042C	27.000	0.000	22.000
YKR101W	27.000	0.000	20.000
YAL019W	24.000	0.000	28.000
YMR312W	21.000	0.000	42.000
YPL086C	20.000	0.000	35.000
YJL127C	20.000	0.000	30.000
YMR263W	18.000	0.000	35.000
YER068W	17.000	0.000	68.000
YPL129W	15.000	0.000	44.000
YLR370C	100.000	0.000	100.000
YLR337C	100.000	0.000	100.000
YOR181W	100.000	0.000	NaN
YDR129C	51.000	0.000	43.000
YLR410W	38.000	0.000	28.000
YDR162C	30.000	15.000	27.000
YNL243W	29.000	0.000	NaN
YPL268W	100.000	0.000	100.000
YMR202W	45.000	0.000	49.000
YER044C	43.000	0.000	48.000
YDR315C	34.000	0.000	21.000
YGL012W	27.000	0.000	30.000
YAL013W	27.000	0.000	28.000
YAR044W	23.000	0.000	28.000
YLR372W	17.000	0.000	26.000
YJL134W	16.000	0.000	16.000
YML067C	100.000	0.000	100.000
YGR167W	100.000	0.000	100.000
YGR166W	100.000	0.000	100.000
YDR027C	100.000	0.000	100.000
YKL212W	100.000	0.000	100.000
YOR035C	100.000	0.000	100.000
YDR320C	100.000	0.000	100.000
YJL204C	100.000	0.000	100.000
YDR484W	100.000	0.000	NaN
YAL042W	62.000	0.000	58.000
YDR372C	47.000	0.000	30.000
YEL013W	45.000	21.000	35.000
YGL206C	41.000	0.000	100.000
YGL223C	41.000	0.000	31.000
YLR262C	31.000	0.000	27.000
YGL054C	29.000	0.000	24.000
YNL041C	27.000	0.000	27.000
YPL051W	27.000	0.000	20.000
YDR136C	22.000	0.000	33.000
YKR020W	22.000	0.000	32.000
YKR001C	21.000	0.000	32.000
YLR148W	16.000	0.000	43.000
YNL084C	15.000	0.000	30.000
YGL027C	100.000	0.000	100.000
YEL042W	100.000	0.000	100.000
YBR229C	100.000	0.000	100.000
YJL139C	100.000	0.000	100.000
YOR085W	100.000	8.000	67.000
YDL095W	100.000	0.000	32.000
YDR483W	100.000	0.000	NaN
YGR036C	100.000	0.000	25.000
YOR002W	47.000	0.000	28.000
YOR067C	39.000	0.000	21.000
YJL186W	36.000	0.000	19.000
YPL227C	30.000	0.000	21.000
YAL023C	23.000	0.000	44.000
YEL053C	44.000	0.000	27.000
YGL203C	43.000	0.000	30.000
YGL240W	33.000	0.000	20.000
YPL069C	28.000	0.000	35.000
YNR006W	20.000	0.000	33.000
YDR349C	17.000	0.000	42.000
YNL322C	100.000	38.000	100.000
YPR159W	100.000	28.000	100.000
YLR342W	100.000	15.000	100.000
YAL058W	100.000	0.000	100.000
YGR229C	100.000	0.000	100.000
YHR103W	23.000	9.000	20.000
YGR279C	16.000	0.000	28.000
YLR436C	16.000	0.000	27.000
YJR118C	100.000	0.000	100.000
YJR121W	100.000	0.000	35.000
YCR071C	100.000	0.000	25.000
YLR382C	46.000	22.000	21.000
YKL134C	40.000	0.000	21.000
YER154W	35.000	0.000	17.000
YHR011W	30.000	0.000	40.000
YJL063C	30.000	0.000	27.000
YJR144W	30.000	0.000	24.000
YKL170W	29.000	0.000	19.000
YMR286W	28.000	0.000	23.000
YLL006W	27.000	0.000	34.000
YPR067W	27.000	0.000	28.000
YBR282W	26.000	0.000	26.000
YCR046C	19.000	0.000	27.000
YPL271W	16.000	0.000	45.000
YDR375C	15.000	0.000	19.000
YJR104C	100.000	0.000	100.000
YKR042W	100.000	0.000	100.000
YAL026C	100.000	0.000	44.000
YDR432W	69.000	0.000	100.000
YNL323W	56.000	0.000	55.000
YEL046C	55.000	0.000	45.000
YAL020C	29.000	0.000	22.000
YGR270W	26.000	0.000	20.000
YMR238W	26.000	0.000	20.000
YOL072W	24.000	30.000	100.000
YCR094W	23.000	0.000	38.000
YPL226W	23.000	0.000	34.000
YMR038C	22.000	0.000	38.000
YLL043W	21.000	0.000	35.000
YJR049C	16.000	0.000	30.000
YMR026C	16.000	0.000	28.000
YAR014C	46.000	0.000	53.000
YFR043C	45.000	0.000	30.000
YKL037W	41.000	0.000	33.000
YGL007W	37.000	0.000	30.000
YNL213C	33.000	0.000	NaN
YBL051C	30.000	0.000	30.000
YOR154W	29.000	0.000	16.000
YLR270W	29.000	0.000	NaN
YNL063W	27.000	0.000	24.000
YNL297C	20.000	0.000	30.000
YBR162C	19.000	0.000	34.000
YER140W	18.000	0.000	34.000
YJL004C	18.000	0.000	26.000
YLL007C	17.000	0.000	33.000
YJR082C	17.000	0.000	24.000
YDR126W	16.000	0.000	34.000
YGR263C	16.000	0.000	32.000
YIL027C	15.000	20.000	46.000
YBR284W	15.000	0.000	30.000
YER125W	NaN	41.000	NaN
