orf	hap alpha | growth (culture turbidity) | amiodarone [7 uM] | Gupta SS~Rao R, 2003
YBL025W	-11.409269414446683
YBL083C	-11.409269414446683
YCR094W	-11.409269414446683
YDL006W	-11.409269414446683
YDL170W	-11.409269414446683
YDL185W	-11.409269414446683
YDR162C	-11.409269414446683
YDR271C	-11.409269414446683
YEL027W	-11.409269414446683
YGL095C	-11.409269414446683
YGL167C	-11.409269414446683
YGL244W	-11.409269414446683
YGL246C	-11.409269414446683
YHL020C	-11.409269414446683
YHR030C	-11.409269414446683
YHR035W	-11.409269414446683
YHR155W	-11.409269414446683
YJL176C	-11.409269414446683
YJL204C	-11.409269414446683
YKL126W	-11.409269414446683
YKL212W	-11.409269414446683
YLR056W	-11.409269414446683
YLR322W	-11.409269414446683
YML008C	-11.409269414446683
YMR122C	-11.409269414446683
YMR174C	-11.409269414446683
YMR299C	-11.409269414446683
YNL041C	-11.409269414446683
YNL280C	-11.409269414446683
YNL323W	-11.409269414446683
YOL087C	-11.409269414446683
YOR144C	-11.409269414446683
YOR153W	-11.409269414446683
YPL045W	-11.409269414446683
YPR036W	-11.409269414446683
