ORF	hom | growth (relative abundance in pooled culture) | gamma-irradiation [200 Gy] | Game JC~Brown JM, 2003
YML095C	-0.480
YER162C	-0.091
YLR032W	-0.134
YMR201C	-0.242
YGR258C	-0.044
YMR137C	-0.203
YPL022W	-0.080
YGL087C	0.505
YJL092W	-0.556
YPL167C	-0.265
YGL175C	-0.037
YIL154C	-0.702
YDR076W	-0.007
YOR346W	0.111
YDL059C	0.265
YJR043C	0.577
YIL139C	-0.309
YCR066W	-0.121
YIL132C	0.272
YDR386W	-0.311
YBR098W	-0.216
YDR004W	-0.180
YEL037C	-0.420
YNL201C	-0.047
YLR376C	0.209
YNL197C	0.278
YDR075W	-0.172
YIR002C	-0.321
YBR099C	-0.348
YLR135W	0.065
YOR039W	-0.667
YHL006C	-0.678
YHL031C	0.117
YDR078C	0.194
YLL043W	0.220
YKL048C	0.782
YKL076C	0.224
YOL081W	-1.018
YDL160C	0.482
YJL129C	0.696
YGL071W	-0.240
YHR030C	-0.203
YAL021C	-0.419
YDR484W	-0.501
YBR073W	-0.292
YJL165C	0.325
YLR426W	0.238
YGL012W	-1.133
YCL016C	0.762
YIL156W	-0.405
YHR134W	-0.211
YER016W	0.146
YDR409W	0.186
YAR002W	0.691
YGL019W	-0.023
YMR039C	-1.100
YIL005W	-0.091
YNL107W	-0.535
YER089C	-0.969
YCR009C	NaN
YMR214W	-0.070
YDL101C	0.020
YDL006W	-0.092
YMR190C	-0.377
YMR294W	-0.620
YHR031C	-0.210
YDR293C	-0.415
YMR031W-A	-1.052
YNL273W	0.087
YJL047C	0.417
YOL001W	0.050
YHL005C	0.241
YER083C	-0.369
YOR033C	0.193
YOR345C	-0.056
YMR284W	-0.665
YAR003W	-0.308
YHR025W	-0.062
YKL126W	-0.555
YKL212W	-0.403
YIL153W	-0.599
YBR231C	-0.230
YOR198C	NaN
YOR038C	0.366
YJL095W	-0.196
YAL019W	-0.172
YDR456W	-0.522
YNR068C	-0.108
YPR119W	0.118
YER111C	-0.183
YNL271C	-0.282
YGR056W	0.268
YDR014W	0.082
YDR207C	0.137
YNL084C	0.122
YNL307C	-1.533
YPR040W	NaN
YMR242C	-0.221
YDL192W	0.151
YPL008W	0.027
YPR164W	0.005
YOR008C-A	0.043
YBR215W	0.065
YPL183W-A	0.647
YML013W	-0.336
YDR149C	NaN
YLR027C	-0.874
YOR089C	-1.018
YOR014W	0.823
YIL035C	-0.008
YJR111C	-0.152
YAL026C	-0.496
YML028W	-1.075
YMR152W	-0.265
YDL066W	0.334
YLR131C	0.490
YDR389W	0.474
YMR036C	-0.167
YCL037C	0.475
YBL083C	-0.430
YNL136W	-0.165
YNL070W	-0.511
YMR020W	-0.137
YOL012C	0.490
YMR017W	-0.010
YOR360C	-0.240
YDR372C	0.085
YER019W	0.476
YER048C	-0.408
YDL133W	0.119
YNL291C	-0.235
YOR085W	0.746
YER041W	-0.334
YAL002W	-1.347
YBR156C	NaN
YML030W	-0.054
YHR041C	0.682
YBL022C	-0.537
YNL264C	-0.169
YCL061C	NaN
YJL192C	-0.110
YHL044W	-0.602
YIL041W	NaN
YAL011W	0.002
YDR455C	-0.872
YGL251C	NaN
YGL127C	0.438
YCL032W	-0.527
YDR414C	0.774
YGR092W	0.120
YML013C-A	-0.051
YOL076W	NaN
