ORF	hap a | mutation frequency (CanR) | standard [standard] | Huang ME~Kolodner RD, 2003
YKL113C	49.147
YNL082W	23.500
YOL090W	19.088
YMR167W	15.588
YML032C	13.647
YMR166C	13.265
YGL163C	11.147
YDR004W	10.941
YDR076W	10.529
YML028W	10.441
YER095W	10.059
YMR224C	9.794
YNL250W	9.706
YIL116W	9.147
YGL087C	8.382
YDR097C	8.147
YDR216W	7.206
YHL006C	6.382
YLR032W	6.324
YIL132C	6.176
YLR376C	6.000
YJR104C	6.000
YML060W	5.176
YCR066W	5.147
YDR078C	5.118
YMR038C	5.000
YOR144C	4.000
YML061C	3.529
YHR206W	3.206
YML007W	2.882
YLR154C	2.618
YDL162C	2.471
YML021C	2.324
