orf	hom | viral RNA replication (luciferase expression) | standard [standard] | Kushner DB~Ahlquist P, 2003
YAL002W	1.3187397248728114
YAL004W	1.1987434857268102
YAL005C	1.9442783022731018
YAL007C	-0.565725330172106
YAL008W	0.23750825022962463
YAL009W	4.481214379824475
YAL010C	
YAL011W	1.9445705959321729
YAL012W	
YAL013W	3.155121819964537
YAL014C	-0.3342138334138905
YAL015C	-0.7663565996493537
YAL016W	
YAL017W	-0.26960179647723576
YAL018C	-0.36219142915761476
YAL019W	-0.6218629274078424
YAL020C	1.1218908151977134
YAL021C	
YAL022C	0.6118895064393287
YAL023C	-1.489551085652227
YAL024C	
YAL026C	5.923765170480617
YAL027W	-0.21278368331137887
YAL028W	0.026640850948034714
YAL029C	-0.6309556634486491
YAL030W	-0.09375033807741032
YAL031C	-0.5509408651412204
YAL034C	-0.24452440243107948
YAL035W	
YAL036C	-0.3752230374564034
YAL037W	-0.17216871263276995
YAL039C	
YAL040C	3.314678142765883
YAL042C-A	-0.7994599939478939
YAL042W	-0.5445667373045965
YAL044C	
YAL045C	-0.33609961265995375
YAL046C	-0.2922589848261747
YAL047C	
YAL048C	-0.40433742367710584
YAL049C	-0.35215176032201906
YAL051W	-0.30666382189519165
YAL053W	-0.12019902497603441
YAL054C	0.3307850503384657
YAL055W	-0.09116232360855206
YAL056C-A	0.29360951699890103
YAL056W	-0.71932463939821
YAL058W	0.46045630930853804
YAL059W	1.6676337400512735
YAL060W	-0.599124976655349
YAL061W	-0.5203245049651165
YAL062W	0.049227167183094736
YAL064C-A	-0.2193972068474177
YAL065C	-0.17951040945411542
YAL066W	-0.4673113923042771
YAL067C	-0.16334190164375695
YAL068C	-0.6646414684734386
YAR002C-A	-0.2480769656523573
YAR002W	-0.5922111898918744
YAR003W	0.47345900651894396
YAR014C	0.3486413940057761
YAR015W	-1.0153143591842284
YAR018C	-0.23698196349683182
YAR020C	0.1716593182803056
YAR023C	0.25849855851505327
YAR027W	0.39970082003399393
YAR028W	0.0849078092962555
YAR029W	-0.06366218003704954
YAR030C	-0.41022399132008014
YAR031W	-0.5440728390738768
YAR035W	-0.11246460234507645
YAR042W	0.09128371243162668
YAR047C	0.1327933781639531
YAR050W	-0.14147044202735642
YBL001C	-0.4741613209689335
YBL002W	0.035736316746920134
YBL003C	-0.24577728365594625
YBL005W	-0.2387001791473195
YBL006C	2.1699954647531343
YBL007C	
YBL008W	-0.4185380320530518
YBL009W	-0.08121915158992678
YBL010C	-0.1277135060827726
YBL011W	-0.30269850727839737
YBL012C	-0.31589152524065117
YBL013W	0.17367897013382946
YBL015W	0.024339368791667808
YBL017C	1.6061094639925446
YBL019W	-0.44686253348897126
YBL021C	
YBL022C	0.31480627339175093
YBL024W	-0.7374559544135587
YBL027W	-1.353500227266716
YBL028C	-0.07059960797541259
YBL029W	-0.15029063659374628
YBL031W	0.2420824852770206
YBL032W	-0.2152735144466658
YBL033C	
YBL036C	-0.14266281989792795
YBL037W	-0.2272943696625451
YBL038W	
YBL039C	-0.7042320959872315
YBL042C	0.6801061420060415
YBL043W	-0.14988452039836925
YBL044W	-0.37064442974122225
YBL045C	
YBL046W	-0.34354512983024726
YBL047C	-0.506070202570941
YBL048W	-0.450297538029901
YBL049W	-0.5286255910774321
YBL051C	-1.050630864508709
YBL052C	0.15615998062424843
YBL053W	-0.05155142405993429
YBL054W	0.43652023950480534
YBL055C	-0.1325032778637626
YBL056W	-0.28510083449030976
YBL057C	0.18943059366269377
YBL058W	
YBL059W	-0.8336748220987381
YBL060W	-0.32288346312247385
YBL061C	0.9931217911940945
YBL062W	2.235010161065257
YBL063W	-0.26747676538510945
YBL064C	-0.3427581411562219
YBL065W	0.07607204404860232
YBL066C	0.13831569562150528
YBL067C	0.0038262584992049954
YBL068W	0.1257394954226538
YBL069W	
YBL070C	0.05591916416314077
YBL071C	1.8439141480110057
YBL072C	3.818383621623142
YBL075C	-0.3338091304041778
YBL078C	0.023497545009360042
YBL079W	5.336518115218424
YBL080C	
YBL081W	-0.47660966266753274
YBL082C	0.14412667149553396
YBL083C	0.9133439668898028
YBL085W	-0.4204130959359585
YBL086C	-0.5427910043178611
YBL087C	0.4526867264161004
YBL088C	-0.29141429132934876
YBL089W	-0.3399984658826623
YBL090W	
YBL091C	-0.6621134045762831
YBL091C-A	-0.6213261104835512
YBL093C	
YBL094C	-0.19866694603889995
YBL095W	0.25610049232186644
YBL096C	-0.06458101580267861
YBL098W	0.0871290401524192
YBL099W	
YBL100C	
YBL101C	0.15148710747045466
YBL102W	0.2629093252875787
YBL104C	0.07240628430456232
YBL106C	-0.25634872557933897
YBL107C	-0.44668350177312227
YBR001C	-0.0863529550163622
YBR003W	
YBR005W	-0.0646107473745622
YBR006W	-0.32064594435331367
YBR007C	-0.06837076811217714
YBR008C	0.1872242733940539
YBR009C	0.8271166860045419
YBR010W	-0.06871733459036439
YBR012C	-0.2801211216305152
YBR013C	0.08651643293660422
YBR014C	-0.08894526768310297
YBR015C	
YBR016W	0.19614921450807005
YBR018C	
YBR019C	
YBR020W	
YBR022W	-0.37614676078556486
YBR023C	1.9823806368383114
YBR024W	-0.2424299344134893
YBR025C	-0.3290298877965004
YBR026C	
YBR027C	0.11309780384355135
YBR028C	-0.628642271713657
YBR029C	-0.7344709659526611
YBR031W	-0.27792864238194637
YBR032W	-0.19413810470166754
YBR033W	-0.4381558715017361
YBR034C	-1.0616863035548707
YBR035C	
YBR036C	0.002781154282866678
YBR037C	
YBR038W	0.12512670375827772
YBR040W	0.21796706578942235
YBR041W	1.2254116019038064
YBR042C	1.2286348040072403
YBR043C	-0.06752930948941353
YBR044C	0.39429675067463127
YBR045C	-0.19963968638735638
YBR046C	-0.11659352192294227
YBR047W	0.15678868927225015
YBR048W	2.394156017927943
YBR050C	-0.19226188740550687
YBR051W	-0.15605410952866786
YBR052C	-0.003901568060311956
YBR053C	-0.18868852431853048
YBR054W	-0.1828868418366973
YBR056W	0.19771949185606666
YBR057C	0.2971820020427571
YBR058C	-0.5937939742814964
YBR059C	0.6295216462855517
YBR062C	-0.15491691807367153
YBR063C	-0.0504814092376778
YBR064W	-0.1428293693807021
YBR065C	0.3108713633131063
YBR066C	-0.12868104839009747
YBR067C	0.05013244435499518
YBR068C	0.4782760213800303
YBR069C	-0.40973577755292573
YBR071W	0.6732117395618321
YBR072W	-0.04923374390257421
YBR073W	0.3592566645131886
YBR074W	-0.16618286090603024
YBR076W	-0.6450465933860461
YBR077C	0.21848308500562452
YBR078W	
YBR083W	-0.007016169982938543
YBR084C-A	-0.8804821520162498
YBR084W	0.2512382024671817
YBR089C-A	-0.411914785586282
YBR090C	-0.5020183860529149
YBR092C	-0.3646021144844717
YBR093C	0.1985012268900036
YBR094W	-0.19121999116681265
YBR098W	0.4242842956432794
YBR099C	0.08015547917619138
YBR101C	0.8981574465013389
YBR103W	-1.3127059116780784
YBR104W	0.039306186062626584
YBR105C	0.4717695110942919
YBR106W	2.0860948422048846
YBR107C	
YBR108W	-0.3769759084401283
YBR112C	
YBR113W	0.03807533103153304
YBR114W	0.04949819043600096
YBR116C	-0.18157360760047977
YBR119W	0.5549248669762835
YBR120C	-0.4574693998979028
YBR125C	0.18791022999830756
YBR126C	
YBR127C	
YBR128C	-0.31888689729274433
YBR129C	-0.27709033914688885
YBR130C	0.6639131512089571
YBR131W	0.4337348455420288
