ORF	hap a | growth (lag phase) | sodium chloride [0.85 M] | minimal complete | Warringer J~Blomberg A, 2003	hap a | growth (exponential growth rate) | sodium chloride [0.85 M] | minimal complete | Warringer J~Blomberg A, 2003	hap a | growth (stationary phase cell density) | sodium chloride [0.85 M] | minimal complete | Warringer J~Blomberg A, 2003	hap a | growth (lag phase) | standard | minimal complete | Warringer J~Blomberg A, 2003	hap a | growth (exponential growth rate) | standard | minimal complete | Warringer J~Blomberg A, 2003	hap a | growth (stationary phase cell density) | standard | minimal complete | Warringer J~Blomberg A, 2003
YAL002W	-0.278	0.101	-0.120	0.044	-0.121	-0.180
YAL004W	0.100	0.020	-0.189	0.085	-0.016	0.177
YAL005C	1.099	0.022	-0.047	-1.079	0.016	0.054
YAL007C	0.098	-0.066	0.053	0.066	-0.005	0.013
YAL008W	0.030	0.060	0.114	-0.016	-0.026	-0.058
YAL009W	-0.211	0.111	-0.024	-0.095	-0.205	-0.057
YAL010C	0.741	0.085	0.122	-0.859	-0.104	-0.208
YAL011W	0.046	-0.016	-0.084	0.053	-0.072	0.066
YAL012W	0.037	-0.020	0.163	0.058	-0.003	-0.028
YAL013W	1.355	-0.003	0.388	-1.119	-0.197	-0.441
YAL014C	-0.052	-0.028	-0.130	-0.006	-0.013	0.072
YAL015C	0.915	-0.005	-0.083	-0.862	0.041	0.128
YAL016W	-0.316	-0.056	0.098	-0.013	-0.320	-0.220
YAL017W	0.146	0.041	0.183	0.000	-0.071	-0.186
YAL018C	0.144	-0.091	0.010	0.075	-0.029	-0.004
YAL019W	-0.143	0.093	0.148	0.080	-0.105	-0.082
YAL020C	-0.008	0.047	0.100	0.070	-0.100	-0.080
YAL021C	0.077	-0.034	-0.006	0.113	-0.019	-0.078
YAL022C	-0.043	0.075	0.037	0.023	-0.007	-0.004
YAL023C	-0.056	0.217	-0.055	0.069	-0.027	-0.069
YAL026C	-0.081	0.040	0.025	0.000	-0.063	-0.043
YAL027W	0.025	0.053	0.021	-0.013	0.020	-0.052
YAL028W	0.045	0.023	0.198	0.037	-0.019	-0.165
YAL029C	-0.051	0.083	0.157	0.077	-0.039	-0.132
YAL030W	0.150	-0.072	0.046	0.026	-0.034	0.009
YAL031C	0.059	-0.093	0.177	-0.080	-0.017	-0.110
YAL034C	-0.034	0.016	-0.011	-0.070	0.002	0.074
YAL035W	-0.049	0.089	-0.057	-0.069	-0.012	0.033
YAL036C	-0.025	0.039	-0.074	-0.099	-0.032	0.046
YAL037W	-0.014	0.045	-0.046	-0.060	-0.001	0.044
YAL039C	-0.047	0.066	-0.201	-0.123	-0.067	-0.035
YAL040C	-0.141	0.066	0.215	-0.099	-0.014	-0.193
YAL042W	0.051	-0.005	-0.019	0.009	-0.070	0.002
YAL043C-A	0.042	0.005	0.049	0.009	-0.049	0.004
YAL044C	0.090	0.195	0.188	-0.103	-0.168	-0.145
YAL045C	0.028	0.019	-0.005	-0.070	-0.012	0.065
YAL046C	0.020	0.001	0.018	-0.138	-0.012	0.037
YAL047C	0.071	-0.039	0.215	-0.632	-0.280	-0.287
YAL048C	-0.020	0.089	-0.149	-0.231	-0.213	0.003
YAL049C	0.007	0.020	0.018	-0.088	-0.008	0.022
YAL051W	-0.031	0.039	-0.084	-0.065	-0.003	0.125
YAL053W	0.007	0.036	-0.044	-0.047	-0.030	0.006
YAL054C	-0.122	0.013	0.085	0.214	0.030	-0.032
YAL055W	-0.057	0.060	0.061	-0.024	0.010	-0.046
YAL056W	0.052	0.068	-0.138	0.212	0.036	-0.138
YAL058C-A	0.346	0.124	0.079	0.056	-0.058	-0.086
YAL058W	0.175	0.134	0.099	0.051	-0.183	-0.130
YAL059W	-0.011	0.040	0.106	-0.143	-0.113	-0.104
YAL060W	-0.069	0.036	-0.015	0.011	-0.014	0.012
YAL061W	-0.020	0.029	0.086	-0.076	-0.002	-0.073
YAL062W	-0.033	0.027	-0.114	-0.075	-0.023	-0.044
YAL064C-A	0.070	-0.025	-0.051	0.012	-0.004	0.048
YAL065C	-0.030	0.051	0.005	-0.023	-0.032	-0.063
YAL066W	-0.029	-0.011	-0.081	-0.020	0.009	0.013
YAL067C	-0.032	0.046	0.025	-0.016	-0.029	-0.068
YAL068C	0.083	-0.019	0.070	-0.016	-0.063	-0.082
YAR002C-A	0.127	0.020	0.045	0.037	0.037	-0.041
YAR002W	-0.121	0.132	-0.205	-0.007	-0.100	0.137
YAR003W	-0.049	-0.023	-0.104	0.041	-0.075	-0.031
YAR014C	0.703	-0.005	-0.041	-0.858	0.059	0.004
YAR015W	-0.043	0.067	-0.004	-0.108	-0.023	0.018
YAR018C	0.690	0.000	0.038	-0.796	0.037	-0.025
YAR020C	0.007	0.012	-0.083	0.106	-0.014	0.041
YAR023C	0.270	0.184	-0.069	-0.172	-0.192	0.108
YAR027W	0.057	-0.093	-0.001	0.148	-0.050	0.064
YAR028W	0.135	0.017	0.159	0.026	-0.055	-0.121
YAR029W	-0.035	0.089	0.124	0.124	-0.139	-0.180
YAR030C	-0.049	0.055	-0.010	0.063	-0.014	0.032
YAR031W	-0.034	0.041	0.052	0.096	-0.014	-0.001
YAR035W	0.107	-0.015	0.037	0.065	0.008	-0.028
YAR037W	0.024	0.010	-0.025	0.046	-0.007	0.061
YAR040C	0.120	-0.055	0.037	0.012	0.004	0.011
YAR042W	0.046	-0.043	0.010	0.022	0.004	0.001
YAR043C	0.071	-0.039	-0.001	0.045	-0.011	-0.002
YAR044W	-0.267	0.017	0.033	0.091	-0.018	0.004
YAR047C	-0.016	0.056	0.111	0.086	-0.015	-0.111
YAR050W	0.020	-0.021	0.079	0.129	0.026	-0.075
YBL001C	0.196	0.129	0.015	0.015	-0.059	0.029
YBL002W	-0.233	-0.034	-0.059	-0.681	-0.185	-0.140
YBL003C	0.032	0.174	0.004	0.202	-0.014	-0.011
YBL005W	0.053	0.162	0.068	0.225	-0.019	-0.031
YBL006C	0.001	-0.111	-0.673	-0.068	-0.176	-0.278
YBL007C	0.130	-0.379	0.006	-0.325	-0.118	-0.006
YBL008W	-0.280	0.061	0.069	0.036	-0.054	-0.046
YBL009W	-0.018	0.074	0.145	-0.143	-0.064	-0.094
YBL010C	0.027	0.187	0.155	0.187	-0.040	-0.059
YBL011W	0.157	0.092	-0.072	0.141	-0.035	0.001
YBL012C	-0.331	0.271	-0.315	-0.044	-0.167	-0.005
YBL013W	-0.188	0.125	-0.091	-0.006	-0.046	0.131
YBL015W	-0.175	0.215	-0.033	0.222	-0.019	-0.035
YBL016W	-0.108	0.194	-0.030	0.124	-0.060	0.089
YBL017C	-0.071	0.207	-0.015	0.135	-0.048	-0.124
YBL019W	0.033	0.085	0.041	0.221	-0.010	0.077
YBL021C	-0.361	0.236	-0.004	-0.455	-0.162	-0.224
YBL022C	-0.435	0.213	0.102	0.031	-0.186	-0.246
YBL024W	-0.190	-0.553	0.481	-1.125	-0.222	-0.481
YBL025W	0.119	0.157	-0.065	-0.806	-0.492	-0.025
YBL027W	-0.077	0.297	-0.050	0.082	-0.266	0.054
YBL028C	-0.204	0.171	0.056	0.175	-0.004	-0.012
YBL029W	-0.039	0.129	0.084	0.243	0.029	-0.068
YBL031W	-0.084	0.078	0.064	0.061	-0.015	-0.074
YBL032W	-0.131	0.207	0.081	0.191	0.009	-0.020
YBL033C	-0.242	0.290	-0.138	-0.009	-0.075	0.022
YBL036C	-0.388	0.136	0.038	0.168	-0.023	0.030
YBL037W	-0.307	0.130	0.053	0.327	-0.011	-0.038
YBL038W	-0.238	0.264	-0.024	-0.083	-0.210	-0.035
YBL039C	0.054	0.218	0.006	0.138	-0.065	-0.002
YBL042C	0.086	0.188	0.043	0.216	-0.014	-0.006
YBL043W	0.040	0.128	0.135	0.118	-0.006	-0.043
YBL044W	-0.255	0.240	0.064	-0.212	-0.328	-0.070
YBL045C	-0.073	0.215	-0.137	-0.143	-0.147	-0.023
YBL046W	0.228	0.109	0.042	0.196	0.013	0.000
YBL047C	0.127	0.112	-0.107	-0.115	-0.096	-0.033
YBL048W	0.198	0.081	-0.000	0.223	-0.018	0.077
YBL049W	0.174	0.075	0.050	0.240	-0.019	-0.074
YBL051C	0.558	0.057	0.021	0.023	-0.072	-0.084
YBL052C	0.439	0.001	0.014	0.205	0.011	-0.021
YBL053W	0.283	0.095	-0.106	0.133	0.006	0.101
YBL054W	0.304	0.047	0.056	0.115	0.023	-0.043
YBL055C	-0.026	0.174	0.018	0.090	-0.032	-0.014
YBL056W	0.379	0.031	0.469	0.000	-0.024	-0.398
YBL057C	0.170	0.040	-0.026	0.114	0.012	0.011
YBL058W	2.231	0.826	0.028	-2.005	-0.680	NaN
YBL059W	0.319	-0.034	-0.003	0.155	0.018	-0.017
YBL060W	0.425	-0.002	0.074	0.178	0.020	-0.032
YBL061C	-0.103	0.196	-0.028	0.188	-0.022	0.059
YBL062W	-0.027	0.166	0.053	0.204	-0.028	0.012
YBL063W	0.190	0.152	0.019	0.236	-0.027	0.007
YBL064C	0.171	0.147	0.080	0.185	-0.058	-0.019
YBL065W	-0.856	0.121	0.997	0.509	-0.096	-1.072
YBL066C	0.163	0.151	0.071	0.184	-0.055	-0.049
YBL067C	0.050	0.210	0.153	0.476	-0.115	-0.049
YBL068W	0.102	0.084	0.070	0.181	-0.047	-0.024
YBL069W	0.246	0.085	-0.010	0.253	-0.011	0.013
YBL070C	0.328	0.070	0.023	0.193	-0.034	-0.040
YBL071C	-0.077	0.157	0.073	0.045	-0.095	-0.046
YBL072C	-0.008	0.389	0.039	0.030	-0.323	0.009
YBL075C	-0.026	0.156	0.072	0.231	-0.004	-0.008
YBL078C	-0.216	0.194	0.130	0.038	-0.029	-0.121
YBL079W	-0.121	0.358	-0.001	0.140	-0.380	-0.071
YBL080C	-0.110	0.225	-0.016	-0.221	-0.267	-0.040
YBL081W	-0.086	0.173	0.011	0.252	-0.050	-0.036
YBL082C	0.054	0.180	-0.004	0.020	-0.019	0.076
YBL083C	0.079	0.182	-0.063	0.003	-0.011	-0.013
YBL085W	-0.134	0.125	0.127	0.190	-0.013	-0.061
YBL086C	0.174	0.091	0.068	0.128	0.016	-0.004
YBL087C	0.222	0.176	0.079	0.124	-0.118	0.004
YBL088C	0.119	0.082	0.013	0.048	-0.014	0.046
YBL089W	-0.016	0.146	0.048	0.056	-0.073	-0.006
YBL090W	-0.029	0.184	-0.004	-0.327	-0.279	-0.066
YBL091C	0.481	0.006	0.010	-0.763	0.004	0.027
YBL091C-A	0.065	0.043	0.082	0.029	-0.013	-0.093
YBL093C	2.146	0.831	0.077	-2.190	-0.775	NaN
YBL094C	0.085	0.014	0.188	-0.311	-0.101	-0.356
YBL095W	0.096	-0.016	0.174	-0.512	-0.037	-0.201
YBL096C	0.020	0.161	-0.158	-0.064	-0.042	-0.029
YBL098W	0.096	0.162	0.004	0.211	0.006	-0.039
YBL099W	0.172	0.016	0.087	-0.532	-0.142	-0.112
YBL100C	-0.004	0.110	-0.192	-0.507	-0.231	0.011
YBL101C	0.186	0.104	0.075	0.164	0.002	0.023
YBL102W	0.229	0.089	0.099	0.092	-0.013	-0.005
YBL103C	-1.165	0.416	NaN	0.374	-0.944	NaN
YBL104C	0.076	0.075	0.136	0.102	0.025	-0.084
YBL106C	0.129	0.045	-0.026	-0.048	0.021	0.008
YBL107C	0.356	0.081	0.086	0.213	-0.005	-0.117
YBR001C	0.350	0.051	0.077	0.216	-0.002	-0.134
YBR003W	-0.129	0.118	-0.033	-0.124	-0.132	-0.150
YBR005W	0.305	0.049	0.064	0.189	-0.036	-0.074
YBR006W	-0.006	0.049	0.091	0.040	-0.051	0.005
YBR007C	0.108	0.051	0.092	0.103	-0.030	-0.008
YBR008C	0.076	0.096	0.086	0.259	-0.030	-0.079
YBR009C	0.157	0.126	0.114	0.222	-0.061	-0.123
YBR010W	0.280	0.110	0.062	0.156	-0.019	-0.030
YBR012C	0.104	0.023	0.056	-0.123	-0.027	-0.090
YBR013C	-0.309	0.007	-0.028	0.126	-0.008	0.007
YBR014C	-0.352	0.030	0.022	0.190	0.021	-0.033
YBR015C	-0.252	0.053	0.150	0.220	-0.003	-0.151
YBR016W	-0.216	-0.030	0.122	0.119	0.056	-0.118
YBR018C	-0.202	0.019	0.061	0.171	0.025	0.003
YBR019C	-0.267	0.007	-0.049	0.171	0.029	0.014
YBR020W	-0.191	0.011	0.037	-0.025	0.024	-0.062
YBR021W	0.205	0.108	-0.072	-0.415	-0.067	0.084
YBR022W	-0.166	0.018	0.016	0.211	0.000	-0.021
YBR023C	-0.331	0.014	0.053	0.200	0.020	-0.036
YBR024W	-0.146	0.057	0.077	0.016	0.015	-0.041
YBR025C	-0.230	0.070	0.172	0.102	-0.078	-0.147
YBR026C	0.111	0.094	0.294	-0.298	-0.139	-0.285
YBR027C	-0.218	0.017	-0.006	0.125	0.039	0.020
YBR028C	-0.016	0.045	-0.001	-0.028	-0.011	0.014
YBR030W	-0.287	-0.015	0.023	0.227	0.027	0.009
YBR031W	-0.180	0.039	-0.028	-0.003	-0.047	0.020
YBR032W	-0.229	0.040	0.074	0.156	-0.001	-0.043
YBR033W	-0.161	0.008	-0.148	0.143	-0.013	0.120
YBR034C	-0.508	0.008	-0.020	0.102	0.013	0.028
YBR035C	-0.684	0.091	-0.177	0.225	-0.075	0.152
YBR036C	-0.194	0.077	0.085	0.138	-0.004	-0.148
YBR037C	-0.106	0.161	0.175	-0.106	-0.142	-0.250
YBR040W	-0.079	0.052	0.050	-0.028	0.015	-0.042
YBR041W	0.219	-0.126	-0.082	-0.092	-0.061	0.075
YBR042C	-0.112	-0.077	-0.091	0.144	-0.008	0.073
YBR043C	-0.085	-0.032	0.000	0.161	0.026	0.025
YBR044C	1.618	0.379	-0.070	-1.799	-0.319	NaN
YBR045C	-0.200	0.057	-0.019	-0.009	-0.005	0.033
YBR046C	-0.283	0.004	0.017	0.096	0.020	0.013
YBR047W	-0.069	0.080	0.157	0.034	-0.022	-0.155
YBR048W	0.034	0.132	0.226	-0.151	-0.178	-0.180
YBR050C	0.434	0.095	0.030	-0.526	-0.067	0.020
YBR051W	-0.245	0.025	0.038	0.180	0.002	-0.019
YBR052C	-0.079	0.023	-0.002	0.088	-0.009	0.017
YBR053C	-0.257	-0.108	-0.216	0.107	-0.009	0.014
YBR054W	0.006	-0.031	-0.022	0.141	-0.005	0.033
YBR056W	-0.056	-0.039	-0.023	0.132	-0.004	0.012
YBR056W-A	-0.465	-0.037	-0.011	0.087	0.017	-0.010
YBR057C	-0.130	0.062	0.006	-0.237	-0.038	-0.121
YBR058C	-0.034	0.078	0.101	-0.127	-0.029	-0.122
YBR061C	-0.003	-0.099	0.145	0.030	-0.034	-0.299
YBR062C	-0.134	0.027	0.051	-0.009	-0.015	-0.047
