ORF	hom | sporulation efficiency | sporulation medium [unknown] | Marston AL~Amon A, 2004	hom | dyad formation (percentage of cells forming dyads) | sporulation medium [unknown] | Marston AL~Amon A, 2004	hom | chromosome segregation (percentage of tetrads with 1 chromosome/cell) | sporulation medium [unknown] | Marston AL~Amon A, 2004
YAL002W	57.000	33.000	76.000
YAL004W	45.000	62.000	75.000
YAL005C	67.000	22.000	44.000
YAL007C	56.000	57.000	67.000
YAL008W	59.000	44.000	96.000
YAL009W	62.000	47.000	82.000
YAL010C	56.000	48.000	67.000
YAL011W	42.000	52.000	74.000
YAL012W	69.000	61.000	45.000
YAL013W	55.000	40.000	86.000
YAL014C	72.000	31.000	74.000
YAL015C	55.000	58.000	84.000
YAL016W	32.000	38.000	73.000
YAL017W	50.000	44.000	59.000
YAL018C	47.000	43.000	77.000
YAL019W	54.000	52.000	62.000
YAL020C	64.000	56.000	73.000
YAL021C	47.000	53.000	67.000
YAL022C	54.000	52.000	78.000
YAL023C	49.000	61.000	94.000
YAL024C	NaN	NaN	NaN
YAL026C	51.000	39.000	49.000
YAL027W	64.000	58.000	74.000
YAL028W	76.000	47.000	78.000
YAL029C	78.000	49.000	64.000
YAL030W	46.000	54.000	86.000
YAL031C	52.000	54.000	78.000
YAL034C	39.000	54.000	82.000
YAL035W	51.000	43.000	81.000
YAL036C	57.000	40.000	74.000
YAL037W	60.000	52.000	73.000
YAL039C	55.000	33.000	76.000
YAL040C	46.000	43.000	80.000
YAL042W	42.000	48.000	77.000
YAL043C-A	51.000	45.000	68.000
YAL044C	49.000	55.000	82.000
YAL045C	57.000	61.000	66.000
YAL046C	66.000	47.000	72.000
YAL047C	78.000	32.000	76.000
YAL048C	71.000	44.000	41.000
YAL049C	66.000	35.000	79.000
YAL051W	60.000	43.000	82.000
YAL053W	42.000	50.000	74.000
YAL054C	17.000	24.000	51.000
YAL055W	38.000	58.000	80.000
YAL056W	39.000	51.000	62.000
YAL058C-A	71.000	49.000	84.000
YAL058W	45.000	44.000	82.000
YAL059W	63.000	43.000	29.000
YAL060W	62.000	45.000	90.000
YAL061W	75.000	40.000	76.000
YAL062W	61.000	43.000	84.000
YAL064C-A	38.000	37.000	86.000
YAL065C	51.000	47.000	83.000
YAL066W	56.000	57.000	84.000
YAL067C	35.000	40.000	78.000
YAL068C	40.000	60.000	74.000
YAR002C-A	59.000	36.000	84.000
YAR002W	45.000	38.000	74.000
YAR003W	59.000	37.000	70.000
YAR014C	45.000	51.000	80.000
YAR018C	NaN	NaN	NaN
YAR020C	62.000	48.000	81.000
YAR023C	64.000	39.000	74.000
YAR027W	51.000	41.000	78.000
YAR028W	60.000	57.000	60.000
YAR029W	70.000	34.000	80.000
YAR030C	46.000	43.000	80.000
YAR031W	38.000	74.000	76.000
YAR035W	42.000	50.000	82.000
YAR037W	53.000	34.000	93.000
YAR042W	51.000	45.000	86.000
YAR044W	80.000	51.000	64.000
YAR047C	73.000	37.000	61.000
YAR050W	74.000	23.000	70.000
YBL001C	78.000	58.000	96.000
YBL002W	39.000	36.000	82.000
YBL003C	36.000	39.000	70.000
YBL005W	34.000	29.000	80.000
YBL006C	22.000	32.000	7.000
YBL007C	73.000	40.000	91.000
YBL008W	59.000	31.000	93.000
YBL009W	50.000	32.000	86.000
YBL010C	55.000	58.000	84.000
YBL011W	41.000	15.000	82.000
YBL012C	18.000	44.000	77.000
YBL013W	64.000	34.000	75.000
YBL015W	59.000	32.000	88.000
YBL016W	NaN	NaN	NaN
YBL017C	45.000	22.000	69.000
YBL019W	32.000	34.000	85.000
YBL021C	34.000	88.000	60.000
YBL022C	35.000	11.000	0.000
YBL024W	59.000	27.000	78.000
YBL025W	66.000	17.000	96.000
YBL027W	61.000	16.000	82.000
YBL028C	42.000	26.000	88.000
YBL029W	46.000	35.000	96.000
YBL031W	38.000	11.000	8.000
YBL032W	54.000	17.000	92.000
YBL036C	51.000	31.000	85.000
YBL037W	14.000	14.000	81.000
YBL038W	26.000	35.000	94.000
YBL039C	67.000	37.000	88.000
YBL042C	63.000	38.000	79.000
YBL043W	43.000	26.000	80.000
YBL044W	61.000	26.000	84.000
YBL045C	26.000	35.000	61.000
YBL046W	63.000	48.000	81.000
YBL047C	51.000	8.000	72.000
YBL048W	47.000	36.000	98.000
YBL049W	38.000	24.000	86.000
YBL051C	50.000	24.000	92.000
YBL052C	48.000	21.000	92.000
YBL053W	22.000	50.000	56.000
YBL054W	40.000	30.000	71.000
YBL055C	64.000	23.000	88.000
YBL056W	64.000	23.000	86.000
YBL057C	57.000	18.000	87.000
YBL058W	53.000	23.000	96.000
YBL059W	46.000	39.000	89.000
YBL060W	55.000	38.000	94.000
YBL061C	52.000	23.000	NaN
YBL062W	45.000	20.000	90.000
YBL063W	66.000	45.000	94.000
YBL064C	56.000	27.000	96.000
YBL065W	61.000	51.000	94.000
YBL066C	52.000	42.000	84.000
YBL067C	48.000	19.000	85.000
YBL068W	42.000	31.000	88.000
YBL069W	56.000	36.000	80.000
YBL070C	40.000	23.000	75.000
YBL071C	39.000	26.000	85.000
YBL072C	NaN	NaN	NaN
YBL075C	53.000	32.000	84.000
YBL078C	9.000	0.000	NaN
YBL079W	52.000	21.000	94.000
YBL080C	10.000	40.000	NaN
YBL081W	42.000	33.000	71.000
YBL082C	40.000	20.000	83.000
YBL083C	84.000	26.000	11.000
YBL085W	55.000	31.000	93.000
YBL086C	50.000	28.000	77.000
YBL087C	55.000	36.000	78.000
YBL088C	33.000	36.000	NaN
YBL089W	53.000	20.000	83.000
YBL090W	41.000	37.000	47.000
YBL091C	60.000	28.000	75.000
YBL091C-A	60.000	42.000	83.000
YBL093C	56.000	26.000	87.000
YBL094C	44.000	29.000	60.000
YBL095W	34.000	29.000	63.000
YBL096C	49.000	41.000	83.000
YBL098W	47.000	28.000	87.000
YBL099W	41.000	34.000	88.000
YBL100C	51.000	35.000	89.000
YBL101C	54.000	37.000	77.000
YBL102W	47.000	15.000	94.000
YBL103C	40.000	40.000	50.000
YBL104C	61.000	34.000	83.000
YBL106C	52.000	51.000	93.000
YBL107C	60.000	33.000	83.000
YBR001C	52.000	27.000	94.000
YBR003W	14.000	7.000	96.000
YBR005W	42.000	38.000	98.000
YBR006W	62.000	35.000	75.000
YBR007C	59.000	41.000	91.000
YBR008C	71.000	21.000	88.000
YBR009C	62.000	26.000	80.000
YBR010W	63.000	49.000	87.000
YBR012C	73.000	41.000	95.000
YBR013C	53.000	43.000	95.000
YBR014C	29.000	28.000	96.000
YBR015C	NaN	NaN	NaN
YBR016W	61.000	26.000	96.000
YBR018C	67.000	24.000	88.000
YBR019C	52.000	23.000	89.000
YBR020W	51.000	35.500	82.500
YBR021W	45.000	44.000	85.000
YBR022W	61.000	31.000	75.000
YBR023C	88.000	35.000	81.000
YBR024W	43.000	42.000	84.000
YBR025C	70.000	33.000	94.000
YBR026C	51.000	49.000	76.000
YBR027C	74.000	32.000	86.000
YBR028C	51.000	41.000	90.000
YBR030W	65.000	40.000	83.000
YBR031W	61.000	31.000	84.000
YBR032W	53.000	49.000	35.000
YBR033W	46.000	37.000	90.000
YBR034C	18.000	22.000	78.000
YBR035C	39.000	59.000	98.000
YBR036C	59.000	27.000	92.000
YBR037C	2.000	0.000	NaN
YBR039W	36.500	25.500	32.500
YBR040W	44.000	36.000	71.000
YBR041W	54.000	31.000	82.000
YBR042C	62.000	37.000	84.000
YBR043C	66.000	39.000	58.000
YBR044C	50.000	34.000	60.000
YBR045C	6.000	17.000	NaN
YBR046C	75.000	40.000	80.000
YBR047W	53.000	38.000	72.000
YBR048W	37.000	49.000	92.000
YBR050C	49.000	39.000	53.000
YBR051W	64.000	36.000	91.000
YBR052C	70.000	46.000	81.000
YBR053C	65.000	40.000	94.000
YBR054W	65.000	38.000	75.000
YBR056W	59.000	41.000	90.000
YBR057C	11.000	45.000	86.000
YBR058C	47.000	66.000	88.000
YBR059C	34.000	38.000	92.000
YBR062C	60.000	27.000	94.000
YBR063C	47.000	33.000	86.000
YBR064W	45.000	47.000	72.000
YBR065C	60.000	27.000	68.000
YBR066C	57.000	40.000	95.000
YBR067C	64.000	34.000	98.000
YBR068C	43.000	35.000	92.000
YBR069C	45.000	42.000	93.000
YBR071W	56.000	43.000	79.000
YBR072W	55.000	21.000	94.000
YBR073W	11.000	55.000	NaN
YBR074W	58.000	21.000	64.000
YBR075W	53.500	32.500	84.000
YBR076W	58.000	21.000	96.000
YBR077C	67.000	37.000	86.000
YBR078W	65.000	18.000	70.000
YBR081C	NaN	NaN	NaN
YBR083W	72.000	43.000	84.000
YBR084C-A	67.000	49.000	88.000
YBR084W	36.000	25.000	86.000
YBR085W	46.000	50.000	92.000
YBR090C	48.000	54.000	54.000
YBR090C-A	58.000	19.000	85.000
YBR092C	62.000	16.000	95.000
YBR093C	72.000	31.000	96.000
YBR094W	82.000	20.000	90.000
YBR095C	79.000	10.000	92.000
YBR096W	73.000	27.000	76.000
YBR097W	NaN	NaN	NaN
YBR098W	40.000	28.000	94.000
YBR099C	17.000	29.000	89.000
YBR100W	44.000	32.500	90.000
YBR101C	67.000	24.000	98.000
YBR103W	65.000	17.000	84.000
YBR104W	76.000	16.000	98.000
YBR105C	79.000	27.000	90.000
YBR106W	64.000	14.000	92.000
YBR107C	49.000	22.000	58.000
YBR108W	68.000	18.000	98.000
YBR111C	74.000	12.000	92.000
YBR112C	NaN	NaN	NaN
YBR113W	75.000	21.000	91.000
YBR114W	77.000	12.000	91.000
YBR115C	79.000	19.000	86.000
YBR116C	75.000	19.000	85.000
YBR117C	61.000	20.000	84.000
YBR119W	60.000	23.000	62.000
YBR120C	83.000	15.000	90.000
YBR125C	57.000	40.000	75.000
YBR126C	24.000	33.000	57.000
YBR127C	81.000	19.000	74.000
YBR128C	65.000	40.000	98.000
YBR129C	78.000	15.000	88.000
YBR130C	71.000	14.000	98.000
YBR131W	46.000	39.000	86.000
YBR132C	90.000	29.000	87.000
YBR133C	78.000	26.000	91.000
YBR134W	88.000	6.000	NaN
YBR137W	79.000	8.000	94.000
YBR138C	77.000	8.000	86.000
YBR139W	71.000	28.000	84.000
YBR141C	70.000	11.000	85.000
YBR144C	69.000	24.000	90.000
YBR145W	66.000	14.000	85.000
YBR146W	36.000	19.000	92.000
YBR147W	65.000	41.000	92.000
YBR148W	53.000	44.000	86.000
YBR149W	83.000	12.000	96.000
YBR150C	69.000	46.000	88.000
YBR151W	66.000	12.000	93.000
YBR156C	53.000	21.000	84.000
YBR157C	78.000	12.000	96.000
YBR158W	86.000	23.000	88.000
YBR159W	57.000	33.000	96.000
YBR161W	41.000	15.000	NaN
YBR162C	50.000	28.000	64.000
YBR162W-A	63.000	20.000	86.000
YBR163W	78.000	22.000	80.000
YBR164C	56.000	23.000	90.000
YBR165W	54.000	24.000	94.000
YBR166C	64.000	14.000	86.000
YBR168W	63.000	44.000	82.000
YBR169C	62.000	48.000	88.000
YBR170C	81.000	21.000	90.000
YBR171W	50.000	31.000	89.000
YBR172C	84.000	8.000	95.000
YBR173C	51.000	13.000	80.000
YBR174C	78.000	12.000	98.000
YBR175W	76.000	18.000	92.000
YBR176W	81.000	30.000	90.000
YBR177C	75.000	22.000	88.000
YBR178W	63.000	31.000	94.000
YBR179C	75.000	27.000	85.000
YBR180W	73.000	23.000	83.000
YBR181C	78.000	37.000	91.000
YBR182C	74.000	27.000	98.000
YBR183W	72.000	14.000	94.000
YBR184W	78.000	31.000	94.000
YBR185C	86.000	15.000	93.000
YBR186W	90.000	20.000	94.000
YBR187W	71.000	24.000	86.000
YBR188C	83.000	39.000	88.000
YBR189W	59.000	41.000	86.000
YBR191W	57.000	44.000	90.000
YBR194W	82.000	24.000	96.000
YBR195C	83.000	27.000	85.000
YBR197C	83.000	39.000	90.000
YBR199W	53.000	21.000	90.000
YBR200W	68.000	32.000	0.000
YBR201W	73.000	19.000	93.000
YBR203W	90.000	32.000	92.000
YBR204C	67.000	15.000	96.000
YBR205W	88.000	24.000	96.000
YBR206W	61.000	21.000	95.000
YBR207W	72.000	18.000	91.000
YBR208C	68.000	16.000	91.000
YBR209W	43.000	23.000	71.000
YBR210W	59.000	19.000	64.000
YBR212W	72.000	29.000	84.000
YBR213W	77.000	18.000	92.000
YBR214W	70.000	8.000	92.000
YBR215W	77.000	12.000	91.000
YBR216C	72.000	28.000	98.000
YBR217W	5.000	0.000	NaN
YBR218C	76.000	32.000	91.000
YBR219C	85.000	29.000	88.000
YBR220C	NaN	NaN	NaN
YBR221C	71.000	30.000	90.000
YBR222C	83.000	21.000	87.000
YBR223C	67.000	21.000	87.000
YBR224W	63.000	30.000	85.000
YBR225W	40.000	20.000	85.000
YBR226C	NaN	NaN	77.000
YBR227C	83.000	16.000	82.000
YBR228W	85.000	33.000	98.000
YBR229C	69.000	16.000	86.000
YBR230C	78.000	30.000	92.000
YBR231C	54.000	18.000	84.000
YBR232C	75.000	48.000	82.000
YBR233W	67.000	22.000	81.000
YBR235W	85.000	26.000	82.000
YBR238C	65.000	27.000	96.000
YBR239C	52.000	15.000	98.000
YBR240C	85.000	25.000	91.000
YBR241C	81.000	27.000	94.000
YBR242W	91.000	23.000	98.000
YBR244W	81.000	20.000	86.000
YBR245C	70.000	28.000	86.000
YBR246W	32.000	31.000	87.000
YBR248C	54.000	19.000	10.000
YBR249C	48.000	33.000	85.000
YBR250W	51.000	31.000	89.000
YBR251W	80.000	19.000	81.000
YBR255W	60.000	15.000	90.000
YBR258C	54.000	31.000	93.000
YBR259W	64.000	25.000	74.000
YBR260C	61.000	19.000	88.000
YBR261C	77.000	23.000	92.000
YBR262C	64.000	23.000	98.000
YBR263W	80.000	24.000	95.000
YBR264C	68.000	23.000	NaN
YBR266C	88.000	14.000	82.000
YBR267W	78.000	30.000	81.000
YBR268W	66.000	28.000	91.000
YBR269C	78.000	55.000	76.000
YBR270C	57.000	47.000	76.000
YBR271W	46.000	24.000	78.000
YBR272C	66.000	61.000	70.000
YBR273C	65.000	31.000	70.000
YBR274W	65.000	34.000	84.000
YBR275C	49.000	47.000	94.000
YBR276C	71.000	55.000	84.000
YBR277C	67.000	45.000	74.000
YBR278W	64.000	25.000	63.000
YBR279W	69.000	13.000	80.000
YBR280C	44.000	32.000	80.000
YBR281C	68.000	29.000	84.000
YBR282W	26.000	46.000	84.000
YBR283C	29.000	41.000	86.000
YBR284W	22.000	23.000	77.000
YBR285W	58.000	41.000	53.000
YBR286W	57.000	65.000	82.000
YBR287W	67.000	48.000	80.000
YBR288C	67.000	45.000	82.000
YBR289W	80.000	55.000	90.000
YBR290W	18.000	39.000	NaN
YBR291C	63.000	38.000	80.000
YBR292C	59.000	24.000	76.000
YBR293W	52.000	37.000	87.000
YBR294W	65.000	40.000	90.000
YBR295W	37.000	51.000	74.000
YBR296C	36.000	33.000	73.000
YBR297W	68.000	35.000	81.000
YBR298C	49.000	31.000	77.000
YBR299W	47.000	57.000	88.000
YBR300C	72.000	51.000	59.000
YBR301W	45.000	62.000	74.000
YCL001W	NaN	NaN	NaN
YCL001W-A	65.000	28.000	76.000
YCL002C	48.000	33.000	79.000
YCL003W	37.000	24.000	92.000
YCL005W	50.000	38.000	82.000
YCL006C	43.000	26.000	92.000
YCL007C	69.000	16.000	90.000
YCL008C	54.000	19.000	NaN
YCL009C	60.000	40.000	83.000
YCL010C	64.000	31.000	63.000
YCL011C	68.000	28.000	74.000
YCL012W	54.000	50.000	89.000
YCL014W	67.000	18.000	37.000
YCL016C	64.000	44.000	49.000
YCL022C	70.000	31.000	61.000
YCL023C	73.000	31.000	77.500
YCL024W	42.000	33.000	65.000
YCL025C	63.000	32.000	78.000
YCL026C	43.000	21.000	70.000
YCL026C-A	64.000	58.000	84.000
YCL027W	65.000	28.000	85.000
YCL028W	72.000	22.000	86.000
YCL029C	64.000	19.000	88.000
YCL030C	57.000	26.000	8.000
YCL032W	NaN	NaN	NaN
YCL033C	55.000	24.000	84.000
YCL034W	64.000	30.000	84.000
YCL035C	46.000	33.000	76.000
YCL036W	59.000	34.000	92.000
YCL037C	56.000	27.000	81.000
YCL038C	47.500	27.500	85.500
YCL039W	50.000	32.000	79.000
YCL040W	62.000	45.000	65.000
YCL042W	49.000	45.000	82.000
YCL044C	32.000	28.000	83.000
YCL045C	71.000	32.000	75.000
YCL046W	66.000	24.000	85.000
YCL047C	47.000	23.000	85.000
YCL048W	49.000	39.000	82.000
YCL049C	36.000	31.000	84.000
YCL050C	74.000	24.000	84.000
YCL051W	65.000	26.000	86.000
YCL055W	25.000	28.000	73.000
YCL056C	59.000	44.000	79.000
YCL057W	52.000	31.000	73.000
YCL058C	55.000	40.000	69.000
YCL060C	53.000	42.000	86.000
YCL061C	57.000	18.000	65.000
YCL062W	77.000	26.000	87.000
YCL063W	48.000	25.000	70.000
YCL064C	50.000	16.000	80.000
YCL069W	46.000	28.000	88.000
YCL074W	66.000	56.000	75.000
YCL075W	72.000	51.000	84.000
YCL076W	82.000	35.000	85.000
YCR001W	55.000	25.000	91.000
YCR002C	NaN	NaN	NaN
YCR003W	56.000	28.000	72.000
YCR004C	50.000	28.000	79.000
YCR005C	66.000	41.000	75.000
YCR006C	48.000	21.000	92.000
YCR007C	40.000	38.000	90.000
YCR008W	76.000	39.000	93.000
YCR009C	47.000	23.000	93.000
YCR010C	39.000	33.000	84.000
YCR011C	44.000	18.000	81.000
YCR014C	52.000	31.000	87.000
YCR015C	58.000	26.000	87.000
YCR016W	55.000	36.000	96.000
YCR017C	57.000	28.000	84.000
YCR019W	67.000	27.000	70.000
YCR020C	66.000	35.000	92.000
YCR020C-A	32.000	38.000	90.000
YCR020W-B	NaN	NaN	NaN
YCR021C	50.000	68.000	70.000
YCR022C	63.000	27.000	88.000
YCR023C	50.000	52.000	93.000
YCR024C	23.000	52.000	94.000
YCR024C-A	60.000	57.000	76.000
YCR025C	71.000	51.000	88.000
YCR026C	64.000	48.000	67.000
YCR027C	61.000	48.000	77.000
YCR028C	54.000	54.000	75.000
YCR028C-A	56.000	61.000	76.000
YCR030C	75.000	49.000	78.000
YCR031C	43.000	44.000	73.000
YCR032W	73.000	55.000	86.000
YCR033W	37.000	38.000	80.000
YCR034W	69.000	29.000	76.000
YCR036W	56.000	32.000	53.000
YCR037C	47.000	32.000	86.000
YCR043C	42.000	14.000	88.000
YCR044C	59.000	47.000	86.000
YCR045C	57.000	21.000	78.000
YCR046C	65.000	23.000	82.000
YCR047C	64.000	47.000	46.000
YCR048W	63.000	43.000	90.000
YCR049C	60.000	30.000	84.000
YCR050C	58.000	47.000	70.000
