ORF	hap a | growth (colony size) | citric acid [400 mM] | Lawrence CL~Coote PJ, 2004
YER019W	-1.000
YMR207C	-1.000
YMR202W	-1.000
YLR056W	-1.000
YGL012W	-1.000
YGL156W	-1.000
YLR377C	-1.000
YBR126C	-1.000
YMR300C	-1.000
YGL154C	-1.000
YEL046C	-1.000
YGL148W	-1.000
YHR025W	-1.000
YCR053W	-1.000
YBL058W	-1.000
YOL079W	-1.000
YGR217W	-1.000
YHR060W	-1.000
YGR020C	-1.000
YBR127C	-1.000
YKL080W	-1.000
YEL051W	-1.000
YEL027W	-1.000
YAL026C	-1.000
YLR447C	-1.000
YDL185W	-1.000
YHR026W	-1.000
YDR320C	-1.000
YCL007C	-1.000
YLR390W-A	-1.000
YGR036C	-1.000
YJL095W	-1.000
YDR323C	-1.000
YJR059W	-1.000
YNL084C	-1.000
YGR167W	-1.000
YDR388W	-1.000
YAL016W	-1.000
YDR099W	-1.000
YBR112C	-1.000
YPL129W	-1.000
YOR295W	-1.000
YOR290C	-1.000
YMR228W	-1.000
YKL062W	-1.000
YGL071W	-1.000
YBR191W	-1.000
YNL073W	-1.000
YOL023W	-1.000
YMR016C	-1.000
YLR113W	-1.000
YLR006C	-1.000
YLR148W	-1.000
YPL045W	-1.000
YLR396C	-1.000
YCR069W	-1.000
YML078W	-1.000
YMR150C	-1.000
YJR104C	-1.000
YIL153W	-1.000
YGR188C	-1.000
YIL035C	-1.000
YPL239W	-1.000
YJR144W	-1.000
YMR216C	-1.000
YDL204W	-1.000
YLR326W	-1.000
YOR331C	-1.000
YLR334C	-1.000
YOR161C	-1.000
YKL169C	-1.000
YBR101C	-1.000
YLR346C	-1.000
YHR198C	-1.000
YKL102C	-1.000
YEL045C	-1.000
YLR047C	-1.000
YPL144W	-1.000
