orf	hap a | growth (colony size) | citric acid [400 mM] | Lawrence CL~Coote PJ, 2004
YAL016W	-7.645176122805671
YAL026C	-7.645176122805671
YBL058W	-7.645176122805671
YBR101C	-7.645176122805671
YBR112C	-7.645176122805671
YBR126C	-7.645176122805671
YBR127C	-7.645176122805671
YBR191W	-7.645176122805671
YCL007C	-7.645176122805671
YCR053W	-7.645176122805671
YCR069W	-7.645176122805671
YDL185W	-7.645176122805671
YDL204W	-7.645176122805671
YDR099W	-7.645176122805671
YDR320C	-7.645176122805671
YDR323C	-7.645176122805671
YDR388W	-7.645176122805671
YEL027W	-7.645176122805671
YEL045C	-7.645176122805671
YEL046C	-7.645176122805671
YEL051W	-7.645176122805671
YER019W	-7.645176122805671
YGL012W	-7.645176122805671
YGL071W	-7.645176122805671
YGL148W	-7.645176122805671
YGL154C	-7.645176122805671
YGL156W	-7.645176122805671
YGR020C	-7.645176122805671
YGR036C	-7.645176122805671
YGR167W	-7.645176122805671
YGR188C	-7.645176122805671
YGR217W	-7.645176122805671
YHR025W	-7.645176122805671
YHR026W	-7.645176122805671
YHR060W	-7.645176122805671
YHR198C	-7.645176122805671
YIL035C	-7.645176122805671
YIL153W	-7.645176122805671
YJL095W	-7.645176122805671
YJR059W	-7.645176122805671
YJR104C	-7.645176122805671
YJR144W	-7.645176122805671
YKL062W	-7.645176122805671
YKL080W	-7.645176122805671
YKL102C	-7.645176122805671
YKL169C	-7.645176122805671
YLR006C	-7.645176122805671
YLR047C	-7.645176122805671
YLR056W	-7.645176122805671
YLR113W	-7.645176122805671
YLR148W	-7.645176122805671
YLR326W	-7.645176122805671
YLR334C	-7.645176122805671
YLR346C	-7.645176122805671
YLR377C	-7.645176122805671
YLR390W-A	-7.645176122805671
YLR396C	-7.645176122805671
YLR447C	-7.645176122805671
YML078W	-7.645176122805671
YMR016C	-7.645176122805671
YMR150C	-7.645176122805671
YMR202W	-7.645176122805671
YMR207C	-7.645176122805671
YMR216C	-7.645176122805671
YMR228W	-7.645176122805671
YMR300C	-7.645176122805671
YNL073W	-7.645176122805671
YNL084C	-7.645176122805671
YOL023W	-7.645176122805671
YOL079W	-7.645176122805671
YOR161C	-7.645176122805671
YOR290C	-7.645176122805671
YOR295W	-7.645176122805671
YOR331C	-7.645176122805671
YPL045W	-7.645176122805671
YPL129W	-7.645176122805671
YPL144W	-7.645176122805671
YPL239W	-7.645176122805671
