orf	hap a | growth (colony size) | caspofungin [0.1-5 ug/ml] | YPD | Lesage G~Bussey H, 2004	het | growth (colony size) | caspofungin [0.1-5 ug/ml] | YPD | Lesage G~Bussey H, 2004
YBL007C	-6.338921258895011	
YBL061C	-12.742525387778747	
YBR023C	-12.742525387778747	
YDL047W	-6.338921258895011	
YDR173C	-12.742525387778747	
YDR245W	-6.338921258895011	
YDR364C	-12.742525387778747	
YDR432W	-12.742525387778747	
YEL027W	-12.742525387778747	
YEL046C	-6.338921258895011	
YER017C	-6.338921258895011	
YGR105W	-12.742525387778747	
YGR215W	-12.742525387778747	
YGR229C	-6.338921258895011	
YGR285C	-12.742525387778747	
YHR013C	-6.338921258895011	
YHR142W	-12.742525387778747	
YJL099W	-12.742525387778747	
YJL127C	-6.338921258895011	
YJL204C	-12.742525387778747	
YJR118C	-12.742525387778747	
YLR182W	-6.338921258895011	
YLR330W	-12.742525387778747	
YLR342W	-19.14612951666248	
YOL072W	-19.14612951666248	
YOR290C	-6.338921258895011	
YPR139C	-6.338921258895011	
YAR035W	6.4682869988724585	
YBR105C	6.4682869988724585	
YBR171W	6.4682869988724585	
YCR087C-A	6.4682869988724585	
YDL079C	6.4682869988724585	
YDR093W	6.4682869988724585	
YDR326C	6.4682869988724585	
YDR479C	6.4682869988724585	
YDR528W	6.4682869988724585	
YGR032W	6.4682869988724585	
YHR004C	6.4682869988724585	
YHR050W	6.4682869988724585	
YIL110W	6.4682869988724585	
YJR024C	6.4682869988724585	
YJR033C	6.4682869988724585	
YJR153W	6.4682869988724585	
YLR338W	6.4682869988724585	
YLR425W	6.4682869988724585	
YNL080C	6.4682869988724585	
YNL301C	6.4682869988724585	
YNL323W	6.4682869988724585	
YNR031C	6.4682869988724585	
YOR008C	6.4682869988724585	
YOR024W	6.4682869988724585	
YOR118W	6.4682869988724585	
YOR197W	6.4682869988724585	
YBL014C		-30.72041969190056
YDR052C		-30.72041969190056
YHR085W		-20.48027979460037
YIL021W		-20.48027979460037
YIL142W		-20.48027979460037
YJR064W		-30.72041969190056
YNL126W		-20.48027979460037
