ORF	hom | growth (relative abundance in pooled culture) | cisplatin [1 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [0.23 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | mitomycin C [0.5 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | oxaliplatin [10 mM] | Wu HI~Brown JM, 2004
YML095C	-2.240	-2.079	-1.252	-3.004
YER162C	-2.187	-2.004	-1.281	-2.735
YLR032W	-1.949	-1.988	-1.596	-2.460
YMR201C	-2.127	-1.978	-1.305	-2.536
YGR258C	-1.979	-1.753	-1.150	-2.746
YMR137C	-2.071	-1.743	-1.603	-2.491
YPL022W	-1.851	-1.720	-1.087	-2.628
YGL087C	-1.598	-1.524	-0.601	-1.789
YJL092W	-1.727	-1.521	-0.703	-1.915
YPL167C	-1.700	-1.506	-0.191	-2.088
YGL175C	-1.872	-1.502	-0.042	-2.302
YIL154C	-1.541	-1.384	-0.079	-1.996
YDR076W	-1.435	-1.334	NaN	-1.850
YOR346W	-1.644	-1.327	-0.251	-1.945
YDL059C	-1.619	-1.326	-0.306	-2.000
YJR043C	-1.473	-1.264	-0.527	-1.685
YIL139C	-1.418	-1.215	-0.177	-1.275
YCR066W	-1.523	-1.198	-0.891	-1.814
YIL132C	-1.281	-1.196	-0.137	-1.402
YDR386W	-1.618	-1.185	-0.363	-2.024
YBR098W	-1.436	-1.183	-0.745	-1.692
YDR004W	-1.379	-1.155	-0.415	-1.401
YEL037C	-1.217	-1.146	-0.281	-1.017
YNL201C	-1.552	-1.143	-0.163	-1.851
YLR376C	-1.438	-1.100	-0.133	-1.506
YNL197C	-1.219	-0.999	0.119	-1.860
YDR075W	-1.574	-0.997	-0.162	-1.991
YIR002C	-1.055	-0.977	-0.125	-0.892
YBR099C	-1.172	-0.972	-0.578	-0.847
YLR135W	-1.477	-0.969	-0.012	-1.679
YOR039W	-1.081	-0.968	0.018	-1.624
YHL006C	-1.060	-0.936	-0.060	-1.144
YHL031C	-0.724	-0.910	NaN	NaN
YDR078C	-1.168	-0.830	-0.182	-1.091
YLL043W	-0.713	-0.782	-0.027	-1.505
YKL048C	-0.954	-0.780	-0.221	-0.716
YKL076C	-1.047	-0.780	-0.064	-1.943
YOL081W	-0.978	-0.768	-0.120	-1.442
YDL160C	-0.990	-0.762	NaN	-0.876
YJL129C	-0.821	-0.759	-0.010	-1.394
YGL071W	-0.168	-0.749	-0.610	-1.236
YHR030C	-0.818	-0.712	-0.311	-1.327
YAL021C	-0.901	-0.690	-0.094	-0.975
YDR484W	-0.680	-0.687	0.225	-0.954
YBR073W	-0.804	-0.676	-0.300	-1.101
YJL165C	-0.847	-0.675	-0.063	-1.467
YLR426W	-0.860	-0.664	NaN	-1.320
YGL012W	-0.866	-0.660	-0.174	-0.506
YCL016C	-0.913	-0.644	NaN	NaN
YIL156W	-0.653	-0.628	0.063	-0.147
YHR134W	-0.816	-0.620	0.063	-0.892
YER016W	-0.510	-0.618	-0.499	0.182
YDR409W	-0.798	-0.617	-0.155	-1.527
YAR002W	-0.502	-0.605	-0.138	-0.983
YGL019W	-0.942	-0.602	0.166	-1.520
YMR039C	-0.091	-0.600	0.040	-0.579
YIL005W	-0.883	-0.599	-0.007	-0.892
YNL107W	-0.839	-0.598	0.157	-0.805
YER089C	-0.743	-0.591	-0.060	-0.958
YCR009C	-0.455	-0.572	NaN	-1.401
YMR214W	-0.358	-0.566	-0.051	-1.205
YDL101C	-0.805	-0.561	-0.355	-1.089
YDL006W	-0.639	-0.553	-0.060	-0.844
YMR190C	-0.760	-0.552	NaN	-0.161
YMR294W	-0.712	-0.544	-0.023	-1.668
YHR031C	-0.623	-0.543	NaN	-0.525
YDR293C	-0.727	-0.540	NaN	NaN
YMR031W-A	-0.207	-0.539	-0.298	-0.112
YNL273W	-0.635	-0.538	-0.140	-0.780
YJL047C	-0.454	-0.535	-0.005	-0.628
YOL001W	-0.701	-0.524	-0.093	-0.709
YHL005C	-0.527	-0.516	0.236	-0.401
YER083C	-0.745	-0.508	0.059	-1.070
YOR033C	-0.416	-0.507	-0.219	-0.555
YOR345C	-0.591	-0.500	-0.187	-0.776
YMR284W	-0.294	-0.499	-0.012	-0.436
YAR003W	-0.331	-0.496	0.038	-0.424
YHR025W	-0.948	-0.494	-0.511	-0.970
YKL126W	-0.761	-0.492	0.103	-0.386
YKL212W	-0.577	-0.490	NaN	-0.966
YIL153W	-0.742	-0.488	-0.053	-0.972
YBR231C	-0.364	-0.487	0.107	-0.384
YOR198C	-0.751	-0.487	NaN	-0.710
YOR038C	-0.646	-0.486	0.059	-0.643
YJL095W	-0.771	-0.484	-0.209	-1.145
YAL019W	-0.475	-0.481	-0.093	-0.438
YDR456W	-0.654	-0.478	0.122	-0.756
YNR068C	-1.097	-0.478	-0.289	-1.037
YPR119W	-0.857	-0.476	-0.403	-0.805
YER111C	-0.077	-0.464	-0.137	0.529
YNL271C	-0.281	-0.459	0.193	-0.261
YGR056W	-0.865	-0.457	NaN	NaN
YDR014W	-0.502	-0.456	0.049	-0.969
YDR207C	-0.239	-0.456	NaN	-0.320
YNL084C	-0.507	-0.456	-0.088	-0.337
YNL307C	-0.115	-0.456	-0.166	0.176
YPR040W	-0.714	-0.456	-0.106	-0.964
YMR242C	-0.528	-0.451	-0.236	-1.284
YDL192W	-0.807	-0.448	NaN	-0.883
YPL008W	-0.733	-0.444	-0.019	-0.813
YPR164W	-0.259	-0.441	NaN	-0.553
YOR008C-A	-0.310	-0.440	-0.081	-0.098
YBR215W	-0.473	-0.439	0.063	-0.462
YPL183W-A	-0.191	-0.357	NaN	0.102
YML013W	-0.605	-0.438	-0.183	-0.513
YDR149C	-0.744	-0.436	-0.100	-1.945
YLR027C	-0.597	-0.429	-0.218	-0.929
YOR089C	-0.367	-0.429	0.024	-0.968
YOR014W	-0.516	-0.428	0.075	-0.983
YIL035C	-0.344	-0.427	-0.048	-0.384
YJR111C	-0.572	-0.427	-0.094	-1.297
YAL026C	-0.193	-0.424	-0.110	0.234
YML028W	-0.037	-0.422	-0.220	0.000
YMR152W	-0.566	-0.420	-0.104	-1.014
YDL066W	-0.947	-0.417	-0.035	-1.902
YLR131C	0.258	-0.415	-0.187	0.180
YDR389W	-0.648	-0.409	-0.125	-0.600
YMR036C	-0.188	-0.409	-0.238	-0.229
YCL037C	-0.305	-0.407	NaN	NaN
YBL083C	-0.478	-0.403	-0.051	-1.346
YNL136W	-0.290	-0.403	-0.288	-0.273
YNL070W	-0.819	-0.402	-0.081	-1.699
YMR020W	0.013	-0.396	-0.135	-0.274
YOL012C	-0.252	-0.392	0.242	-0.191
YMR017W	-0.023	-0.387	-0.253	-0.299
YOR360C	-0.523	-0.385	-0.118	-0.708
YDR372C	-0.780	-0.384	0.094	-1.691
YER019W	-0.004	-0.384	-0.014	0.116
YER048C	-0.217	-0.382	0.054	-0.420
YDL133W	-0.803	-0.381	-0.045	-1.616
YNL291C	-0.295	-0.381	-0.073	-0.557
YOR085W	-0.318	-0.378	0.130	-0.962
YER041W	-0.169	-0.377	-0.092	-0.243
YAL002W	-0.188	-0.375	-0.032	-0.877
YBR156C	-0.586	-0.375	NaN	-0.115
YML030W	-0.040	-0.375	-0.118	-0.105
YHR041C	-0.144	-0.373	NaN	-0.465
YBL022C	-0.528	-0.371	-0.029	-1.471
YNL264C	-0.412	-0.368	-0.004	-0.674
YCL061C	-0.445	-0.366	NaN	-0.818
YJL192C	-0.527	-0.364	-0.197	-1.226
YHL044W	-0.455	-0.363	-0.126	-0.943
