orf	hom | growth (relative abundance in pooled culture) | cisplatin [1 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | oxaliplatin [10 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | mitomycin C [0.5 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [0.23 mM] | Wu HI~Brown JM, 2004
YAL002W	-0.188	-0.877	-0.032	-0.375
YAL004W	-0.022000000000000002	-0.032	0.065	-0.11199999999999999
YAL005C	-0.054000000000000006	-0.043	-0.01	-0.067
YAL007C	-0.07200000000000001	-0.049	-0.04	-0.077
YAL008W	-0.035	-0.121	-0.08199999999999999	-0.141
YAL009W	0.075	-0.073	-0.055999999999999994	-0.057
YAL011W	-0.252	-0.648	0.132	-0.36200000000000004
YAL012W	0.626	0.019	0.006	0.263
YAL014C	-0.045	-0.139	-0.027999999999999997	-0.161
YAL015C	-0.152	-0.466	0.002	-0.254
YAL017W	-0.040999999999999995	-0.193	-0.013999999999999999	-0.165
YAL018C	-0.08900000000000001	-0.177	0.122	-0.11900000000000001
YAL019W	-0.475	-0.43799999999999994	-0.09300000000000001	-0.48100000000000004
YAL020C	0.525	0.701	0.264	0.111
YAL021C	-0.9009999999999999	-0.975	-0.094	-0.69
YAL022C	-0.049	-0.069	-0.032	-0.11699999999999999
YAL023C	-0.106	-0.529		-0.17800000000000002
YAL024C	-0.6729999999999999	-0.251	-0.249	-0.287
YAL026C	-0.193	0.23399999999999999	-0.11	-0.424
YAL027W	-0.092	-0.155	-0.161	-0.256
YAL028W	-0.003	0.005	-0.027999999999999997	-0.135
YAL029C	-0.057999999999999996	-0.06	0.095	-0.24
YAL030W	-0.055999999999999994	-0.048	-0.040999999999999995	-0.14800000000000002
YAL031C	-0.042	-0.054000000000000006	0.055	-0.138
YAL034C	-0.079	-0.17600000000000002		-0.091
YAL036C	0.027000000000000003	-0.078	0.065	-0.174
YAL037W	0.047	-0.091	-0.043	-0.13
YAL039C	0.026000000000000002	0.14800000000000002	0.318	-0.09
YAL040C	0.008	-0.505	-0.091	-0.32
YAL042C-A	-0.053	-0.187	-0.098	-0.253
YAL042W	-0.038	-0.2	-0.031	-0.22399999999999998
YAL045C	-0.055999999999999994	-0.107	-0.023	-0.096
YAL046C				
YAL048C				
YAL049C	-0.138	-0.28	-0.019	-0.16899999999999998
