ORF	hap a | growth (AUC) | standard | minimal complete | Hartman JL 4th~Tippery NP, 2004	hap a | growth (AUC) | hydroxyurea [50 mM] | minimal complete | Hartman JL 4th~Tippery NP, 2004	hap a | growth (AUC) | hydroxyurea [150 mM] | minimal complete | Hartman JL 4th~Tippery NP, 2004
YAL068C	-0.868	2.877	2.158
YAL067C	-1.713	1.826	2.058
YAL066W	-2.045	3.621	3.836
YAL065C	-0.857	1.887	2.016
YAL062W	-2.552	4.478	3.847
YAL061W	-1.692	2.948	2.589
YAL060W	-1.326	2.727	2.549
YAL059W	-2.149	2.075	-0.572
YAL058W	-0.457	1.788	2.805
YAL056W	-1.744	4.411	3.263
YAL055W	-1.246	3.648	1.749
YAL053W	1.043	0.510	0.423
YAL051W	-1.261	2.340	1.815
YAL049C	-0.534	1.543	1.155
YAL048C	-7.038	10.596	11.964
YAL046C	-1.491	2.007	2.560
YAL045C	-0.771	1.563	1.615
YAL044C	-6.249	6.529	6.775
YAL042W	-1.580	2.735	4.941
YAL042C-A	-1.423	2.473	2.962
YAL040C	-0.760	1.482	1.482
YAL039C	-5.645	2.760	3.788
YAL037W	0.414	1.810	1.271
YAL036C	0.586	1.262	1.902
YAL035W	-15.534	NaN	NaN
YAL034C	-1.610	2.135	1.391
YAL031C	0.082	1.236	1.935
YAL030W	-1.669	2.619	3.164
YAL029C	-2.092	3.014	4.437
YAL028W	-0.729	0.363	1.167
YAL027W	-0.049	0.625	1.349
YAL026C	-0.342	0.047	-1.134
YAL023C	-3.908	4.465	4.445
YAL022C	-0.465	2.058	1.539
YAL021C	0.340	-13.849	-9.918
YAL020C	-0.237	1.933	2.050
YAL019W	0.096	-0.946	-1.073
YAL018C	-2.236	2.066	3.293
YAL017W	-2.508	2.565	2.837
YAL015C	-0.736	0.400	1.231
YAL014C	-1.193	1.217	1.000
YAL013W	-2.454	2.626	2.322
YAL011W	-0.968	1.134	-0.579
YAL010C	-16.282	NaN	NaN
YAL009W	1.335	-0.827	0.291
YAL008W	-0.955	1.601	1.746
YAL007C	0.987	0.704	1.227
YAL004W	-1.221	2.983	2.396
YAL005C	-2.464	3.998	2.699
YAL002W	0.821	-3.522	-3.526
YAR002W	-2.631	1.370	-2.288
YAR014C	-2.804	5.190	7.533
YAR015W	-0.873	-0.127	1.255
YAR018C	-0.689	1.766	4.019
YAR020C	-0.714	0.516	1.399
YAR023C	-0.270	0.437	1.194
YAR027W	-0.163	1.286	1.646
YAR028W	0.512	0.243	0.981
YAR029W	-1.649	0.706	-0.378
YAR031W	-0.115	0.759	1.480
YAR030C	-0.236	1.460	1.554
YAR035W	-0.571	1.152	2.049
YAR037W	-1.561	2.272	3.425
YAR040C	-0.208	0.936	1.650
YAR042W	-0.632	0.269	1.568
YAR043C	0.319	0.444	0.035
YAR047C	-2.877	2.661	1.628
YLL001W	-1.440	3.316	3.576
