orf	hom | glutathione excretion | standard | SD + Ade + His + Ile + Leu + Ura + Val | Perrone GG~Dawes IW, 2005
YAL002W	4.053641649029923
YAL024C	1.4439362893448733
YAL047C	3.3527162374572685
YBL007C	4.577169744084155
YBL009W	3.7325211613869507
YBL027W	2.8878725786897466
YBL072C	2.2885848720420774
YBL100C	4.33180886803462
YBR003W	5.1764574507318235
YBR036C	1.4439362893448733
YBR037C	4.796652526802142
YBR041W	1.4439362893448733
YBR056W	2.2885848720420774
YBR059C	2.2885848720420774
YBR105C	1.4439362893448733
YBR127C	3.7325211613869507
YBR131W	4.995198854657468
YBR162C	1.4439362893448733
YBR163W	4.796652526802142
YBR173C	4.796652526802142
YBR191W	2.8878725786897466
YBR220C	4.053641649029923
YBR279W	4.796652526802142
YBR289W	4.995198854657468
YCL007C	4.053641649029923
YCL008C	6.865754616126232
YCR046C	4.33180886803462
YDL023C	3.3527162374572685
YDL039C	3.7325211613869507
YDL048C	1.4439362893448733
YDL069C	4.796652526802142
YDL072C	1.4439362893448733
YDL074C	3.3527162374572685
YDL077C	3.3527162374572685
YDL107W	4.33180886803462
YDL149W	1.4439362893448733
YDL160C	2.2885848720420774
YDL179W	1.4439362893448733
YDL191W	1.4439362893448733
YDL194W	1.4439362893448733
YDR017C	4.053641649029923
YDR027C	5.641301109499347
YDR079W	4.995198854657468
YDR175C	4.577169744084155
YDR197W	4.796652526802142
YDR200C	2.2885848720420774
YDR204W	4.577169744084155
YDR230W	2.2885848720420774
YDR264C	3.3527162374572685
YDR276C	3.7325211613869507
YDR298C	4.796652526802142
YDR300C	6.021106033429028
YDR322W	4.796652526802142
YDR323C	6.9415142277196695
YDR332W	4.577169744084155
YDR337W	1.4439362893448733
YDR448W	1.4439362893448733
YDR456W	3.7325211613869507
YDR462W	4.995198854657468
YDR475C	2.2885848720420774
YDR484W	4.796652526802142
YDR486C	6.133736691167725
YDR495C	5.775745157379493
YDR497C	1.4439362893448733
YDR518W	5.1764574507318235
YDR529C	4.796652526802142
YDR533C	4.577169744084155
YEL007W	1.4439362893448733
YEL009C	1.4439362893448733
YEL012W	1.4439362893448733
YEL031W	2.2885848720420774
YEL036C	3.3527162374572685
YEL062W	3.7325211613869507
YER056C	4.053641649029923
YER116C	3.3527162374572685
YER122C	3.7325211613869507
YER141W	4.995198854657468
YER151C	2.2885848720420774
YER153C	4.577169744084155
YER154W	4.995198854657468
YFL005W	1.4439362893448733
YFR010W	6.021106033429028
YFR019W	4.995198854657468
YGL005C	1.4439362893448733
YGL025C	2.2885848720420774
YGL107C	4.577169744084155
YGL115W	1.4439362893448733
YGL124C	3.3527162374572685
YGL127C	2.2885848720420774
YGL167C	4.33180886803462
YGL212W	3.3527162374572685
YGL223C	2.2885848720420774
YGL227W	2.2885848720420774
YGL237C	2.2885848720420774
YGL244W	2.2885848720420774
YGR062C	3.7325211613869507
YGR150C	4.796652526802142
YGR171C	4.995198854657468
YGR217W	1.4439362893448733
YGR252W	4.053641649029923
YGR257C	5.497577938374796
YGR284C	2.8878725786897466
YHL011C	4.33180886803462
YHL023C	3.7325211613869507
YHL025W	2.2885848720420774
YHL031C	6.439135144002341
YHL038C	2.8878725786897466
YHR011W	5.641301109499347
YHR012W	4.33180886803462
YHR030C	3.3527162374572685
YHR051W	4.053641649029923
YHR116W	4.33180886803462
YHR120W	4.995198854657468
YHR129C	2.2885848720420774
YHR147C	4.995198854657468
YHR169W	3.3527162374572685
YHR171W	2.8878725786897466
YHR185C	1.4439362893448733
YIL006W	3.7325211613869507
YIL008W	1.4439362893448733
YIL017C	4.577169744084155
YIL018W	2.8878725786897466
YIL029C	4.796652526802142
YIL041W	5.3431991955570375
YIL065C	4.796652526802142
YIL070C	4.995198854657468
YIL077C	5.1764574507318235
YIL092W	2.2885848720420774
YIL093C	4.053641649029923
YIL097W	1.4439362893448733
YIL098C	5.497577938374796
YIL110W	3.3527162374572685
YIR021W	4.577169744084155
YJL029C	5.3431991955570375
YJL042W	4.796652526802142
YJL053W	4.053641649029923
YJL056C	3.3527162374572685
YJL063C	3.7325211613869507
YJL095W	1.4439362893448733
YJL102W	4.33180886803462
YJL138C	3.7325211613869507
YJL153C	5.497577938374796
YJL154C	6.133736691167725
YJL166W	4.33180886803462
YJL176C	2.2885848720420774
YJL183W	2.2885848720420774
YJL188C	4.053641649029923
YJL201W	6.342226521072001
YJL209W	4.33180886803462
YJL212C	2.2885848720420774
YJR059W	4.995198854657468
YJR063W	4.053641649029923
YJR075W	2.8878725786897466
YJR102C	7.08523739884422
YJR144W	4.995198854657468
YKL002W	7.522118762281428
YKL003C	7.014615051812421
YKL041W	6.787135484901911
YKL212W	2.2885848720420774
YKL213C	6.705432474914537
YKR001C	4.33180886803462
YKR006C	4.33180886803462
YKR035C	5.1764574507318235
YKR035W-A	6.342226521072001
YLL009C	1.4439362893448733
YLL010C	1.4439362893448733
YLL018C-A	4.796652526802142
YLL040C	2.2885848720420774
YLL042C	1.4439362893448733
YLR006C	3.7325211613869507
YLR025W	6.5317352654506005
YLR067C	1.4439362893448733
YLR114C	5.641301109499347
YLR119W	6.705432474914537
YLR139C	2.8878725786897466
YLR148W	6.342226521072001
YLR193C	4.995198854657468
YLR226W	3.7325211613869507
YLR257W	2.8878725786897466
YLR261C	2.8878725786897466
YLR262C	2.2885848720420774
YLR264W	4.053641649029923
YLR322W	5.1764574507318235
YLR330W	3.3527162374572685
YLR357W	1.4439362893448733
YLR360W	3.7325211613869507
YLR369W	2.8878725786897466
YLR373C	2.8878725786897466
YLR396C	5.497577938374796
YLR417W	6.787135484901911
YLR423C	2.2885848720420774
YLR439W	4.796652526802142
YML001W	5.3431991955570375
YML048W	1.4439362893448733
YML071C	3.3527162374572685
YML097C	1.4439362893448733
YMR004W	2.2885848720420774
YMR064W	4.995198854657468
YMR066W	3.7325211613869507
YMR072W	4.796652526802142
YMR077C	7.014615051812421
YMR123W	2.8878725786897466
YMR150C	4.33180886803462
YMR151W	4.053641649029923
YMR193W	5.1764574507318235
YMR228W	4.33180886803462
YNL041C	2.2885848720420774
YNL051W	1.4439362893448733
YNL177C	4.33180886803462
YNL183C	2.2885848720420774
YNL215W	2.2885848720420774
YNL225C	1.4439362893448733
YNL229C	6.620393740076698
YNL280C	2.8878725786897466
YNL296W	3.3527162374572685
YNL297C	4.33180886803462
YNR006W	7.345972217174941
YNR036C	4.995198854657468
YNR037C	2.8878725786897466
YNR045W	4.796652526802142
YNR051C	4.577169744084155
YOL001W	2.8878725786897466
YOL004W	4.053641649029923
YOL008W	3.3527162374572685
YOL009C	1.4439362893448733
YOL027C	4.053641649029923
YOL033W	4.577169744084155
YOL050C	2.8878725786897466
YOL081W	6.705432474914537
YOL095C	4.796652526802142
YOL108C	5.3431991955570375
YOL138C	4.053641649029923
YOR026W	3.3527162374572685
YOR036W	6.342226521072001
YOR043W	2.8878725786897466
YOR069W	4.33180886803462
YOR070C	2.8878725786897466
YOR087W	2.2885848720420774
YOR089C	4.577169744084155
YOR106W	3.7325211613869507
YOR132W	2.2885848720420774
YOR332W	3.7325211613869507
YOR360C	6.439135144002341
YOR375C	3.3527162374572685
YOR384W	1.4439362893448733
YPL002C	7.406357886487192
YPL017C	1.4439362893448733
YPL037C	4.995198854657468
YPL045W	1.4439362893448733
YPL058C	4.053641649029923
YPL065W	7.014615051812421
YPL074W	4.995198854657468
YPL084W	6.240588816147016
YPL091W	1.4439362893448733
YPL120W	2.8878725786897466
YPL132W	4.33180886803462
YPL149W	2.2885848720420774
YPL183W-A	5.1764574507318235
YPL254W	3.3527162374572685
YPR004C	6.705432474914537
YPR036W	1.4439362893448733
YPR099C	5.1764574507318235
YPR100W	4.33180886803462
YPR159W	3.3527162374572685
YPR166C	4.33180886803462
YPR173C	5.1764574507318235
YPR191W	4.053641649029923
