ORF	hom | growth (relative abundance in pooled culture) | arsenic [1-5 mM] | Haugen AC~Van Houten B, 2004
YCR053W	0.000
YOR184W	0.000
YGR208W	0.001
YJR109C	0.001
YOR303W	0.001
YLR436C	0.001
YOR302W	0.002
YER052C	0.002
YJR139C	0.002
YDR158W	0.002
YPR074C	0.003
YOL058W	0.003
YDR127W	0.003
YIL122W	0.003
YDR289C	0.003
YDR136C	0.004
YGL084C	0.004
YML013W	0.004
YML007W	0.004
YBL006C	0.005
YLR027C	0.005
YNL307C	0.005
YOR070C	0.005
YOR322C	0.006
YPR060C	0.006
YFR036W	0.006
YLR079W	0.006
YDR079W	0.006
YGL148W	0.007
YIL044C	0.007
YDR477W	0.007
YFR040W	0.007
YPL241C	0.008
YBL051C	0.008
YBR291C	0.008
YLR252W	0.008
YMR307W	0.009
YML062C	0.009
YDL133W	0.009
YER123W	0.009
YOL081W	0.010
YHR167W	0.010
YBR277C	0.010
YKL002W	0.010
YCR086W	0.010
YJL121C	0.011
YDR017C	0.011
YPR201W	0.011
YOR109W	0.011
YLR261C	0.012
YHL031C	0.012
YML016C	0.012
YDR181C	0.012
YBR061C	0.013
YFL056C	0.013
YCR036W	0.013
YKR007W	0.013
YDR048C	0.013
YLR426W	0.014
YCR050C	0.014
YHL009C	0.014
YCL001W-A	0.014
YHR018C	0.015
YCR003W	0.015
YLR374C	0.015
YNL241C	0.015
YDL160C	0.016
YDL066W	0.016
YBR027C	0.016
YDR469W	0.016
YKL176C	0.016
YBL089W	0.017
YBR297W	0.017
YGR057C	0.017
YOR349W	0.017
YML121W	0.018
YOR065W	0.018
YPL253C	0.018
YJR018W	0.018
YDL067C	0.019
YBR094W	0.019
YDL048C	0.019
YBL008W	0.019
YLR262C	0.019
YMR127C	0.020
YLL040C	0.020
YBR064W	0.020
YBR006W	0.020
YHR009C	0.021
YIL148W	0.021
YBR298C	0.021
YCR061W	0.021
YLR032W	0.022
YGR192C	0.022
YDL076C	0.022
YPL180W	0.022
YBR077C	0.023
YJR075W	0.023
YHR154W	0.023
YDR484W	0.023
YKR006C	0.023
YDR137W	0.024
YML117W	0.024
YOL089C	0.024
YDR078C	0.024
YPL269W	0.025
YGR229C	0.025
YML095C-A	0.025
YLR268W	0.025
YBL022C	0.026
YNL070W	0.026
YBL013W	0.026
YHR129C	0.026
YJL138C	0.026
YPL041C	0.027
YMR021C	0.027
YOL088C	0.027
YOL018C	0.027
YHR030C	0.028
YJL192C	0.028
YNL025C	0.028
YDL009C	0.028
YGR228W	0.029
YML075C	0.029
YEL024W	0.029
YDR120C	0.029
YCR068W	0.029
YLR039C	0.030
YGL035C	0.030
YER097W	0.030
YNL283C	0.030
YJR152W	0.031
YCR087C-A	0.031
YLR015W	0.031
YGR163W	0.031
YOR284W	0.032
YLR025W	0.032
YMR275C	0.032
YCR026C	0.032
YJR010C-A	0.032
YBL002W	0.033
YEL009C	0.033
YBL015W	0.033
YOR371C	0.033
YHR031C	0.034
YIL002C	0.034
YBL046W	0.034
YJL185C	0.034
YDL059C	0.035
YKL053W	0.035
YNL100W	0.035
YBR108W	0.035
YCL006C	0.036
YML110C	0.036
YGL027C	0.036
