orf	hom | growth (relative abundance in pooled culture) | arsenic [1-5 mM] | Haugen AC~Van Houten B, 2004
YAL002W	0.849617080529125
YAL004W	0.859828266419123
YAL005C	0.0928289626363425
YAL007C	0.116268275702019
YAL008W	0.233232768623811
YAL009W	0.671385472267347
YAL010C	0.500116036203295
YAL011W	0.871199814342075
YAL012W	0.854258528660942
YAL013W	0.500116036203295
YAL014C	0.456486423764214
YAL015C	0.72638663262938
YAL016W	0.500116036203295
YAL017W	0.796936644233001
YAL018C	0.755627755859828
YAL019W	0.466465537247621
YAL020C	0.933859364121606
YAL021C	0.0614991877465769
YAL022C	0.102343931306568
YAL023C	0.969366442330007
YAL024C	0.14086795080065
YAL026C	0.664423300069622
YAL027W	0.180088187514505
YAL028W	0.134601995822697
YAL029C	0.820375957298677
YAL030W	0.330239034578789
YAL031C	0.427709445346948
YAL034C	0.897191923880251
YAL035W	0.500116036203295
YAL036C	0.429101879786493
YAL037W	0.853794383847761
YAL039C	0.500116036203295
YAL040C	0.0561615223949872
YAL042C-A	0.622186122070086
YAL042W	0.543049431422604
YAL044C	0.948247853330239
YAL045C	0.616152239498724
YAL046C	0.144116964492922
YAL047C	0.500116036203295
YAL048C	0.914829426781156
YAL049C	0.417962404270132
YAL051W	0.223717799953586
YAL053W	0.497563239730796
YAL054C	0.182176839173822
YAL055W	0.0640519842190763
YAL056C-A	0.805987468090044
YAL056W	0.283592480854026
YAL058W	0.0826177767463449
YAL059W	0.913669064748201
YAL060W	0.253655140403806
YAL061W	0.0798329078672546
YAL062W	0.163146901833372
YAL064C-A	0.486423764214435
YAL065C	0.650963100487352
YAL066W	0.838013460199582
YAL067C	0.711533998607566
YAL068C	0.4416337897424
YAR002C-A	0.195637038756092
YAR002W	0.259224878161987
YAR003W	0.0522162914829427
YAR014C	0.540960779763286
YAR015W	0.961475980505918
YAR018C	0.942678115572058
YAR020C	0.3197957762822
YAR023C	0.14365281967974
YAR027W	0.216291482942678
YAR028W	0.407287073566953
YAR029W	0.134369923416106
YAR030C	0.303086563007658
YAR031W	0.283360408447436
YAR035W	0.641912276630309
YAR042W	0.8275702019029935
YAR047C	0.830819215595266
YAR050W	0.460895799489441
YBL001C	0.131352982130425
YBL002W	0.0327222093293107
YBL003C	0.209561383151543
YBL005W	0.0594105360872592
YBL006C	0.00464144813181713
YBL007C	0.9593873288466
YBL008W	0.0192620097470411
YBL009W	0.307263866326294
YBL010C	0.0471106985379438
YBL011W	0.110930610350429
YBL012C	0.168484567184962
YBL013W	0.0259921095381759
YBL015W	0.0331863541424925
YBL017C	0.238802506381991
YBL019W	0.682292875377118
YBL021C	0.400789046182409
YBL022C	0.0255279647249942
YBL024W	0.193084242283592
YBL027W	0.968206080297053
YBL028C	0.118124854954746
YBL029W	0.494546298445115
YBL031W	0.0673009979113483
YBL032W	0.830587143188675
YBL033C	0.500116036203295
YBL036C	0.299605476908796
YBL037W	0.369227198886052
YBL038W	0.500116036203295
YBL039C	0.306567649106521
YBL042C	0.407983290786725
YBL043W	0.467625899280576
YBL044W	0.226966813645857
YBL045C	0.500116036203295
YBL046W	0.0341146437688559
YBL047C	0.766071014156417
YBL048W	0.205152007426317
YBL049W	0.499187746576932
YBL051C	0.00789046182408912
YBL052C	0.328846600139243
YBL053W	0.74796936644233
YBL054W	0.357159433743328
YBL055C	0.404270132281272
YBL056W	0.478765374796937
YBL057C	0.640751914597354
YBL058W	0.500116036203295
YBL059W	0.756788117892783
YBL060W	0.364353678347644
YBL061C	0.539568345323741
YBL062W	0.173126015316779
YBL063W	0.30633557669993
YBL064C	0.659781851937805
YBL065W	0.600139243443955
YBL066C	0.778834996518914
YBL067C	0.434671617544674
YBL068W	0.538872128103968
YBL069W	0.333023903457879
YBL070C	0.506614063587839
YBL071C	0.94314226038524
YBL072C	0.927825481550244
YBL075C	0.371083778138779
YBL078C	0.160129960547691
YBL079W	0.786725458343003
YBL080C	0.787885820375957
YBL081W	0.831515432815038
YBL082C	0.928289626363425
YBL083C	0.424924576467858
YBL085W	0.386168484567185
YBL086C	0.156880946855419
YBL087C	0.907635182176839
YBL088C	0.511023439313066
YBL089W	0.0167092132745417
YBL090W	0.979345555813414
YBL091C	0.358783940589464
YBL091C-A	0.391274077512184
YBL093C	0.500116036203295
YBL094C	0.265026688326758
YBL095W	0.840334184265491
YBL096C	0.270596426084939
YBL098W	0.700626595497795
YBL099W	0.500116036203295
YBL100C	0.500116036203295
YBL101C	0.73706196333256
YBL102W	0.755163611046647
YBL103C	0.927593409143653
YBL104C	0.0837781387792991
YBL106C	0.606637270828498
