orf	hap a | filamentous growth | hydroxyurea [200 mM] | Kang CM~Jiang YW, 2005
YBR171W	-16.870832818802988
YBR191W	-16.870832818802988
YCR088W	-16.870832818802988
YDR470C	-16.870832818802988
YER149C	-16.870832818802988
YHL011C	-16.870832818802988
YIL034C	-16.870832818802988
YIL052C	-16.870832818802988
YJL201W	-16.870832818802988
YJR118C	-16.870832818802988
YKL092C	-16.870832818802988
YLL021W	-16.870832818802988
YMR307W	-16.870832818802988
YNL079C	-16.870832818802988
YNL271C	-16.870832818802988
YOR300W	-16.870832818802988
