ORF	Pho5 phosphatase activity;phosphate starvation
YAL068C	85.168
YAL067C	51.419
YAL066W	63.692
YAL065C	70.511
YAL062W	51.820
YAL061W	65.176
YAL060W	32.746
YAL059W	217.798
YAL058W	51.439
YAL056W	114.607
YAL055W	63.941
YAL053W	89.746
YAL051W	96.375
YAL049C	71.554
YAL048C	69.330
YAL046C	80.178
YAL045C	49.347
YAL044C	94.587
YAL042W	43.830
YAL043C-a	145.470
YAL040C	43.090
YAL039C	50.723
YAL037W	41.262
YAL036C	115.472
YAL035W	80.699
YAL034C	64.028
YAL031C	104.676
YAL030W	103.753
YAL029C	58.110
YAL028W	61.870
YAL027W	60.041
YAL026C	85.364
YAL023C	70.061
YAL022C	51.189
YAL021C	78.837
YAL020C	78.856
YAL019W	77.743
YAL018C	90.086
YAL017W	261.382
YAL015C	65.283
YAL014C	106.209
YAL013W	108.294
YAL011W	79.390
YAL010C	49.097
YAL009W	54.386
YAL008W	41.968
YAL007C	53.711
YAL004W	281.419
YAL005C	343.898
YAL002W	62.844
YAR002W	73.997
YAR003W	138.035
YAR014C	51.191
YAR015W	62.890
YAR018C	49.247
YAR020C	95.815
YAR023C	44.832
YAR027W	52.781
YAR028W	47.972
YAR029W	115.401
YAR031W	68.942
YAR030C	169.519
YAR035W	80.896
YAR037W	278.186
YAR040C	67.516
YAR042W	36.910
YAR043C	132.101
YAR044W	51.632
YAR047C	118.053
YLL001W	47.065
YLL002W	55.452
YLL005C	127.324
YLL006W	51.848
YLL009C	219.647
YLL010C	168.095
YLL012W	62.668
YLL013C	59.740
YLL014W	52.902
YLL015W	43.022
YLL016W	79.007
YLL017W	48.670
YLL019C	59.734
YLL020C	44.113
YLL021W	100.699
YLL023C	97.173
YLL024C	56.715
YLL025W	81.038
YLL026W	50.355
YLL028W	66.317
YLL029W	52.450
YLL032C	61.064
YLL033W	63.309
YLL038C	56.040
YLL039C	54.366
YLL040C	63.375
YLL041C	85.177
YLL042C	57.715
YLL043W	50.650
YLL045C	50.299
YLL046C	52.795
YLL047W	45.215
YLL051C	42.772
YLL052C	45.027
YLL053C	42.041
YLL054C	40.552
YLL055W	65.816
YLL056C	53.829
YLL057C	55.663
YLL058W	44.170
YLL060C	41.802
YLL061W	46.980
YLL062C	55.110
YLL063C	52.186
YLR001C	40.747
YLR003C	48.043
YLR004C	68.551
YLR011W	57.886
YLR012C	71.359
YLR013W	56.043
YLR014C	55.928
YLR015W	112.670
YLR016C	59.508
YLR017W	54.961
YLR018C	47.249
YLR019W	49.734
YLR020C	41.942
YLR021W	56.757
YLR023C	50.099
YLR024C	26.801
YLR025W	41.555
YLR027C	72.345
YLR028C	71.945
YLR042C	52.536
YLR043C	153.799
YLR044C	73.585
YLR046C	45.854
YLR047C	58.538
YLR048W	35.012
YLR049C	52.630
YLR053C	50.713
YLR054C	60.352
YLR055C	106.465
YLR056W	92.125
YLR057W	63.489
YLR058C	57.821
YLR059C	64.054
YLR061W	38.164
YLR062C	34.733
YLR063W	41.388
YLR064W	57.317
YLR065C	48.900
YLR067C	49.117
YLR068W	41.183
YLR069C	94.672
YLR070C	110.470
YLR072W	50.288
YLR073C	52.544
YLR074C	NaN
YLR077W	163.831
YLR079W	32.147
YLR080W	33.133
YLR081W	46.986
YLR082C	46.702
YLR083C	38.805
YLR084C	42.362
YLR085C	94.403
YLR087C	60.016
YLR089C	23.552
YLR090W	43.670
YLR091W	41.173
