ORF	hom | growth (relative abundance in pooled culture) | camptothecin [50 uM] | Deng C~Brown JM, 2005
YBR098W	0.206
YBR099C	0.209
YDL059C	0.212
YJL092W	0.232
YDR386W	0.282
YGL175C	0.318
YGL163C	0.327
YDR076W	0.363
YER095W	0.379
YJL047C	0.385
YPR164W	0.402
YDR004W	0.421
YNL250W	0.523
YLR386W	0.524
YNL273W	0.533
YPR120C	0.544
YDR174W	0.570
YBR100W	0.582
YDR075W	0.599
YOL012C	0.602
YCR077C	0.615
YNL201C	0.617
YAL019W	0.619
YJL124C	0.619
YMR048W	0.619
YAR002W	0.631
YMR179W	0.634
YJR118C	0.648
YPL003W	0.653
YBR082C	0.657
YNL323W	0.669
YOR221C	0.669
YOL076W	0.674
YPL008W	0.678
YDR150W	0.690
YAR015W	0.695
YLR306W	0.699
YBR147W	0.699
YDR159W	0.713
YMR190C	0.721
YPL104W	0.722
YDR540C	0.725
YMR257C	0.737
YDR207C	0.740
YDR378C	0.745
YBL088C	0.746
YOR033C	0.747
YLR056W	0.749
YCR009C	0.753
YAL021C	0.757
YBR156C	0.760
YOR368W	0.760
YDR139C	0.764
YGL012W	0.765
YNL298W	0.775
YOR025W	0.776
YDR293C	0.777
YKR093W	0.779
YPL194W	0.779
YML001W	0.780
YDL185W	0.782
YER016W	0.793
YIL132C	0.793
YGL013C	0.799
YDR435C	0.805
YLR073C	0.807
YOR312C	0.812
YML013C-A	0.813
YOR150W	0.815
YDL041W	0.816
YMR284W	0.817
YJR099W	0.819
YER173W	0.819
YMR073C	0.822
YHL011C	0.822
YNL136W	0.824
YER014W	0.824
YJR104C	0.824
YIL153W	0.824
YPL205C	0.830
YPL079W	0.830
YKL113C	0.831
YGL149W	0.833
YPL047W	0.835
YLR426W	0.836
YOR144C	0.837
YER116C	0.837
YDR260C	0.838
YLR125W	0.839
YMR111C	0.840
YBR290W	0.840
YBR231C	0.841
YKL076C	0.842
YNL271C	0.845
YBR069C	0.848
