ORF	Gene	strain	CPT	T/C
YBR098W	MMS4	33237	1	0.206
YBR099C		33238	2	0.209
YDL059C	RAD59	33756	3	0.212
YJL092W	HPR5	31331	4	0.232
YDR386W	MUS81	34222	5	0.282
YGL175C	SAE2	34542	6	0.318
YGL163C	RAD54	34530	7	0.327
YDR076W	RAD55	34011	8	0.363
YER095W	RAD51	36401	9	0.379
YJL047C	RTT101	31376	10	0.385
YPR164W	MMS1	35579	11	0.402
YDR004W	RAD57	33944	12	0.421
YNL250W	RAD50	36464	13	0.523
YLR386W	VAC14	35295	14	0.524
YNL273W	TOF1	31171	15	0.533
YPR120C	CLB5	35535	16	0.544
YDR174W	HMO1	36969	17	0.57
YBR100W		33239	18	0.582
YDR075W	PPH3	34010	19	0.599
YOL012C	HTZ1	31703	20	0.602
YCR077C	PAT1	35797	21	0.615
YNL201C	PSY2	32011	22	0.617
YAL019W	FUN30	30389	23	0.619
YJL124C	LSM1	31301	24	0.619
YMR048W	CSM3	36740	25	0.619
YAR002W	NUP60	30407	26	0.631
YMR179W	SPT21	30764	27	0.634
YJR118C	ILM1	36921	28	0.648
YPL003W	ULA1	32825	29	0.653
YBR082C	UBC4	33219	30	0.657
YNL323W	LEM3	31121	31	0.669
YOR221C	MCT1	32477	32	0.669
YOL076W	MDM20	31767	33	0.674
YPL008W	CHL1	32820	34	0.678
YDR150W	NUM1	33508	35	0.69
YAR015W	ADE1	30414	36	0.695
YLR306W	UBC12	35214	37	0.699
YBR147W		33286	38	0.699
YDR159W	SAC3	33517	39	0.713
YMR190C	SGS1	30775	40	0.721
YPL104W	MSD1	32148	41	0.722
YDR540C		35835	42	0.725
YMR257C	PET111	30843	43	0.737
YDR207C	UME6	33566	44	0.74
YDR378C	LSM6	34214	45	0.745
YBL088C	TEL1	33114	46	0.746
YOR033C	EXO1	31809	47	0.747
YLR056W	ERG3	32667	48	0.749
YCR009C	RVS161	33489	49	0.753
YAL021C	CCR4	30387	50	0.757
YBR156C	SLI15	33295	51	0.76
YOR368W	RAD17	31665	52	0.76
YDR139C	RUB1	34073	53	0.764
YGL012W	ERG4	34380	54	0.765
YNL298W	CLA4	31146	55	0.775
YOR025W	HST3	31801	56	0.776
YDR293C	SSD1	33652	57	0.777
YKR093W	PTR2	36009	58	0.779
YPL194W	DDC1	37396	59	0.779
YML001W	YPT7	30575	60	0.78
YDL185W	TFP1	33883	61	0.782
YER016W	BIM1	30147	62	0.793
YIL132C	CSM2	32291	63	0.793
YGL013C	PDR1	34381	64	0.799
YDR435C	PPM1	34271	65	0.805
YLR073C		32684	66	0.807
YOR312C	RPL20B	31609	67	0.812
YML013C-A		30561	68	0.813
YOR150W	MRPL23	32406	69	0.815
YDL041W		33737	70	0.816
YMR284W	YKU70	30870	71	0.817
YJR099W	YUH1	36911	72	0.819
YER173W	RAD24	36169	73	0.819
YMR073C		36206	74	0.822
YHL011C	PRS3	36595	75	0.822
YNL136W		32940	76	0.824
YER014W	HEM14	30336	77	0.824
YJR104C	SOD1	36913	78	0.824
YIL153W	RRD1	32312	79	0.824
YPL205C		31087	80	0.83
YPL079W	RPL21B	32749	81	0.83
YKL113C	RAD27	34963	82	0.831
YGL149W		34516	83	0.833
YPL047W		32781	84	0.835
YLR426W		36029	85	0.836
YOR144C	ELG1	32400	86	0.837
YER116C	SLX8	36114	87	0.837
YDR260C	SWM1	33619	88	0.838
YLR125W		32736	89	0.839
YMR111C		36551	90	0.84
YBR290W	BSD2	35738	91	0.84
YBR231C	AOR1	33371	92	0.841
YKL076C	PSY1	34925	93	0.842
YNL271C	BNI1	31173	94	0.845
YBR069C	TAT1	33206	95	0.848
YJR010C-A	SPC1	36807	96	0.848
YMR294W	JNM1	30881	97	0.85
YGL127C	SOH1	34494	98	0.851
YMR169c	ALD3	30752	99	0.851
YDR162C	NBP2	33520	100	0.851
YMR242C	RPL20A	30828	101	0.852
YOR039W	CKB2	31815	102	0.853
YKL048C	ELM1	34897	103	0.855
YDR439W	LRS4	34275	104	0.856
YMR223W	UBP8	30809	105	0.857
YHL006C	SHU1	30957	106	0.857
YLR089C		32700	107	0.857
YHR031C	RRM3	30994	108	0.857
YIR039C	YPS6	35974	109	0.859
YDL032W		33728	110	0.86
YPL068C		32760	111	0.86
YJR001W	AVT1	36798	112	0.862
YGL019W	CKB1	34387	113	0.862
YLR135W	SLX4	34092	114	0.864
YLR077W		32688	115	0.866
YLR216C	CPR6	34165	116	0.866
YHR159W		32853	117	0.869
YBR191W	RPL21A	36679	118	0.87
YBL046W		33072	119	0.87
YBL089W	AVT5	33115	120	0.871
YDR179C	CSN9	33537	121	0.872
YLL043W	FPS1	31531	122	0.872
YPL062W		32766	123	0.872
YDR399W	HPT1	34235	124	0.872
YPL071C		32757	125	0.873
YAR044W	OSH1	30430	126	0.874
YBR228W	SLX1	33368	127	0.874
YLR148W	PEP3	34105	128	0.875
YBR115C	LYS2	33254	129	0.876
YPR066W	UBA3	35485	130	0.877
YBR215W	HPC2	33355	131	0.877
YPL072W	UBP16	32755	132	0.878
YLR271W		35180	133	0.878
YDR290W	SWS1	33649	134	0.879
YNL098C	RAS2	32978	135	0.879
YIL152W		32311	136	0.881
YHR025W	THR1	36608	137	0.882
YAL023C	PMT2	30385	138	0.883
YPL067C		32761	139	0.883
YIR009W	MSL1	32345	140	0.884
YPL070W	MUK1	32758	141	0.884
YCL032W	STE50	33439	142	0.885
YPL196W	OXR1	31096	143	0.885
YMR263W	SAP30	30849	144	0.886
YBR244W	GPX2	33384	145	0.886
YDL101C	DUN1	33798	146	0.887
YHR081W	LRP1	31909	147	0.889
YLR177W		34126	148	0.889
YBR223C	TDP1	33363	149	0.889
YER002W	NOP16	30323	150	0.89
YBR224W		33364	151	0.891
YDR428C		34264	152	0.891
YPL002C	SNF8	32826	153	0.891
YJL168C	SET2	31257	154	0.891
YJL056C	ZAP1	31367	155	0.892
YCL055W	KAR4	33462	156	0.892
YMR038C	LYS7	30614	157	0.893
YGL046W		34414	158	0.893
YLR376C	PSY3	35285	159	0.893
YOL054W	PSH1	31746	160	0.894
YLR055C	SPT8	32666	161	0.894
YDR458C		34292	162	0.894
YHR129C	ARP1	31957	163	0.895
YLR237W	THI7	36706	164	0.895
YBR174C		33314	165	0.895
YCL030C	HIS4	33437	166	0.895
YEL007W		30247	167	0.896
YJR084W	CSN12	36899	168	0.896
YFR018C		35697	169	0.896
YIR002C	MPH1	32338	170	0.896
YLR085C	ARP6	32696	171	0.897
YHR039C	MSC7	31002	172	0.897
YBR119W	MUD1	33258	173	0.897
YPL073C		32756	174	0.898
YIL149C	MLP2	32308	175	0.898
YNL106C	INP52	37239	176	0.898
YLR068W	FYV7	32679	177	0.898
YDR199W		33558	178	0.898
YJL073W	JEM1	31350	179	0.899
YAR047C		30431	180	0.9
YLR182W	SWI6	34131	181	0.9
YMR016C	SOK2	30591	182	0.9
YBR053C		33190	183	0.9
YPR124W	CTR1	35539	184	0.9
YBR058C	UBP14	33195	185	0.9
YBR212W	NGR1	33352	186	0.901
YML017W	PSP2	30556	187	0.901
YGL104C	VPS73	34471	188	0.901
YJL013C	MAD3	36781	189	0.901
YGR167W	CLC1	34797	190	0.901
YLL053C		31541	191	0.901
YBR195C	MSI1	33335	192	0.902
YMR004W	MVP1	36533	193	0.903
YOR031W	CRS5	31807	194	0.903
YOR333C	SWF5	31630	195	0.903
YLR093C	NYV1	32704	196	0.903
YGL250W		34617	197	0.904
YPL074W	YTA6	32754	198	0.904
YPL023C	MET12	32805	199	0.904
YBR229C	ROT2	33369	200	0.904
YDR484W	SAC2	34318	201	0.905
YOL046C		31737	202	0.905
YBR157C	ICS2	33296	203	0.905
YLR031W		36429	204	0.906
YOR016C	ERP4	31792	205	0.907
YBR275C	RIF1	37170	206	0.907
YMR225C	MRPL44	30811	207	0.907
YBR298C	MAL31	35746	208	0.908
YJL170C	ASG7	31255	209	0.908
YDR392W	SPT3	34228	210	0.908
YJL193W		31232	211	0.908
YKL191W	DPH2	35041	212	0.909
YLR368W	MDM30	35277	213	0.909
YNL166C	BNI5	32046	214	0.909
YDR525W	API2	34359	215	0.909
YGL133W	ITC1	34500	216	0.909
YMR152W	YIM1	30733	217	0.909
YBL107C		33135	218	0.909
YMR294W-A		30882	219	0.91
YLR450W	HMG2	36054	220	0.91
YLR252W		35161	221	0.91
YLR080W	EMP46	32691	222	0.911
YGL101W		34468	223	0.911
YKR073C		35989	224	0.911
YKL067W	YNK1	34916	225	0.911
YJL088W	ARG3	31335	226	0.911
YER089C	PTC2	37269	227	0.912
YER101C	AST2	36099	228	0.912
YNL097C	PHO23	37234	229	0.912
YBL062W		33088	230	0.913
YPL027W	SMA1	37340	231	0.913
YNL068C	FKH2	37216	232	0.913
YMR302C	PRP12	30890	233	0.913
YPL162C		32090	234	0.913
YMR304W	UBP15	30892	235	0.913
YKL063C		34912	236	0.913
YER151C	UBP3	36148	237	0.914
YPL080C		32748	238	0.914
YHR103W	SBE22	31931	239	0.914
YHL039W		36597	240	0.915
YLR087C	CSF1	32698	241	0.916
YLR193C		34142	242	0.916
YBR148W	YSW1	33287	243	0.916
YHR200W	RPN10	32894	244	0.917
YOR195W	SLK19	32451	245	0.917
YGR232W	NAS6	35885	246	0.917
YCR008W	SAT4	33488	247	0.918
YJR140C	HIR3	36934	248	0.918
YLR174W	IDP2	34123	249	0.918
YIL163C		32322	250	0.918
YLR431C		36034	251	0.919
YPR040W	TIP41	35459	252	0.919
YDR261C	EXG2	33620	253	0.919
YML004C	GLO1	30572	254	0.919
YHR167W	THP2	32861	255	0.919
YJL169W		31256	256	0.919
YDL225W	SHS1	33923	257	0.92
YML070W	DAK1	36483	258	0.92
YAL024C	LTE1	37249	259	0.92
YAL002W	VPS8	30405	260	0.92
YCL026C		33433	261	0.92
YDR248C		33607	262	0.92
YML061C	PIF1	30509	263	0.921
YML117W	NAB6	36517	264	0.921
YKL101W	HSL1	34951	265	0.921
YDR422C	SIP1	34258	266	0.921
YDR057W	YOS9	33993	267	0.921
YHR050W	SMF2	31878	268	0.921
YOL049W	GSH2	31740	269	0.922
YHL041W		30922	270	0.922
YGL227W	VID30	34594	271	0.922
YMR305C	SCW10	30894	272	0.923
YOR170W		32426	273	0.923
YOR079C	ATX2	31855	274	0.923
YCR083W	TRX3	37197	275	0.923
YDR255C	RMD5	33614	276	0.923
YIL011W	TIR3	31403	277	0.923
YBR133C	HSL7	33272	278	0.924
YMR313C	TGL3	36453	279	0.924
YHR012W	VPS29	30975	280	0.924
YBL056W	PTC3	33082	281	0.925
YHR179W	OYE2	32873	282	0.925
YLR053C		32664	283	0.925
YDL117W	CYK3	33814	284	0.925
YNL324W		31119	285	0.926
YDR010C		33950	286	0.926
YDR257C	RMS1	33616	287	0.926
YBL098W	BNA4	33124	288	0.926
YBR149W	ARA1	33288	289	0.926
YDR142C	PEX7	34076	290	0.927
YDR432W	NPL3	34268	291	0.927
YEL057C		30298	292	0.927
YNL084C	END3	32992	293	0.927
YDR514C		34348	294	0.927
YBR187W		33327	295	0.927
YOR198C	BFR1	32454	296	0.927
YJL165C	HAL5	37012	297	0.927
YGR184C	UBR1	34814	298	0.928
YDR371W	CTS2	34207	299	0.928
YDR253C	MET32	33612	300	0.928
YIL166C		32325	301	0.928
YDL218W		33916	302	0.928
YIL077C		31470	303	0.928
YIL052C	RPL34B	31445	304	0.929
YIL058W		37301	305	0.929
YIL131C	FKH1	32290	306	0.929
YOR082C		31858	307	0.929
YGL212W	VAM7	34578	308	0.929
YLR102C	APC9	32713	309	0.929
YLL040C	VPS13	31528	310	0.929
YBL063W	KIP1	33089	311	0.929
YJL145W	SFH5	31280	312	0.93
YLR065C		32676	313	0.93
YCR094W	CDC50	35813	314	0.93
YKL086W		34935	315	0.93
