orf	hap a | viral RNA replication (DI-72(+) RNA) | standard | None | Panavas T~Nagy PD, 2005
YAL021C	45
YBL006C	25
YBL021C	12
YBL052C	27
YBL093C	9
YBR006W	24
YBR007C	26
YBR032W	32
YCL008C	33
YCR003W	162
YCR081W	35
YCR094W	42
YCR099C	37
YDL013W	26
YDL074C	20
YDL080C	31
YDR058C	20
YDR069C	22
YDR080W	14
YDR121W	18
YDR123C	29
YDR127W	38
YDR136C	31
YDR176W	27
YDR207C	39
YDR272W	28
YDR275W	49
YDR410C	48
YDR432W	21
YDR448W	8
YER083C	37
YER116C	22
YER124C	25
YFL042C	31
YGL012W	18
YGL058W	23
YGL076C	192
YGL115W	40
YGL124C	42
YGL135W	192
YGL140C	17
YGL168W	32
YGL173C	40
YGL205W	29
YGR028W	33
YGR064W	16
YGR081C	151
YHL025W	16
YHL031C	23
YHR012W	19
YHR029C	31
YHR091C	153
YHR104W	32
YIL064W	20
YIL090W	24
YIR038C	29
YJL093C	15
YJL136C	33
YJL175W	13
YJL176C	24
YJL212C	25
YKL041W	44
YKL043W	33
YKL081W	15
YKL212W	23
YKR020W	24
YKR035W-A	30
YKR069W	33
YLR025W	16
YLR038C	25
YLR039C	5
YLR148W	17
YLR358C	39
YMR054W	16
YNL032W	50
YNL197C	29
YNL321W	29
YNR051C	17
YOL004W	4
YOL018C	14
YOL081W	24
YOR078W	184
YOR188W	27
YOR221C	49
YOR306C	40
YOR337W	25
YPL051W	19
YPL055C	30
YPL065W	20
YPL161C	15
YPR050C	10
YPR051W	17
YPR087W	17
YPR160W	37
YPR173C	46
