orf	hap a | growth (colony size) | sirolimus [10 nM] | quantitative | discrete | quantitative	hap a | growth (colony size) | sirolimus [30 nM] | quantitative | discrete | quantitative
YAL001C	0.4036857601811881	-0.09319787343560393
YAL002W	-2.3872736222953703	-0.06579956722853195
YAL003W	0.49222856265765424	-0.0882990412788864
YAL004W	-1.2400493999910587	-0.06608786713549872
YAL005C	-1.5945603159768293	-0.05424420803393063
YAL007C	-0.25907739433299837	-0.0662101373275665
YAL008W	0.08498183209714041	-0.05258453017020385
YAL009W	0.23350256248523463	-0.04136533333942152
YAL010C	-1.4835557989302934	0.0006753532502863771
YAL011W	-1.619864381802363	-0.07395543572893502
YAL012W	-1.3181554053648805	-0.06437395088160101
YAL013W	-0.6579217558203021	0.0415997896338236
YAL014C	-0.25584907072610286	-0.037886508664958386
YAL015C	0.13017753413332864	-0.07672655368288053
YAL016W	-1.9328340909476118	-0.08807651408407027
YAL017W	-0.5756568268728872	-0.07285765533302914
YAL018C	0.3302808603612028	-0.06819347951689576
YAL019W	0.20421173029549733	-0.06643987734703413
YAL020C	-2.320920862951794	-0.08770097504678277
YAL021C	-0.41912648479894576	-0.060416989193754045
YAL022C	0.26702321784280947	-0.06841737079376049
YAL023C	-0.5794305599185686	-0.058817852730325096
YAL024C	-0.9963980343718042	-0.06822270539382276
YAL025C	0.3461157198395805	-0.09100371961476016
YAL026C	-1.6348345537210462	-0.05567309045378313
YAL027W	-0.13461674885251057	-0.07461987970301034
YAL028W	-0.010072288533086388	-0.07536269785357487
YAL029C	-0.10360622900623419	-0.06872182305678466
YAL030W	0.19369742164397175	-0.08210430699211024
YAL031C	0.02135465425139405	-0.06959527918161648
YAL032C	0.13655998707409053	-0.090409901651693
YAL033W	0.22223845410092227	-0.09171443623549909
YAL034C	-0.019700637341195214	-0.049030606464136775
YAL034W-A	0.3398029985647423	-0.09227197390143493
YAL035W	1.4684516216947752	0.041020900437907765
YAL036C	-0.3793714740593332	-0.06769083124975835
YAL037W	-0.0073192391130105046	-0.08266239663902894
