ORF	cisplatin
YAL045C	1.000
YBR034C	1.000
YBR045C	1.000
YBR076W	1.000
YBR083W	1.000
YBR094W	1.000
YBR141C	1.000
YBR144C	1.000
YBR171W	1.000
YBR173C	1.000
YBR246W	1.000
YBR268W	1.000
YCR105W	1.000
YDL136W	1.000
YDL157C	1.000
YDL169C	1.000
YDL172C	1.000
YDL173W	1.000
YDL183C	1.000
YDL241W	1.000
YDR006C	1.000
YDR036C	1.000
YDR136C	1.000
YDR257C	1.000
YDR263C	1.000
YDR297W	1.000
YDR363W-A	1.000
YDR375C	1.000
YDR399W	1.000
YDR440W	1.000
YDR463W	1.000
YDR497C	1.000
YEL062W	1.000
YER020W	1.000
YER037W	1.000
YER053C	1.000
YER056C	1.000
YER058W	1.000
YER063W	1.000
YER151C	1.000
YFL005W	1.000
YFL031W	1.000
YGL014W	1.000
YGL094C	1.000
YGL199C	1.000
YGL214W	1.000
YGL254W	1.000
YGR011W	1.000
YGR022C	1.000
YGR025W	1.000
YGR067C	1.000
YGR072W	1.000
YGR178C	1.000
YGR205W	1.000
YGR261C	1.000
YHL025W	1.000
YHR012W	1.000
YHR077C	1.000
YHR143W	1.000
YIL038C	1.000
YIL088C	1.000
YIL130W	1.000
YIL173W	1.000
YIR022W	1.000
YJL024C	1.000
YJL036W	1.000
YJL089W	1.000
YJL135W	1.000
YJL175W	1.000
YJR026W	1.000
YJR033C	1.000
YJR059W	1.000
YKL010C	1.000
YKL032C	1.000
YKL044W	1.000
YKL064W	1.000
YKL137W	1.000
YKL191W	1.000
YLL007C	1.000
YLL039C	1.000
YLL048C	1.000
YLR037C	1.000
YLR043C	1.000
YLR080W	1.000
YLR108C	1.000
YLR180W	1.000
YLR189C	1.000
YLR202C	1.000
YLR214W	1.000
YLR352W	1.000
YLR395C	1.000
YLR422W	1.000
YLR436C	1.000
YLR461W	1.000
YML034C-A	1.000
YML052W	1.000
YML062C	1.000
YML080W	1.000
YMR015C	1.000
YMR019W	1.000
YMR023C	1.000
YMR099C	1.000
YMR123W	1.000
YMR151W	1.000
YMR163C	1.000
YMR216C	1.000
YMR258C	1.000
YMR275C	1.000
YNL010W	1.000
YNL092W	1.000
YNL111C	1.000
YNL252C	1.000
YNL329C	1.000
YNR070W	1.000
YOL050C	1.000
YOL070C	1.000
YOL087C	1.000
YOL093W	1.000
YOL108C	1.000
YOL148C	1.000
YOR066W	1.000
YOR068C	1.000
YOR069W	1.000
YOR081C	1.000
YOR123C	1.000
YOR132W	1.000
YOR144C	1.000
YOR171C	1.000
YOR196C	1.000
YOR213C	1.000
YOR359W	1.000
YOR366W	1.000
YOR374W	1.000
YPL057C	1.000
YPL156C	1.000
YPL212C	1.000
YPR028W	1.000
YPR032W	1.000
YPR189W	1.000
