orf	hom | growth (relative abundance in pooled culture) | cisplatin [500 uM], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | cisplatin [500 uM], time [overnight + 20 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | carboplatin [15 mM], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | oxaliplatin [4 mM], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | psoralen [0.5 uM], time [5 generations], radiation [unknown] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | angelicin irradiated (angelicin [62.5 uM], time [5 generations], radiation [unknown]) | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | mechlorethamine [62.5 uM], time [overnight + 5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | mechlorethamine [62.5 uM], time [overnight + 20 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | mitomycin C [1 mM], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | streptozocin [2 mM], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | streptozocin [2 mM], time [overnight + 20 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | methyl methanesulfonate [0.002%], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | camptothecin [30 ug/ml], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | camptothecin [30 ug/ml], time [overnight + 20 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | 2-dimethylaminoethyl chloride [240 mM], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | 4-nitroquinoline N-oxide [0.0313 uM], time [5 generations] | Lee W~Giaever G, 2005
YAL002W	-0.3723616736079797	0.9196586542141779	-1.4357790024981805	-2.076710971150687	-1.906880314044329	-1.3909922890852724	-0.7040554019637915	1.521953779149718	-1.0902614450332515	-1.4370498829001468	-0.2234536573178203	0.04939285918497982	-1.0657665763180446	-0.6099454961085142	-0.006000231257046516	-0.8988491987197027
YAL004W	0.3652499062288734	0.515229811114301	-0.19747888381472348	-0.09107814641490106	-0.5239963489387545	-0.8526681754143527	-0.19798022870264864	0.37955943941787945	0.04245984001814094	-1.0179459098892478	0.44138886774381214	-0.28424197270308266	-0.36268842958752695	0.3595769663076152	0.09701150255051441	-0.6012911644740987
YAL005C	0.2065952049265525	0.6381588596477994	-0.03255713039046622	-0.187604487286066	0.5034147407662825	-0.8385593046771723	-0.1934001230842336	1.0139513266919868	-0.20391702645255189	0.5529992283385197	0.3223800058324658	-0.14553759192023888	0.12980582969287074	0.06293626932267156	0.58414891199613	-1.5395450402782427
YAL007C	-0.1361123272469338	0.5808391457921181	0.25337429519009075	-0.2844695554118163	-0.367932366176593	-0.9167471099289679	-0.20445491084242148	1.2358267053923664	-0.20689280493985046	-0.35178643626895717	0.9670790293545912	-0.5086159591651821	-0.1498225337866153	0.059680839613606644	0.05422563637012613	-1.0990745039734644
YAL008W	-0.4158033616428394	0.21294170386605496	-0.4876346470414639	-0.3786594066720518	-1.4288506364801306	-0.892132915824092	0.08034299887494528	-0.3330132615194854	-0.07860484749818904	-1.7614007157769724	1.0097020516932815	-1.092614516421511	-0.8635304479380889	0.2469500292184509	-1.0889979276193782	-1.0195170014337445
YAL009W	0.4549744828204388	-0.5910490048816477	0.3857140158005617	-0.27256219974458146	-1.0028518944767122	-1.3055056624341925	-1.1214981784318936	-1.8131631748710373	0.10360865892886002	-1.4297823485024879	1.8388421102453585	0.31371148875373944	-0.6963962086057921	-0.7744603111175397	1.3408906744245304	-1.3724283511541089
YAL010C	2.1821643950252905	-0.14324347386778796	1.6001242249925334	0.9929328395144151	-0.04321085396287585	-0.3631557488391859	0.9549927982613378	-0.09361078509875999	2.2726149847622734	0.24138454275996007	-0.15200107247566227	0.5880644396074409	1.5398229780612593	-0.061313799065237685	0.9395909624374245	1.778663324067688
YAL011W	0.19135215916492038	-3.1189006359266203	1.275875451038518	-0.8419545196881659	-1.4187046165779178	-3.1020011330661035	-2.0964353324143925	-3.8090093904342224	0.7609038590692416	-1.4484886919371636	-3.802497623239432	0.02657324604341196	-0.3681804107387451	-3.8978117854773497	0.48796090867316066	-3.4219489559287557
YAL012W	-0.4516185648679243	-0.6225481869923378	0.06642678127351648	0.07136342552999075	0.3034419018635789	0.2483098933853888	0.6380652555233797	-0.12446733823971454	1.65365380483966	-0.09070693951261886	-2.1865034351729182	0.8930146610712495	0.6406515662089306	-1.2566170584193204	-2.008382422981475	1.4576002876255363
YAL013W	0.8798217869789701	-0.5446673676700137	1.2332491868300721	0.6151262937670938	-0.3559767053728491	-1.1955961572840346	-0.6305392085416812	-1.0821290070944596	-0.044862709916132275	-0.509687550160118	-0.15200107247566227	1.6490679572376323	0.1601110574304464	-0.061313799065237685	-0.44324076112677174	-1.4165221351150326
YAL014C	-0.019128897726949718	0.4791857196916593	-0.04307454246302594	-0.6386471434804082	-0.09923578228901493	-0.10566721990956532	-0.2702410995695237	0.3253919121095072	-0.5264580189656409	0.10061995233845156	0.270442759736345	-0.24037462973545268	-0.27403645683503547	0.27811414711349414	0.5598669076534593	-1.2886783945363316
YAL015C	-0.5566774867139649	-0.42424524857857315	-0.251619211185413	-1.1137758570357428	-0.7525913405769615	-0.3089846040193623	-1.6532051171968454	-1.945533888061006	-1.1065790279708683	-0.869142431391239	-1.2140477243190106	-0.7927597825806678	-1.2233623867018433	-1.8128442909869757	0.24070269956977444	-2.3755878238061343
YAL016W	0.29981297950515856	-0.14324347386778796	0.44851446393562694	0.11016499676558576	-0.03454237327320122	-0.09004354889633946	0.009430192071344006	-0.09361078509875999	0.35505672305714103	-0.1125529228773406	-0.15200107247566227	0.47672263683483274	0.2742140889543966	-0.061313799065237685	-0.1897973408001459	0.02444831620939578
YAL017W	-0.13309448205415234	0.5530885002289053	-0.2676067747662613	0.07423532273687757	-0.7473240824681424	-0.9437514387254586	-0.32548191639330654	0.4296613643818102	0.15527628380652528	-0.25919688220066717	0.7701108111701147	-0.4043426371458274	-0.6543881728653591	0.6136448268174478	0.42827813771502354	-0.7273134842183806
YAL018C	0.11436783136813579	-0.6294646194261629	0.5111640428690427	-0.5135548041392204	-0.15516797278502015	-0.481869702998642	-0.5043438512356798	-0.44194183792863706	0.0698613032983536	-0.5238294861489965	0.5884834479002203	0.3729330368436656	0.3778847088769611	0.666098866425842	-0.733477711863101	-1.1361675888089005
YAL019W	0.29182625865297007	-0.5169182521217183	0.6193326886576821	0.07747417446956503	-1.5594016902441141	-0.12228546999676906	-0.6364812894495759	-0.2287596014013043	0.3738066620077977	-1.5100858245543662	-0.21994589676814694	0.5153272534914152	0.44463933460244	-1.6929749687336066	-3.140040565755425	-1.360849318706732
YAL020C	1.0038511556205416	-0.9220486070611945	0.6411858639269	-0.1859327043844033	0.2428866052140086	0.8376091329546144	0.9906883422660091	-0.9500517647685857	1.2115457047152967	0.2923860684284404	1.5925960757715703	0.9530628763472032	0.3750681407234925	0.7619988086775554	0.3757804849315277	-0.3843933977632029
YAL021C	-0.5865701315337488	-2.4816647230046374	-0.2722905777083771	-2.2027776066273757	-4.129807355566917	-1.7891056505616802	-3.5594816422329494	-1.6937600135697217	-3.0562126334961333	-1.5440389427270516	0.6340258723701458	0.11076734076578909	-3.192438906209634	-3.1096026038139226	-3.6426638437732586	-1.3023558666330803
YAL022C	-0.17708793658923783	0.4304845798653413	0.06807148416119463	-0.203316150667433	0.46867314445586467	0.2327386376066282	0.08488865764751752	0.35467275920587465	0.007425117291551164	-0.21173490742050755	0.5735978555250639	-0.5461536353307074	-0.5775853912401743	-0.07446024163981277	0.33668767610058087	-1.6189821768152992
YAL023C	1.060913338647485	-0.14324347386778796	1.109210701155811	0.1387592225068241	-0.9113422139851637	-0.18109929420935109	1.497947957072672	-0.09361078509875999	0.8023329274531578	-0.3767856158673954	-0.15200107247566227	1.9190515327470046	0.7614843004810059	-0.061313799065237685	-2.493042905562704	0.5789612148169141
YAL024C	-0.9542530369287843	-2.8750621585505094	-0.27201627006901463	-1.4463759726529726	-0.16840441821574786	-1.2386945838230767	-4.569251181756019	0.04439948179644636	-4.836334953391837	-0.8734885823479439	-6.237866115221325	-1.5463637728975403	0.01927742178828783	-4.052031987209237	1.01535954613862	-2.1610442745002696
YAL026C	-1.0392945449689734	-1.4670789359972791	0.8205396280271205	-0.5705238113519254	-1.5593290038367122	-1.4038615395273502	-2.5347005647551644	-3.036158475885284	-2.6279375798118507	-3.8761108843071734	-3.376908001513196	-0.46513813415460464	0.16508808366172634	0.6677412958787151	-2.4983642377852915	-3.052841298497086
YAL027W	-1.0715282278715497	-0.27739212179012374	-0.8735054892297832	-0.9513288217480349	-1.0652343770227037	-1.4224479816687234	-0.88891241286151	0.219637558678817	-0.13760457588313602	-0.9522940868442519	0.20473817542611628	-0.9584224047987631	-0.5987808834651392	0.3068987042483169	-0.6925221322140603	-2.109720564982316
YAL028W	-0.19674114480950886	0.6472073678689347	-0.21564947902549889	-0.11476355863606119	-0.4287257734711016	-0.29145694961418667	-0.038162762535979194	0.46293587178717577	0.06779048349932668	-0.5325597457126829	0.7132490175505342	-0.9849159767145961	-0.8943127278223078	-0.17804961256722093	0.22437934547988542	-1.176062723382806
YAL029C	0.7257906110805192	0.5012638349488425	-0.18810556318800506	0.5027653643012043	0.04589014937303372	-1.7886994324945749	0.708230830747928	-0.05019245069589026	0.8942741957008835	-0.09655784017672926	1.3535023899363006	0.5798094109469702	0.5056771765212963	0.9128276458395176	-0.3263602671465701	-1.3172192978737167
YAL030W	-0.18232475641242357	0.6487190226072643	-0.6813507019593095	-0.13650493137190006	-0.5645052357123619	-1.3137702345284987	-0.10530165240175712	0.973617726394222	-0.10968428949992752	-0.7598325323759756	0.4912575302250015	-0.795121235195299	-0.7262152352514466	0.3007269812871797	-0.024700013949201072	-1.4591511710288407
YAL031C	-0.07638658075487212	0.898809140935617	-0.6675038809139864	0.13035751181311947	-0.327684147898497	-1.3850549534012229	-0.06943387416787145	0.35448018265977943	-0.06957315106729975	-0.16310844615506737	0.39380398128006977	-0.23251017750474393	0.07059124186871905	0.1971306034081807	-0.06011397730615813	-1.3436298999727898
YAL034C	-0.673752215726792	-0.3479525847404456	-0.1758508693994823	-0.6180412354931387	-3.1433024214483587	-2.232262043775791	0.36317478862189606	-0.04927957645346648	-0.4013157993036388	-3.387660995501116	0.2839799789073007	0.08313061832382358	-0.6136466125498501	1.617083737713469	-2.492574928806769	-1.5581486680428123
YAL035W	3.227519770819886	-0.14324347386778796	1.6928139192816425	2.1356265011863544	0.2524661724240524	-0.5920386635594027	1.4367425364033282	-0.09361078509875999	3.458662488662834	1.2030768589147087	-0.15200107247566227	2.3515371309642576	0.5373442901131246	-0.061313799065237685	0.4053848366307463	-0.1495380855079154
YAL036C	0.462678373721972	0.8209711620309784	0.5140179852669109	0.24060959095207501	0.14360323877218514	-0.28899081283259725	0.35380392167394986	0.3041532194996146	0.43563084547500286	0.6415015568502078	0.3753173368512594	0.014071624872900505	-0.1881422375877962	0.39188461870226976	0.5648674575444289	-1.266599198444861
YAL037W	-0.035146004406164756	0.6492805380819273	0.2794518081054922	0.30727512110585087	-1.389539822214739	-1.3540028581231538	0.2532761015962865	0.7854090269265634	0.19986599867995702	-0.7795989787576703	0.9732387563907552	-0.5940389407031519	-0.35313562372502044	0.5616448376721347	-0.04344243226770991	-1.327062758767986
YAL039C	0.13674017665786456	-1.4581497689396963	1.5693514796500427	0.2517111035539658	-0.9047026866331475	-0.10372261471090499	-0.5992965818015437	-0.7695198068878638	1.50462335937506	-0.9025641424600477	-0.4431937096806193	1.2157567503070614	-0.030409193024826257	0.34665614757426244	-1.385588601816442	-0.8506089829758575
