ORF	hap a | growth (relative abundance in pooled culture) | ethidium bromide [25 ug/ml] | Dunn CD~Jensen RE, 2006
YJR120W	0.238
YHR025W	0.253
YPR197C	0.258
YIL098C	0.295
YDR074W	0.299
YHR167W	0.299
YHL020C	0.312
YCL032W	0.316
YCR053W	0.329
YOR360C	0.338
YDR004W	0.342
YCL036W	0.356
YOR196C	0.360
YOL081W	0.362
YBL084C	0.365
YCL050C	0.365
YPL098C	0.373
YLR414C	0.376
YIL154C	0.397
YPR180W	0.400
YPL135W	0.402
YDR386W	0.403
YBR099C	0.407
YBR100W	0.410
YJL164C	0.422
YCL044C	0.426
YCR009C	0.426
YCL033C	0.429
YBR098W	0.435
YGR132C	0.435
YBR058C	0.439
YCR019W	0.446
YCL056C	0.450
YHR013C	0.455
YIL007C	0.461
YLR060W	0.461
YIL011W	0.463
YLL002W	0.472
YJR139C	0.474
YDR075W	0.478
YDR181C	0.481
YDR369C	0.481
YHR154W	0.483
YGL163C	0.488
YIR020W-B	0.488
YLR224W	0.488
YIL073C	0.490
YIL006W	0.493
YDL059C	0.503
YHL044W	0.503
YIL042C	0.515
YLR368W	0.518
YCL016C	0.524
YKL197C	0.524
YOR371C	0.526
YNR068C	0.529
YML113W	0.538
YJL047C	0.546
YJL168C	0.549
YHR194W	0.556
YNL201C	0.556
YIL069C	0.559
YIR009W	0.562
YOR210W	0.562
YIL029C	0.565
YIL050W	0.565
YCR037C	0.568
YIL041W	0.571
YIL065C	0.571
YIL028W	0.575
YLR362W	0.575
YMR115W	0.575
YOR223W	0.575
YOR297C	0.575
YPR164W	0.575
YIL092W	0.578
YDR076W	0.585
YJR117W	0.585
YIL051C	0.588
YPR198W	0.592
YOR228C	0.595
YER178W	0.602
YKR047W	0.602
YFR054C	0.606
YHL008C	0.610
YHR178W	0.610
YNL314W	0.617
YPL153C	0.617
YKL025C	0.621
YGR210C	0.625
YKR065C	0.625
YLL030C	0.625
YPL045W	0.629
YBR024W	0.633
YBR269C	0.633
YGR231C	0.633
YNL136W	0.637
YNR072W	0.637
YOR043W	0.637
YCR035C	0.641
YNL121C	0.641
YDR103W	0.649
YDR149C	0.649
YER116C	0.649
YHR139C-A	0.654
YNL197C	0.654
YDL133C-A	0.662
YKR016W	0.667
YNL309W	0.667
YPL062W	0.671
YHR177W	0.676
YIL077C	0.676
YNL255C	0.680
YBL014C	0.690
YDL099W	0.690
YLR373C	0.690
YNL071W	0.690
YOR222W	0.690
YNL097C	0.694
YNR042W	0.694
YGR058W	0.704
YLR182W	0.704
YNR070W	0.704
YHR014W	0.709
YOR286W	0.709
YPL008W	0.709
YHR112C	0.714
YOR209C	0.714
YJR105W	0.719
YIL009W	0.725
YIL066C	0.725
YMR202W	0.725
YDR003W	0.730
YIL044C	0.730
YJR014W	0.730
YJR078W	0.730
YOL105C	0.735
YPL061W	0.735
YIL003W	0.746
YIR013C	0.746
YHL023C	0.752
YHL028W	0.752
YIL064W	0.752
YCL029C	0.758
YHL032C	0.758
YMR195W	0.758
YMR187C	0.763
YER155C	0.769
YHL007C	0.769
YDR431W	0.775
YGR184C	0.775
YML090W	0.775
YGL132W	0.781
YNR035C	0.781
YHR005C	0.787
YMR127C	0.787
YHL021C	0.794
YHR023W	0.794
YOL050C	0.794
YCR025C	0.800
YDR430C	0.800
YHR113W	0.806
YGR056W	0.813
YIL097W	0.813
YOL110W	0.813
YHL043W	0.820
YBR068C	0.826
YDL159W	0.826
YIL084C	0.826
YLR198C	0.826
YLR348C	0.826
YPL139C	0.826
YIR002C	0.833
YOR030W	0.833
YGL175C	0.840
YGR178C	0.840
YHR039C	0.840
YDL160C	0.847
YIL177C	0.847
YGL108C	0.855
YPL270W	0.855
YDL142C	0.862
YGR121C	0.862
YIR016W	0.862
YLR079W	0.862
YMR164C	0.862
YBL055C	0.870
YNL292W	0.870
YPL113C	0.870
YPR151C	0.870
YBR119W	0.877
YHL036W	0.877
YLR023C	0.877
YCR065W	0.885
YJR070C	0.885
YOL111C	0.885
YOR091W	0.885
YHL017W	0.893
YHR117W	0.893
YJL182C	0.893
YJL197W	0.893
YOL076W	0.893
YDR481C	0.901
YJR129C	0.901
YIL012W	0.909
YKR036C	0.909
YKR048C	0.909
YPL170W	0.909
YDR381W	0.917
YER088C	0.917
YHR121W	0.917
YJL092W	0.917
YJL218W	0.917
YHL042W	0.926
YHR030C	0.926
YKL033W-A	0.926
YIL047C	0.935
YKR030W	0.935
YPL181W	0.935
YBR117C	0.943
YDL052C	0.943
YGR233C	0.943
YHL039W	0.943
YNL265C	0.952
YOR045W	0.952
YGR017W	0.962
YJL162C	0.962
YLR193C	0.962
YNL190W	0.962
YOR213C	0.962
YPL164C	0.962
YBL099W	0.971
YBR286W	0.971
YEL036C	0.971
YJL115W	0.971
YLR243W	0.971
YOR269W	0.971
YPL137C	0.971
YDL224C	0.980
YER080W	0.980
YKR011C	0.980
YMR282C	0.980
YOL159C	0.980
YCR085W	0.990
YIR037W	0.990
YJL144W	0.990
YJR083C	0.990
YLR124W	0.990
YLR194C	0.990
YNL205C	0.990
YHL037C	1.000
YDL042C	1.003
YGR018C	1.003
YHL035C	1.003
YJL217W	1.005
YBL076C	1.006
YOR235W	1.006
YHL006C	1.008
YBR080C	1.009
YDL100C	1.009
YPR140W	1.010
YER182W	1.014
YNL250W	1.015
YIL159W	1.017
YNL198C	1.019
YJR010C-A	1.021
YPL042C	1.022
YIL093C	1.024
YNL135C	1.025
YPL182C	1.025
YPL250C	1.025
YPL127C	1.027
YDL021W	1.032
YGR247W	1.032
YNR013C	1.038
YLR442C	1.040
YBL094C	1.041
YOR344C	1.042
YBR284W	1.047
YDL172C	1.048
YFR025C	1.048
YGL115W	1.048
YCR050C	1.049
YKL091C	1.050
YPL265W	1.050
YHL034C	1.052
YLR438W	1.054
YPR120C	1.056
YCR066W	1.057
YLR399C	1.059
YGR223C	1.060
YDR361C	1.065
YBL107C	1.066
YDL236W	1.066
YGL033W	1.067
YER066W	1.068
YHR124W	1.070
YDR219C	1.074
YGL139W	1.076
YHR029C	1.076
YPR139C	1.076
YGR026W	1.078
YHR046C	1.078
YLR393W	1.083
YOR273C	1.083
YBR283C	1.085
YDL206W	1.086
YJL193W	1.089
YPL196W	1.092
YNL098C	1.093
YEL037C	1.095
YKL220C	1.100
YDR360W	1.104
YGL063W	1.104
YLR220W	1.106
YHR198C	1.110
YOR049C	1.110
YLR446W	1.112
YHL045W	1.114
YHL012W	1.120
YGR045C	1.122
YGR202C	1.124
YBR178W	1.127
YER091C	1.127
YGR122W	1.131
YBR295W	1.136
YHL047C	1.136
YDR247W	1.139
YLR392C	1.140
YMR082C	1.142
YOR317W	1.142
YDL041W	1.143
YHL029C	1.145
YKR070W	1.148
YOL126C	1.148
YBR217W	1.149
YHL046C	1.149
YIR038C	1.153
YLR234W	1.157
YCR045C	1.159
YFL030W	1.159
YKR010C	1.160
YLR423C	1.160
YGR227W	1.166
YKL168C	1.166
YGR107W	1.167
YBR111C	1.168
YPL133C	1.168
YDR466W	1.170
YCR026C	1.171
YJR154W	1.172
YDL006W	1.174
YOL063C	1.176
YBR120C	1.178
YPL184C	1.182
YPR052C	1.182
YBL093C	1.183
YOR146W	1.183
YCR077C	1.186
YOR023C	1.188
YDR446W	1.189
YGR237C	1.189
YOR298C-A	1.190
YKL023W	1.192
YLR313C	1.196
YPL111W	1.199
YIL053W	1.200
YOR329C	1.200
YLR107W	1.203
YDR120C	1.206
YHR115C	1.206
YMR284W	1.215
YIR004W	1.218
YMR151W	1.218
YPL188W	1.220
YIL005W	1.222
YDL239C	1.224
YHL009C	1.224
YLR404W	1.224
YPR150W	1.224
YLR037C	1.225
YLR083C	1.225
YGR263C	1.230
YDL009C	1.232
YOR123C	1.233
YPL073C	1.233
YCR087W	1.236
YBL062W	1.238
YIL013C	1.238
YHR086W	1.241
YGL049C	1.247
YOR164C	1.253
YLR133W	1.255
YER123W	1.258
YGR031W	1.258
YLR460C	1.263
YHR006W	1.267
YNL065W	1.267
YFL020C	1.271
YHR047C	1.272
YHR075C	1.274
YOR302W	1.274
YKR040C	1.279
YDR480W	1.285
YGL079W	1.285
YPL059W	1.285
YPR147C	1.285
YCL018W	1.292
YLR257W	1.292
YLR300W	1.292
YBR212W	1.295
YDL065C	1.297
YPL235W	1.297
YHR048W	1.307
YJR127C	1.309
YLR113W	1.312
YNL296W	1.314
YGL045W	1.318
YGL197W	1.319
YPL261C	1.319
YDR363W	1.321
YGL221C	1.323
YKL121W	1.326
YPL207W	1.330
YGR250C	1.332
YHL019C	1.332
YPL179W	1.332
YJL130C	1.335
YDR329C	1.337
YDR411C	1.337
YHL026C	1.339
YNL298W	1.339
YLR055C	1.342
YPL187W	1.342
YBR220C	1.346
YCR030C	1.348
YJL200C	1.348
YGL208W	1.350
YLR146C	1.350
YFL014W	1.351
YKL202W	1.351
YKR050W	1.351
YGR146C	1.353
YOL004W	1.353
YOR299W	1.353
YHR190W	1.355
YOL052C	1.355
YDR505C	1.359
YJR130C	1.361
YNL320W	1.361
YDR334W	1.362
YKR093W	1.362
YGR192C	1.368
YDL229W	1.372
YIL009C-A	1.376
YBL005W	1.377
YIR025W	1.377
YBR290W	1.379
YGR052W	1.381
YIL107C	1.383
YNL169C	1.383
YDR395W	1.385
YKL215C	1.391
YJL178C	1.393
YHL022C	1.395
YBR021W	1.397
YPR135W	1.397
YGL210W	1.399
YJR135C	1.399
YOR047C	1.401
YPR096C	1.401
YDR225W	1.404
YIL138C	1.404
YJL067W	1.406
YHL016C	1.408
YLR255C	1.408
YMR078C	1.410
YBL065W	1.412
YDR336W	1.412
YER084W	1.412
YJR073C	1.414
YJL142C	1.416
YOR304C-A	1.416
YKL173W	1.418
YNL283C	1.420
YOR279C	1.422
YKR052C	1.425
YBR249C	1.427
YDL186W	1.427
YHL027W	1.427
YJL196C	1.429
YMR189W	1.429
YJL181W	1.431
YNL024C	1.431
YLR058C	1.433
YMR173W	1.433
YHR195W	1.437
YNL231C	1.439
YGL003C	1.443
YGR290W	1.445
YCR073W-A	1.451
YMR162C	1.453
YGL100W	1.456
YBR231C	1.466
YFL046W	1.466
YGL242C	1.466
YGL017W	1.468
YKL161C	1.468
YHR127W	1.471
YDR293C	1.473
YPL088W	1.473
YPL221W	1.473
YHR015W	1.475
YER129W	1.477
YBR298C	1.481
YMR262W	1.484
YIL032C	1.486
YNL128W	1.488
YJR031C	1.490
YNL300W	1.490
YGR071C	1.493
YIL119C	1.499
YHR049C-A	1.502
YHR105W	1.502
YJR030C	1.502
YPR152C	1.506
YNL217W	1.508
YPR029C	1.511
YBR032W	1.515
YDL210W	1.515
YIL124W	1.517
YBL011W	1.524
YJR109C	1.524
YNL173C	1.524
YGL067W	1.527
YGR109C	1.527
YLL059C	1.527
YNR022C	1.527
YPL081W	1.527
YER078C	1.529
YIL166C	1.531
YOR358W	1.534
YBR130C	1.538
YMR191W	1.538
YKL053C-A	1.541
YDR307W	1.543
YKR021W	1.543
YBR148W	1.548
YNR059W	1.550
YIR028W	1.558
YOR102W	1.558
YFL032W	1.560
YBR223C	1.562
YDL223C	1.562
YFL047W	1.562
YDR474C	1.565
YHR043C	1.565
YLR031W	1.575
YLL001W	1.580
YNL099C	1.585
YGR193C	1.590
YKL201C	1.590
YLR276C	1.590
YJL110C	1.592
YLR094C	1.595
YBL075C	1.600
YER111C	1.600
YHR028C	1.600
YOR238W	1.600
YJR003C	1.605
YLR190W	1.605
YNL090W	1.608
YIL076W	1.610
YGR249W	1.613
YKR033C	1.613
YPL244C	1.618
YOR028C	1.621
YOR212W	1.621
YGR007W	1.623
YGL236C	1.626
YHR125W	1.626
YIL121W	1.631
YIL160C	1.631
YPL136W	1.631
YDL219W	1.634
YJR084W	1.634
YOL014W	1.634
YBL096C	1.642
YLR044C	1.642
YCR093W	1.645
YDL175C	1.647
YDL079C	1.653
YML042W	1.653
YOL150C	1.653
YJR041C	1.658
YIL015C-A	1.664
YJL133W	1.664
YBR083W	1.667
YBR218C	1.667
YDR028C	1.667
YGL077C	1.667
YPR022C	1.667
YJR079W	1.672
YKL049C	1.672
YFL051C	1.675
YDR071C	1.678
YEL062W	1.681
YER091C-A	1.681
YLR315W	1.684
YFL056C	1.686
YKR053C	1.686
YGR035C	1.689
YOR014W	1.689
YBL027W	1.692
YMR311C	1.692
YBR077C	1.695
YDL034W	1.695
YHR160C	1.695
YPR046W	1.695
YOR369C	1.698
YPL003W	1.698
YDR031W	1.704
YIL057C	1.704
YMR261C	1.704
YCR083W	1.709
YHR185C	1.712
YOL028C	1.712
YDR128W	1.715
YMR313C	1.715
YDL173W	1.718
YGR010W	1.721
YJR087W	1.721
YLR036C	1.721
YKL044W	1.724
YJR092W	1.727
YDR351W	1.730
YDR477W	1.730
YDR363W-A	1.733
YKR043C	1.733
YLR217W	1.733
YNL063W	1.733
YBR078W	1.736
YFR035C	1.736
YJR037W	1.739
YBL070C	1.745
YER173W	1.745
YFR018C	1.745
YJL198W	1.745
YKL034W	1.745
YMR190C	1.748
YKL142W	1.751
YMR294W	1.751
YPR028W	1.751
YBR235W	1.757
YGL110C	1.761
YIL157C	1.764
YNL100W	1.764
YGL014W	1.767
YJL207C	1.767
YNL123W	1.767
YOR378W	1.767
YDL053C	1.770
YDL078C	1.770
YGR019W	1.770
YIL074C	1.770
YOR029W	1.773
YPL272C	1.773
YOR186W	1.776
YBR059C	1.779
YJL083W	1.779
YHR180W	1.783
YNL339C	1.783
YIL111W	1.786
YDR213W	1.789
YJL080C	1.789
YNL016W	1.789
YBL009W	1.792
YNL277W	1.792
YIL025C	1.795
YDR217C	1.799
YDR443C	1.799
YBR241C	1.802
YER019C-A	1.802
YNL194C	1.802
YDR456W	1.805
YBR020W	1.812
YJR160C	1.812
YOR016C	1.812
YNL176C	1.815
YGR260W	1.818
YIR007W	1.818
YGL223C	1.821
YBR140C	1.828
YOR292C	1.828
YJL211C	1.832
YMR135W-A	1.835
YNL203C	1.835
YDR274C	1.848
YIR021W	1.848
YJL120W	1.848
YBL007C	1.852
YBL060W	1.852
YDR513W	1.852
YJL146W	1.852
YKL187C	1.852
YMR263W	1.852
YCL063W	1.859
YDR312W	1.862
YLR093C	1.862
YPR069C	1.862
YDR288W	1.866
YDR432W	1.866
YLL048C	1.866
YHR104W	1.869
YOR126C	1.869
YBR207W	1.876
YDL023C	1.876
YHR199C	1.876
YIL152W	1.876
YJL048C	1.876
YDR150W	1.880
YFL034W	1.880
YGR161C	1.880
YMR048W	1.880
YNL325C	1.880
YLR415C	1.883
YNL245C	1.883
YDL127W	1.887
YDR461W	1.887
YHR092C	1.887
YLL047W	1.887
YOR105W	1.887
YPR199C	1.887
YGL144C	1.890
YBR244W	1.894
YDL011C	1.894
YER060W	1.894
YMR152W	1.894
YGR127W	1.898
YHR050W	1.901
YLR096W	1.901
YKR101W	1.905
YBR246W	1.908
YBR260C	1.908
YDR289C	1.908
YMR163C	1.908
YNL324W	1.908
YFL055W	1.916
YNR014W	1.916
YPL035C	1.916
YGL148W	1.919
YIL123W	1.919
YLR214W	1.919
YNL304W	1.919
YKR034W	1.923
YLR195C	1.923
YLR237W	1.923
YOR375C	1.923
YLR412W	1.927
YOR042W	1.927
YBL031W	1.931
YDR124W	1.931
YOL013C	1.931
YDR133C	1.934
YDR333C	1.934
YNL035C	1.934
YCR036W	1.938
YLR346C	1.938
YLR449W	1.938
YPR200C	1.938
YDL171C	1.946
YLR311C	1.946
YBL091C-A	1.949
YHR207C	1.949
YNR039C	1.949
YPL141C	1.949
YBR089C-A	1.953
YFR034C	1.953
YFL042C	1.957
YOR277C	1.957
YDR494W	1.965
YJR131W	1.965
YLR175W	1.965
YGR213C	1.969
YJL055W	1.969
YNL046W	1.969
YPR061C	1.969
YHL041W	1.972
YJL208C	1.972
YLR189C	1.972
YHR193C	1.976
YMR114C	1.976
YCR082W	1.980
YIL079C	1.980
YLR003C	1.980
YNL276C	1.980
YDR182W	1.984
YKR069W	1.984
YGR004W	1.992
YPR075C	1.992
YJL078C	1.996
YLR309C	1.996
YOL099C	1.996
YDL125C	2.000
YER027C	2.000
YFL012W	2.000
YIL056W	2.000
YNL045W	2.000
YNL230C	2.000
YNL278W	2.000
YDL109C	2.004
YLR034C	2.004
YOR113W	2.004
YFR055W	2.008
YHR001W-A	2.008
YLR170C	2.008
YOL090W	2.008
YBR219C	2.020
YHR037W	2.020
YIL043C	2.020
YPR014C	2.020
YBR258C	2.024
YGR130C	2.024
YMR210W	2.028
YHL040C	2.033
YPL046C	2.033
YBL085W	2.037
YBR013C	2.037
YML100W-A	2.037
YMR132C	2.037
YMR090W	2.041
YMR110C	2.041
YDR255C	2.045
YJR036C	2.045
YMR183C	2.045
YNL253W	2.045
YDL154W	2.049
YKR026C	2.049
YOR221C	2.049
YER067W	2.053
YOR153W	2.053
YPL203W	2.053
YBR161W	2.058
YPR128C	2.058
YNL269W	2.062
YCR090C	2.066
YHL030W	2.066
YOR009W	2.066
YOR380W	2.066
YDR535C	2.070
YJL212C	2.075
YDR250C	2.079
YIL001W	2.079
YKL007W	2.079
YMR194C-A	2.083
YNL095C	2.083
YOL035C	2.083
YER115C	2.096
YOR314W	2.096
YMR247C	2.101
YLR097C	2.105
YNR071C	2.105
YOR190W	2.105
YBR213W	2.110
YDR155C	2.110
YGR014W	2.110
YLR197W	2.110
YMR056C	2.110
YGL006W	2.114
YBR092C	2.119
YFL027C	2.119
YGR242W	2.123
YJL205C-A	2.123
YBR238C	2.128
YDR019C	2.128
YIR036C	2.128
YER183C	2.132
YKL040C	2.132
YIL120W	2.137
YGL117W	2.141
YLR043C	2.141
YMR289W	2.141
YER180C	2.146
YFL044C	2.151
YGR068C	2.151
YPL186C	2.151
YDR528W	2.155
YKL064W	2.155
YOL058W	2.165
YFL050C	2.169
YGL059W	2.169
YFL015C	2.179
YGL262W	2.179
YIL086C	2.179
YLR020C	2.179
YLR351C	2.179
YDL036C	2.183
YGL046W	2.183
YGR151C	2.183
YDR393W	2.188
YIL116W	2.198
YLR286C	2.198
YBR214W	2.212
YGR208W	2.212
YNL275W	2.212
YIR031C	2.217
YNL004W	2.217
YNL101W	2.217
YBL088C	2.222
YBR205W	2.222
YDL168W	2.222
YJR107W	2.222
YPL009C	2.222
YLR171W	2.227
