orf	hap a | dot-like protein localization in the cytoplasm (Fus1-Mid2 chimera) | galactose [2%], raffinose [2%] | Proszynski TJ~Walch, 2005	hap a | protein localization to vacuole (Fus1-Mid2 chimera) | galactose [2%], raffinose [2%] | Proszynski TJ~Walch, 2005
YAL020C	0.0	8.953094143191063
YAL042W	0.0	8.953094143191063
YAL046C	6.898822363273315	0.0
YAL066W	0.0	8.953094143191063
YBL038W	0.0	8.953094143191063
YBR071W	0.0	8.953094143191063
YBR097W	6.898822363273315	0.0
YBR131W	6.898822363273315	0.0
YBR183W	6.898822363273315	0.0
YBR230C	0.0	8.953094143191063
YCL001W-A	6.898822363273315	0.0
YCR009C	6.898822363273315	8.953094143191063
YDL104C	6.898822363273315	0.0
YDL107W	6.898822363273315	0.0
YDL113C	6.898822363273315	0.0
YDL118W	6.898822363273315	0.0
YDL128W	6.898822363273315	0.0
YDL134C	0.0	8.953094143191063
YDL146W	6.898822363273315	0.0
YDL226C	6.898822363273315	0.0
YDL243C	6.898822363273315	0.0
YDR049W	6.898822363273315	0.0
YDR050C	6.898822363273315	8.953094143191063
YDR065W	6.898822363273315	0.0
YDR078C	6.898822363273315	0.0
YDR079W	6.898822363273315	0.0
YDR080W	6.898822363273315	0.0
YDR089W	6.898822363273315	8.953094143191063
YDR115W	6.898822363273315	0.0
YDR116C	6.898822363273315	0.0
YDR173C	6.898822363273315	0.0
YDR175C	6.898822363273315	0.0
YDR194C	6.898822363273315	0.0
YDR230W	6.898822363273315	0.0
YDR233C	6.898822363273315	0.0
YDR241W	6.898822363273315	0.0
YDR259C	6.898822363273315	0.0
YDR264C	6.898822363273315	0.0
YDR270W	0.0	8.953094143191063
YDR296W	6.898822363273315	0.0
YDR297W	6.898822363273315	0.0
YDR336W	0.0	8.953094143191063
YDR377W	6.898822363273315	0.0
YDR405W	6.898822363273315	0.0
YDR448W	6.898822363273315	0.0
YER119C-A	0.0	8.953094143191063
YER151C	6.898822363273315	0.0
YFL023W	6.898822363273315	0.0
YFL027C	6.898822363273315	0.0
YFL041W	6.898822363273315	0.0
YFR019W	6.898822363273315	0.0
YGL012W	6.898822363273315	0.0
YGL013C	6.898822363273315	8.953094143191063
YGL015C	6.898822363273315	0.0
YGL024W	0.0	8.953094143191063
YGL025C	0.0	8.953094143191063
YGL045W	6.898822363273315	0.0
YGL090W	0.0	8.953094143191063
YGL094C	0.0	8.953094143191063
YGL124C	6.898822363273315	0.0
YGR078C	6.898822363273315	0.0
YGR136W	6.898822363273315	0.0
YHL007C	6.898822363273315	0.0
YHL017W	6.898822363273315	0.0
YHR045W	6.898822363273315	0.0
YHR064C	6.898822363273315	0.0
YHR137W	6.898822363273315	0.0
YHR156C	6.898822363273315	0.0
YHR163W	6.898822363273315	0.0
YIL124W	6.898822363273315	0.0
YIL128W	6.898822363273315	0.0
YJL045W	6.898822363273315	0.0
YJL059W	6.898822363273315	0.0
YJL063C	6.898822363273315	0.0
YJL068C	6.898822363273315	0.0
YJL073W	6.898822363273315	0.0
YJL084C	0.0	8.953094143191063
YJL107C	6.898822363273315	0.0
YJL139C	0.0	8.953094143191063
YJR105W	0.0	8.953094143191063
YKL109W	0.0	8.953094143191063
YKL117W	6.898822363273315	0.0
YKL169C	6.898822363273315	0.0
YKR054C	6.898822363273315	8.953094143191063
YKR064W	6.898822363273315	8.953094143191063
YLL038C	6.898822363273315	0.0
YLR028C	0.0	8.953094143191063
YLR069C	0.0	8.953094143191063
YLR081W	0.0	8.953094143191063
YLR254C	6.898822363273315	0.0
YLR294C	6.898822363273315	0.0
YLR295C	6.898822363273315	0.0
YLR296W	6.898822363273315	0.0
YLR299W	0.0	8.953094143191063
YLR312C	0.0	8.953094143191063
YLR312W-A	6.898822363273315	0.0
YLR330W	6.898822363273315	0.0
YLR337C	6.898822363273315	0.0
YLR338W	6.898822363273315	8.953094143191063
YLR344W	0.0	8.953094143191063
YLR371W	0.0	8.953094143191063
YLR372W	0.0	8.953094143191063
YLR399C	6.898822363273315	8.953094143191063
YML001W	6.898822363273315	0.0
YML008C	6.898822363273315	0.0
YMR170C	0.0	8.953094143191063
YMR173W-A	6.898822363273315	0.0
YMR185W	6.898822363273315	8.953094143191063
YMR187C	0.0	8.953094143191063
YMR205C	6.898822363273315	8.953094143191063
YNL064C	6.898822363273315	8.953094143191063
YNL084C	6.898822363273315	0.0
YNL153C	6.898822363273315	0.0
YNL203C	6.898822363273315	0.0
YNL294C	6.898822363273315	0.0
YNR010W	0.0	8.953094143191063
YNR018W	6.898822363273315	8.953094143191063
YNR022C	6.898822363273315	8.953094143191063
YOL090W	0.0	8.953094143191063
YOR008C	0.0	8.953094143191063
YOR027W	0.0	8.953094143191063
YOR035C	0.0	8.953094143191063
YOR290C	0.0	8.953094143191063
YOR306C	6.898822363273315	0.0
YOR316C	0.0	8.953094143191063
YOR318C	6.898822363273315	8.953094143191063
YOR359W	6.898822363273315	8.953094143191063
YPL086C	6.898822363273315	0.0
YPL145C	6.898822363273315	0.0
YPL188W	0.0	8.953094143191063
YPL199C	0.0	8.953094143191063
YPL236C	0.0	8.953094143191063
YPL247C	0.0	8.953094143191063
YPL253C	0.0	8.953094143191063
YPL270W	0.0	8.953094143191063
YPR114W	6.898822363273315	8.953094143191063
YPR123C	6.898822363273315	0.0
