orf	hap alpha | growth (culture turbidity) | DiKU+Trp (DiKU+Trp [unknown]) | Cai H~Becker JM, 2006	hap alpha | growth (culture turbidity) | DiKU-Trp (DiKU-Trp [unknown]) | Cai H~Becker JM, 2006	hap alpha | growth (culture turbidity) | HLKU [unknown] | Cai H~Becker JM, 2006
YAL002W	0.41200000000000003	0.6859999999999999	0.617
YAL004W	1.13	2.935	0.978
YAL005C	0.446	0.37799999999999995	0.81
YAL007C	1.565	2.668	1.112
YAL008W	1.038	0.802	1.092
YAL009W	0.9009999999999999	0.47100000000000003	1.053
YAL010C	0.8809999999999999	0.774	0.6679999999999999
YAL011W	0.537	0.259	0.9690000000000001
YAL012W	1.0	0.457	0.9440000000000001
YAL013W	1.0	0.368	0.877
YAL014C	0.889	0.605	1.062
YAL015C	0.8390000000000001	0.469	1.032
YAL016W	0.902	0.93	0.493
YAL017W	0.971	0.619	1.104
YAL018C	0.963	0.852	1.008
YAL019W	0.856	0.898	0.9209999999999999
YAL020C	0.784	1.319	0.8540000000000001
YAL021C	1.474	0.535	0.847
YAL022C	0.33	0.532	0.52
YAL023C	0.953	0.5329999999999999	0.9690000000000001
YAL024C	0.992	0.8759999999999999	1.104
YAL026C	0.6509999999999999	0.58	0.8029999999999999
YAL027W	1.084	0.98	0.9059999999999999
YAL028W	1.057	0.76	1.1059999999999999
YAL029C	1.047	1.005	1.156
YAL030W	1.024	0.747	1.125
YAL031C	1.358	1.65	1.055
YAL034C	1.278	0.987	1.104
YAL035W	0.9279999999999999	0.802	1.129
YAL036C	0.634	1.177	0.612
YAL037W	0.23399999999999999	0.364	0.7040000000000001
YAL039C	0.992	0.99	0.856
YAL040C	1.274	1.1340000000000001	0.9490000000000001
YAL042C-A	0.9179999999999999	0.684	1.136
YAL042W	0.966	0.516	1.147
YAL044C	0.122	0.39799999999999996	0.963
YAL045C	1.101	0.37799999999999995	0.746
YAL046C	1.371	0.7440000000000001	1.128
YAL047C	0.494	0.386	0.653
YAL048C	1.382	2.4859999999999998	1.031
YAL049C	1.341	0.725	1.09
YAL051W	1.202	1.2229999999999999	1.089
YAL053W	1.054	0.95	1.158
YAL054C	1.166	0.539	0.963
YAL055W	1.639	1.337	0.762
YAL056C-A	1.208	0.861	1.006
YAL056W	0.84	0.74	0.9420000000000001
YAL058W	1.199	1.67	1.1340000000000001
YAL059W	0.86	0.95	1.103
YAL060W	0.9390000000000001	0.878	1.079
YAL061W	1.268	0.924	1.069
