ORF	108	245	246
BY4742	1.302	1.305	1.017
EMPTY	6.362	10.224	6.948
YAL002W	0.412	0.686	0.617
YAL004W	1.130	2.935	0.978
YAL005C	0.446	0.378	0.810
YAL007C	1.565	2.668	1.112
YAL008W	1.038	0.802	1.092
YAL009W	0.901	0.471	1.053
YAL010C	0.881	0.774	0.668
YAL011W	0.537	0.259	0.969
YAL012W	1.000	0.457	0.944
YAL013W	1.000	0.368	0.877
YAL014C	0.889	0.605	1.062
YAL015C	0.839	0.469	1.032
YAL016W	0.902	0.930	0.493
YAL017W	0.971	0.619	1.104
YAL018C	0.963	0.852	1.008
YAL019W	0.856	0.898	0.921
YAL020C	0.784	1.319	0.854
YAL021C	1.474	0.535	0.847
YAL022C	0.330	0.532	0.520
YAL023C	0.953	0.533	0.969
YAL024C	0.992	0.876	1.104
YAL026C	0.651	0.580	0.803
YAL027W	1.084	0.980	0.906
YAL028W	1.057	0.760	1.106
YAL029C	1.047	1.005	1.156
YAL030W	1.024	0.747	1.125
YAL031C	1.358	1.650	1.055
YAL034C	1.278	0.987	1.104
YAL035W	0.928	0.802	1.129
YAL036C	0.634	1.177	0.612
YAL037W	0.234	0.364	0.704
YAL039C	0.992	0.990	0.856
YAL040C	1.274	1.134	0.949
YAL042W	0.966	0.516	1.147
YAL043C-A	0.918	0.684	1.136
YAL044C	0.122	0.398	0.963
YAL045C	1.101	0.378	0.746
YAL046C	1.371	0.744	1.128
YAL047C	0.494	0.386	0.653
YAL048C	1.382	2.486	1.031
YAL049C	1.341	0.725	1.090
YAL051W	1.202	1.223	1.089
YAL053W	1.054	0.950	1.158
YAL054C	1.166	0.539	0.963
YAL055W	1.639	1.337	0.762
YAL056W	0.840	0.740	0.942
YAL058C-A	1.208	0.861	1.006
YAL058W	1.199	1.670	1.134
YAL059W	0.860	0.950	1.103
YAL060W	0.939	0.878	1.079
YAL061W	1.268	0.924	1.069
YAL062W	1.191	1.352	1.027
YAL064C-A	0.724	0.549	0.759
YAL065C	1.118	1.326	1.049
YAR002C-A	1.031	0.554	1.040
YAR002W	0.608	0.393	0.946
YAR003W	0.791	0.350	0.844
YAR014C	1.029	0.365	1.023
YAR015W	0.113	0.213	0.015
YAR018C	1.017	1.014	1.005
YAR020C	0.867	0.745	0.999
YAR023C	0.707	0.776	1.100
YAR027W	1.068	1.395	1.050
YAR028W	1.018	1.548	1.092
YAR029W	1.079	1.276	1.152
YAR030C	1.007	0.578	1.024
YAR031W	1.265	1.550	1.221
YAR035W	0.860	0.841	1.043
YAR037W	1.009	1.364	1.121
YAR040C	1.028	0.911	1.098
YAR042W	0.856	1.033	1.126
YAR043C-A	1.064	1.033	1.066
YAR044W	0.923	0.835	1.082
YAR047C	0.893	0.684	1.111
YAR050W	1.086	1.262	1.049
YBL001C	1.127	0.625	1.049
YBL002W	1.199	0.847	0.934
YBL003C	1.308	0.858	0.905
YBL005W	1.147	0.646	1.031
YBL006C	0.886	0.413	0.723
YBL007C	1.728	6.292	1.080
YBL008W	1.480	2.341	0.974
YBL009W	0.812	0.826	1.021
YBL010C	0.830	0.424	0.917
YBL011W	0.674	-0.487	1.018
YBL012C	0.765	-0.403	1.016
YBL013W	0.832	-0.127	1.073
YBL015W	0.789	-0.201	0.962
YBL016W	0.965	-0.551	0.998
YBL017C	0.971	-0.307	1.054
YBL019W	1.011	0.095	1.002
YBL021C	1.161	0.720	0.775
YBL022C	0.983	3.390	0.771
YBL024W	1.171	1.165	0.914
YBL025W	1.962	7.584	1.110
YBL027W	0.737	-0.138	0.923
YBL028C	1.016	-0.011	1.057
YBL029W	1.022	0.011	1.047
YBL031W	0.579	-0.064	0.802
YBL032W	1.258	0.127	1.027
YBL036C	0.919	0.201	1.019
YBL037W	1.254	0.191	1.054
YBL038W	1.106	0.646	0.982
YBL039C	1.276	0.636	0.945
YBL042C	1.399	1.663	1.110
YBL043W	1.242	1.790	1.049
YBL044W	0.896	1.218	0.928
YBL045C	0.812	0.403	0.797
YBL046W	0.654	1.409	0.698
YBL047C	1.268	3.199	0.964
YBL048W	0.977	0.858	0.940
YBL049W	0.898	0.943	0.894
YBL051C	1.098	3.654	0.889
YBL052C	0.854	0.646	0.937
YBL053W	1.280	4.544	0.821
YBL054W	1.050	0.487	0.882
YBL055C	1.290	0.932	1.074
YBL056W	1.161	1.838	1.101
YBL057C	0.880	0.249	0.989
YBL058W	1.321	4.480	0.796
YBL059W	1.000	0.822	1.105
YBL060W	1.025	0.776	1.103
YBL061C	0.837	0.416	1.194
YBL062W	0.734	0.111	0.848
YBL063W	1.102	0.517	1.057
YBL064C	1.081	0.305	1.314
YBL065W	0.818	0.305	0.913
YBL066C	0.889	0.314	1.035
YBL067C	0.940	0.619	1.078
YBL068W	0.911	0.443	1.075
YBL069W	1.019	1.210	0.932
YBL070C	1.015	0.647	0.996
YBL071C	1.048	1.108	0.823
YBL072C	1.250	5.044	0.940
YBL075C	0.988	1.007	1.164
YBL078C	1.174	0.887	0.992
YBL079W	1.223	1.145	0.890
YBL080C	0.769	0.342	1.004
YBL081W	0.858	0.148	1.156
YBL082C	0.942	0.111	0.955
YBL083C	0.905	0.203	0.935
YBL085W	0.878	0.757	0.992
YBL086C	0.872	0.462	1.069
YBL087C	0.684	-0.379	0.984
YBL088C	0.734	0.637	1.065
YBL089W	0.773	-0.055	0.966
YBL090W	0.802	0.397	0.925
YBL091C	0.862	-0.009	1.051
YBL091C-A	0.826	0.809	1.267
YBL093C	0.572	1.349	0.442
YBL094C	1.064	0.416	1.024
YBL095W	1.458	1.180	0.883
YBL096C	0.985	1.825	0.792
YBL098W	1.776	3.515	0.793
YBL099W	0.056	0.860	0.775
YBL100C	0.929	1.113	0.820
