orf	hom | chronological lifespan | time [1 week] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [2 weeks] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [5 weeks] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [7 weeks] | Powers RW 3rd~Fields S, 2006
YAL002W	0.733743478	0.190262711	0.021093218	-0.258452788
YAL004W	1.17717296	0.364028855	0.31168986	-0.413720027
YAL005C	0.601159851	0.300251374	0.198384779	-0.531487512
YAL007C	0.984847109	0.827014222	0.620146511	-0.116105172
YAL008W	1.060685276	0.891565574	0.70973252	-0.108947429
YAL009W	0.34487	0.03625182	0.008970139	-0.234259117
YAL010C	0.002443614	0.018115172	0.007112534	-0.289889443
YAL011W	0.505826935	0.078214816	0.072036128	-0.245997434
YAL012W	0.009421553	0.021315506	0.056237035	-0.064832239
YAL013W	0.260045584	0.0456317	0.020571672	0.036254158
YAL014C	1.817594186	1.40061616	1.578455045	1.474983534
YAL015C	1.974686157	0.909021727	1.077507663	0.76857963
YAL016W	0.005705616	0.004799547	0.003181049	-0.034965108
YAL017W	2.351681073	2.261604452	0.895460737	-0.093238781
YAL018C	2.261411887	1.483550758	0.732235923	-0.488860451
YAL019W	0.253002063	0.31367045	0.205353293	-0.450543046
YAL020C	0.161131158	0.155964027	0.034162489	-0.334218096
YAL021C	0.003515024	0.034318467	0.008656653	2.08451105
YAL022C	1.072394808	0.872924387	1.186706882	1.194194821
YAL023C	0.811077828	0.384652004	0.079052887	-0.39470026
YAL024C	0.696259652	1.961630252	3.814067038	0.952080375
YAL026C	0.560712959	0.162429455	0.122359889	-0.275264522
YAL027W	1.543170653	1.133318806	1.497793405	-0.211253855
YAL028W	1.791658511	1.155360118	2.362713371	0.453085208
YAL029C	1.683448533	1.571197246	2.783617155	1.138306664
YAL030W	2.143981928	2.33585698	5.644689725	0.925740585
YAL031C	2.395802142	3.478200966	2.323165619	-0.101130718
YAL034C	1.998162659	0.945001978	1.152401861	-0.399944954
YAL035W	-8.08e-05	0.012242758	0.005828786	-0.627450792
YAL036C	1.257200769	0.852748042	1.478243244	0.703475435
YAL037W	1.556916444	0.889340489	1.629697553	2.260121597
YAL039C	0.005099191	0.021907024	0.004316345	-0.34262578
YAL040C	1.761886647	1.202427373	0.779617655	0.041506849
YAL042C-A	1.624852398	1.0788163	2.248946835	-0.228020682
YAL042W	2.108289936	1.703277743	0.754648525	0.831968359
YAL044C	1.340841375	0.045155521	0.045237905	-0.17721361
YAL045C	2.09960535	1.182537766	3.070808348	0.344834635
YAL046C	2.193604657	0.753915052	0.739914061	-0.07338623699999999
YAL047C	1.582775485	0.849030146	0.777364637	0.3852439
YAL048C	1.799966747	0.668605608	0.068120994	0.026485838
YAL049C	2.07045708	2.110102649	1.148888436	-0.080219112
YAL051W	0.38367396	0.307553413	0.382042906	-0.205540666
YAL053W	1.023720697	0.994400617	2.778338997	3.847837342
YAL054C	1.872201531	0.881433739	0.439729928	0.47612918
