ORF	hom | growth (culture turbidity) | High sucrose (sucrose [0.88 M]) | Ando A~Shima J, 2006
YAL002W	0.915
YAL004W	0.960
YAL005C	1.051
YAL007C	0.897
YAL008W	0.884
YAL009W	0.717
YAL010C	0.211
YAL011W	1.027
YAL012W	0.881
YAL013W	0.752
YAL014C	1.048
YAL015C	1.094
YAL016W	0.451
YAL017W	1.073
YAL018C	0.995
YAL019W	0.868
YAL020C	0.716
YAL021C	0.586
YAL022C	0.909
YAL023C	0.775
YAL024C	NaN
YAL026C	0.970
YAL027W	1.093
YAL028W	1.017
YAL029C	0.977
YAL030W	0.932
YAL031C	0.952
YAL034C	0.868
YAL035W	NaN
YAL036C	1.100
YAL037W	1.007
YAL039C	NaN
YAL040C	0.911
YAL042W	0.874
YAL043C-A	0.949
YAL044C	0.878
YAL045C	1.033
YAL046C	1.129
YAL047C	1.081
YAL048C	1.141
YAL049C	1.066
YAL051W	1.102
YAL053W	0.814
YAL054C	1.027
YAL055W	0.892
YAL056W	0.689
YAL058C-A	1.060
YAL058W	0.803
YAL059W	0.965
YAL060W	0.907
YAL061W	1.080
YAL062W	1.037
YAL064C-A	1.092
YAL065C	0.909
YAL066W	0.883
YAL067C	0.875
YAL068C	0.838
YAR002C-A	0.956
YAR002W	0.956
YAR003W	0.826
YAR014C	0.779
YAR015W	0.911
YAR018C	1.015
YAR020C	1.050
YAR023C	1.038
YAR027W	1.053
YAR028W	0.999
YAR029W	0.845
YAR030C	0.882
YAR031W	0.869
YAR035W	0.907
YAR037W	0.944
YAR040C	0.999
YAR042W	1.031
YAR043C	1.096
YAR044W	1.019
YAR047C	1.026
YAR050W	1.022
YBL001C	0.908
YBL002W	0.906
YBL003C	0.918
YBL005W	1.043
YBL006C	0.924
YBL007C	0.753
YBL008W	1.012
YBL009W	0.974
YBL010C	0.984
YBL011W	0.941
YBL012C	0.987
YBL013W	0.986
YBL015W	1.074
YBL017C	1.071
YBL019W	1.145
YBL021C	1.018
YBL022C	0.994
YBL024W	1.005
YBL027W	0.775
YBL028C	1.099
YBL029W	1.102
YBL031W	0.954
YBL032W	0.978
YBL033C	NaN
YBL036C	1.022
YBL037W	1.018
YBL038W	NaN
YBL039C	0.917
YBL042C	0.350
YBL043W	1.011
YBL044W	1.036
YBL045C	0.895
YBL046W	0.848
YBL047C	1.070
YBL048W	0.976
YBL049W	1.000
YBL051C	0.933
YBL052C	1.064
YBL053W	1.024
YBL054W	0.975
YBL055C	0.999
YBL056W	0.934
YBL057C	0.930
YBL058W	0.316
YBL059W	1.004
YBL060W	1.002
YBL061C	1.012
YBL062W	1.038
YBL063W	1.052
YBL064C	1.050
YBL065W	1.018
YBL066C	1.021
YBL067C	0.988
YBL068W	0.964
YBL069W	0.958
YBL070C	0.925
YBL071C	0.857
YBL072C	0.616
YBL075C	0.975
YBL078C	0.926
YBL079W	0.219
YBL080C	NaN
YBL081W	0.952
YBL082C	0.874
YBL083C	0.778
YBL085W	0.923
YBL086C	0.947
YBL087C	0.811
YBL088C	0.953
YBL089W	0.787
YBL090W	0.171
YBL091C	0.881
YBL091C-A	1.064
YBL093C	NaN
YBL094C	0.821
YBL095W	1.105
YBL096C	1.134
YBL098W	1.076
YBL099W	NaN
YBL100C	NaN
YBL101C	1.155
YBL102W	1.215
YBL104C	1.112
YBL106C	1.137
YBL107C	1.137
YBR001C	1.106
YBR003W	0.955
YBR005W	1.146
YBR006W	1.036
YBR007C	1.159
YBR008C	1.104
YBR009C	0.912
YBR010W	1.030
YBR012C	1.105
YBR013C	1.082
YBR014C	1.124
YBR015C	1.076
YBR016W	1.080
YBR018C	1.116
YBR019C	1.122
YBR020W	1.107
YBR022W	1.026
YBR023C	1.072
YBR024W	1.064
YBR025C	0.848
YBR026C	1.064
YBR027C	1.080
YBR028C	1.103
YBR030W	1.119
YBR031W	0.889
YBR032W	1.080
YBR033W	1.068
YBR034C	1.112
YBR035C	0.775
YBR036C	0.982
YBR037C	0.949
YBR038W	1.087
YBR040W	1.092
YBR041W	1.082
YBR042C	1.115
YBR043C	0.974
YBR044C	1.120
YBR045C	1.056
YBR046C	1.054
YBR047W	1.071
YBR048W	0.610
YBR050C	1.106
YBR051W	1.094
YBR052C	1.140
YBR053C	1.146
YBR054W	1.129
YBR056W	1.067
YBR057C	1.088
YBR058C	0.843
YBR059C	1.014
YBR062C	1.121
YBR063C	1.109
YBR064W	1.097
YBR065C	1.101
YBR066C	1.115
YBR067C	1.035
YBR068C	0.957
YBR069C	1.051
YBR071W	0.989
YBR072W	1.001
YBR073W	1.005
YBR074W	1.017
YBR075W	1.047
YBR076W	1.033
YBR077C	0.878
YBR078W	0.936
YBR083W	1.022
YBR084C-A	NaN
YBR084W	1.074
YBR090C	1.034
YBR090C-A	1.037
YBR092C	1.075
YBR093C	1.079
YBR094W	1.084
YBR098W	1.115
YBR099C	1.160
YBR100W	1.033
YBR101C	1.035
YBR103W	1.004
YBR104W	1.041
YBR105C	1.150
YBR106W	0.933
YBR107C	1.038
YBR108W	1.131
YBR112C	NaN
YBR113W	1.081
YBR114W	1.019
YBR116C	1.075
YBR119W	1.038
YBR120C	1.110
YBR125C	1.054
YBR126C	0.147
YBR127C	NaN
YBR128C	1.002
YBR129C	1.195
YBR130C	1.142
YBR131W	1.062
YBR133C	1.101
YBR134W	1.040
YBR137W	0.992
YBR138C	1.057
YBR139W	1.019
YBR141C	1.099
YBR144C	1.120
YBR145W	1.088
YBR146W	1.091
YBR147W	1.022
YBR148W	0.997
YBR149W	1.021
YBR150C	1.088
YBR151W	1.026
YBR156C	0.882
YBR157C	1.087
YBR158W	1.034
YBR159W	0.980
YBR161W	1.072
YBR162C	1.064
YBR162W-A	0.960
YBR163W	0.819
YBR164C	1.161
YBR168W	NaN
YBR169C	1.060
YBR170C	1.004
YBR171W	0.206
YBR172C	1.107
YBR173C	0.631
YBR174C	0.820
YBR175W	0.758
YBR176W	1.015
YBR177C	0.954
YBR178W	0.954
YBR179C	NaN
YBR180W	1.007
YBR181C	0.543
YBR182C	1.020
YBR183W	0.963
YBR184W	0.965
YBR185C	0.951
YBR186W	1.021
YBR187W	1.005
YBR188C	1.018
YBR189W	NaN
YBR191W	NaN
YBR194W	2.704
YBR195C	0.966
YBR197C	0.956
YBR199W	0.989
YBR200W	0.302
YBR201W	1.017
YBR203W	1.039
YBR204C	1.024
YBR205W	1.018
YBR206W	1.020
YBR207W	1.057
YBR208C	0.870
YBR210W	0.984
YBR212W	0.988
YBR213W	0.999
YBR214W	0.998
