orf	hom | growth (culture turbidity) | High sucrose (sucrose [0.88 M]) | Ando A~Shima J, 2006
YAL002W	0.91514152215558
YAL004W	0.9595361231927924
YAL005C	1.0511758046640574
YAL007C	0.8970622833165612
YAL008W	0.8841741757310305
YAL009W	0.7173906224212557
YAL010C	0.21084337349397592
YAL011W	1.027291265459554
YAL012W	0.8806421426124975
YAL013W	0.7515668278183582
YAL014C	1.0483077891289925
YAL015C	1.0935496690779036
YAL016W	0.45054945054945056
YAL017W	1.073112818905338
YAL018C	0.9951458828666683
YAL019W	0.868346550256368
YAL020C	0.7163731982681073
YAL021C	0.5862203865802917
YAL022C	0.9093112464544285
YAL023C	0.7753651427047258
YAL024C	
YAL026C	0.9696793938094566
YAL027W	1.0928685900304125
YAL028W	1.0168140070238703
YAL029C	0.9773034227881453
YAL030W	0.9321157107865103
YAL031C	0.9522716542536019
YAL034C	0.8681094812575361
YAL035W	
YAL036C	1.100312062431904
YAL037W	1.007019325537724
YAL039C	
YAL040C	0.9107011204269357
YAL042C-A	0.9485192619528877
YAL042W	0.8736400099374465
YAL044C	0.878317287098524
YAL045C	1.0325716874007265
YAL046C	1.1293024787050858
YAL047C	1.0811751153758635
YAL048C	1.1409637422088934
YAL049C	1.066305555378456
YAL051W	1.1018155949353088
YAL053W	0.8139737538261655
YAL054C	1.0274484059470252
YAL055W	0.8922822915191421
YAL056C-A	1.059741803281194
YAL056W	0.6890238275236941
YAL058W	0.802770590722375
YAL059W	0.9650438828290757
YAL060W	0.90725553031953
YAL061W	1.0797551238751666
YAL062W	1.0372313703857536
YAL064C-A	1.0915402279282251
YAL065C	0.9093885119273977
YAL066W	0.8826908629510353
YAL067C	0.875166720923491
YAL068C	0.838162304055077
YAR002C-A	0.9561934561328327
YAR002W	0.95583517625752
YAR003W	0.8260240790909583
YAR014C	0.7792754035230294
YAR015W	0.9110078872998433
YAR018C	1.0149296355427238
YAR020C	1.0497718474552133
YAR023C	1.0379812069197152
YAR027W	1.0526814068846162
YAR028W	0.9992573679135154
YAR029W	0.8447388091468573
YAR030C	0.8824313273293394
YAR031W	0.868949274255561
YAR035W	0.9067627674404171
YAR042W	1.0250607546857167
YAR047C	1.0260615115009752
YAR050W	1.0216452632774407
YBL001C	0.9082391198765318
YBL002W	0.9060892127337096
YBL003C	0.9184528497862012
YBL005W	1.0425605833028448
YBL006C	0.9242953402066236
YBL007C	0.7530092267366149
YBL008W	1.0122186360873089
YBL009W	0.9735864328841387
YBL010C	0.9838962411470618
YBL011W	0.9406301455150888
YBL012C	0.9872099117836284
YBL013W	0.9863552441996284
YBL015W	1.0741018959797148
YBL017C	1.070925896208606
YBL019W	1.1453268169218886
YBL021C	1.0183047940309111
YBL022C	0.9937821601308222
YBL024W	1.0045075467202276
YBL027W	0.7751343846219549
YBL028C	1.0985339873294202
YBL029W	1.1024463436449778
YBL031W	0.953814998007186
YBL032W	0.9783320912546769
YBL033C	
YBL036C	1.0218234281364722
YBL037W	1.0182520141056495
YBL038W	
YBL039C	0.9165027150881021
YBL042C	0.3496503496503497
YBL043W	1.010939346049114
YBL044W	1.036038880049539
YBL045C	0.8948690468112757
YBL046W	0.8480040946689549
YBL047C	1.0697084979717362
YBL048W	0.9758446506199553
YBL049W	0.9997514521472141
YBL051C	0.9327800850336915
YBL052C	1.0638868381831046
YBL053W	1.0239455432556326
YBL054W	0.97534211197477
YBL055C	0.998849184707096
YBL056W	0.9343377199660963
YBL057C	0.9300784190711964
YBL058W	0.3162134944612286
YBL059W	1.0041418515867186
YBL060W	1.00193976114582
YBL061C	1.0122260757215888
YBL062W	1.037707187119734
YBL063W	1.0522268972139086
YBL064C	1.0503636982603701
YBL065W	1.0180066643671444
YBL066C	1.0209734699465636
YBL067C	0.9875804348749897
YBL068W	0.9640251636457342
YBL069W	0.9584026853924099
YBL070C	0.9247433347178107
YBL071C	0.8573341920926336
YBL072C	0.6157135827302996
YBL075C	0.9750320713707971
YBL078C	0.926339577867615
YBL079W	0.21868131868131868
YBL080C	
YBL081W	0.9518868904530401
YBL082C	0.8736024757194438
YBL083C	0.7779140036761727
YBL085W	0.9232693350832372
YBL086C	0.946980031093748
YBL087C	0.8108780460816118
YBL088C	0.9530878008992634
YBL089W	0.7865324339834454
YBL090W	0.1713933415536375
YBL091C	0.8809112349420392
YBL091C-A	1.0638468488656299
YBL093C	
YBL094C	0.820810988881367
YBL095W	1.1048397299064023
YBL096C	1.1335188451267895
YBL098W	1.0760992945834762
YBL099W	
YBL100C	
YBL101C	1.1546047896159952
YBL102W	1.215008119208098
YBL104C	1.1116997072453132
YBL106C	1.1372758279781772
YBL107C	1.137201659770284
YBR001C	1.1056727580134365
YBR003W	0.9549414812004559
YBR005W	1.146357656527568
YBR006W	1.0357362877373504
YBR007C	1.1591704196097155
YBR008C	1.1040497082645941
YBR009C	0.9116135812236509
YBR010W	1.030331639872126
YBR012C	1.1045013314616718
YBR013C	1.0823936837172738
YBR014C	1.1236420138827843
YBR015C	1.0763008808142076
YBR016W	1.0801904352825697
YBR018C	1.1158801835955496
YBR019C	1.122353922400828
YBR020W	1.106652547773768
YBR022W	1.0258310422786445
YBR023C	1.0720589081844127
YBR024W	1.0635284268561351
YBR025C	0.8476537232317128
YBR026C	1.0639209698190764
YBR027C	1.0803755399548196
YBR028C	1.102573248647087
YBR030W	1.1188647527411852
YBR031W	0.8892927323585093
YBR032W	1.0799460071153861
YBR033W	1.0681997192170545
YBR034C	1.1120401920644822
YBR035C	0.7747264172004602
YBR036C	0.9818636351293386
YBR037C	0.949192664178058
YBR038W	1.0868376999004294
YBR040W	1.0924774346369952
YBR041W	1.082431431171987
YBR042C	1.11526896664894
YBR043C	0.974001601100397
YBR044C	1.1197522135345357
YBR045C	1.0563357538834794
YBR046C	1.0538365746375706
YBR047W	1.0706398337870529
YBR048W	0.6098671418790806
YBR050C	1.106497704557251
YBR051W	1.0943702770450794
YBR052C	1.1395590829899487
YBR053C	1.1458322548732207
YBR054W	1.1290036386452655
YBR056W	1.0669758202774347
YBR057C	1.0881113421492032
YBR058C	0.843434045204582
YBR059C	1.0140549772875396
YBR062C	1.1209876473423173
YBR063C	1.1089828119646734
YBR064W	1.0969113463148987
YBR065C	1.1014556551123151
YBR066C	1.1154546796966938
YBR067C	1.034902341374212
YBR068C	0.9566273267821137
YBR069C	1.051229884620044
YBR071W	0.9894532202013974
YBR072W	1.0006950744036176
YBR073W	1.005325755579811
YBR074W	1.0322225497702793
YBR076W	1.0327545882266052
YBR077C	0.8775582454138269
YBR078W	0.935720387150936
YBR083W	1.0217084197290638
YBR084C-A	
YBR084W	1.074431910378554
YBR089C-A	1.037259786373547
YBR090C	1.0343891717975187
YBR092C	1.0750871116894123
YBR093C	1.0786224750272662
YBR094W	1.0839788725734987
YBR098W	1.0739081766432221
YBR099C	1.1599076395761787
YBR101C	1.0350139818366815
YBR103W	1.0044218219408654
YBR104W	1.0405628469583201
YBR105C	1.1501708166547064
YBR106W	0.9326644370933854
YBR107C	1.0377354124270013
YBR108W	1.1305599358354639
YBR112C	
YBR113W	1.0809682696037224
YBR114W	1.019484877037234
YBR116C	1.075131185577474
YBR119W	1.038178375199657
YBR120C	1.1095802840421383
YBR125C	1.0538763635613417
YBR126C	0.14692982456140352
YBR127C	
YBR128C	1.0021012709902457
YBR129C	1.194875650920755
YBR130C	1.141874456925808
YBR131W	1.0619993776855667
YBR133C	1.1013262632671978
YBR134W	1.040023644585586
YBR137W	0.9921853564416665
YBR138C	1.0571771598753892
YBR139W	1.0185813300594662
YBR141C	1.0986974059529342
YBR144C	1.1202341162613392
YBR145W	1.0883880256393084
YBR146W	1.090570113607838
YBR147W	1.0220285001277176
YBR148W	0.9968512201521913
YBR149W	1.021015224812381
YBR150C	1.0875529637207544
YBR151W	1.0257550158743223
YBR156C	0.881676594836672
YBR157C	1.0871017713451647
YBR158W	1.0336176461804967
YBR159W	0.9799895127035066
YBR161W	1.0721503931764869
YBR162C	1.0638816568898226
YBR162W-A	0.9596260017554844
YBR163W	0.8185754093355667
YBR164C	1.1609137711992512
YBR168W	
YBR169C	1.0599779802748142
YBR170C	1.0044918674400642
YBR171W	0.20642768850432633
YBR172C	1.1066609840611032
YBR173C	0.6305559968607362
YBR174C	0.8201360998515044
YBR175W	0.7584177623855313
YBR176W	1.0153389825584775
YBR177C	0.9536447605830589
YBR178W	0.9539570497116805
YBR179C	
YBR180W	1.0069554567390182
YBR181C	0.5425525362851206
YBR182C	1.019888668097328
YBR183W	0.9627297400548702
YBR184W	0.9648486929551315
YBR185C	0.9513291383419906
YBR186W	1.0213767202934247
YBR187W	1.0049084809357918
YBR188C	1.0179375142018365
YBR189W	
YBR191W	
YBR194W	2.703659225585808
YBR195C	0.9657320479328138
YBR197C	0.9561087497166763
YBR199W	0.9890235850333716
YBR200W	0.30223390275952694
YBR201W	1.0168601134973043
YBR203W	1.0386260937272722
YBR204C	1.0244713004254289
YBR205W	1.0183476552192254
YBR206W	1.0202333664723169
YBR207W	1.0568837901666632
YBR208C	0.8704582922976488
YBR210W	0.9840316316288036
YBR212W	0.9882946048008086
