ORF	hom | growth (relative abundance in pooled culture) | antimycin A [1 ug/ml], hydrogen peroxide [1 mM] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | actinomycin D [400 uM] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | antimycin A [1 ug/ml] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | cytarabine [400 uM] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | arsenic [20-100 uM] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | benomyl [10-15 uM] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | bleomycin [0.01 U/ml] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | camptothecin [250-300 uM] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | camptothecin [5 ug/ml] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | caffeine [6 mM] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | Calcofluor White [3 ug/ml] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | doxorubicin [0.2 mM] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | GLYE [standard] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | hydrogen peroxide [3 mM] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | hydroxyurea [100 mM] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | hygromycin B [7 ug/ml] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | idarubicin [50-100 uM] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | ethanol [75%], lovastatin [100 ug/ml] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | methyl methanesulfonate [0.03%] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | mechlorethamine [20 uM] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | melphalan [800 uM] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | antimycin A [1 ug/ml], raffinose [6%] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | tirapazamine [250-300 uM] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | topotecan [20 uM] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | UVA [36-288 J/cm2] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | wortmannin [1.5 uM] | Brown JA~Brown JM, 2006	hom | growth (relative abundance in pooled culture) | YPD [standard] | Brown JA~Brown JM, 2006
YML095C	-0.480	-0.235	0.543	0.131	0.128	-0.267	0.069	-0.010	-0.014	0.096	0.292	-0.005	0.617	-0.339	-0.051	0.063	-0.123	0.035	-0.274	-1.395	-0.018	-0.137	-1.540	-0.045	-0.248	-0.233	0.014
YER162C	-0.091	0.021	-0.254	-0.135	-0.189	0.280	0.032	0.184	0.024	0.070	-0.041	-0.114	-0.209	-0.109	0.019	0.106	-0.116	0.054	-0.303	-1.689	0.107	0.052	-1.301	0.128	-0.230	-0.059	0.047
YLR032W	-0.134	0.009	0.060	0.001	0.052	0.282	-0.295	-0.157	0.080	-0.200	-0.213	0.140	0.228	-0.886	-0.719	-0.257	-0.158	0.117	-0.824	-1.437	-0.017	0.047	-1.182	-0.046	-0.332	-0.105	-0.544
YMR201C	-0.242	-0.226	-0.039	-0.446	-0.126	-0.028	0.025	0.016	-0.048	-0.072	0.028	0.059	0.056	-0.325	-0.129	-0.034	-0.176	-0.078	-0.655	-1.580	-0.016	0.034	-1.135	-0.208	0.178	0.005	0.085
YGR258C	-0.044	-0.047	-0.079	0.132	0.103	0.143	-0.027	0.025	0.033	0.004	-0.162	-0.144	-0.116	-0.189	-0.020	0.047	-0.129	0.131	-0.290	-0.813	-0.002	-0.060	-0.675	0.087	-0.098	0.080	0.016
YMR137C	-0.203	0.026	-0.124	0.122	0.282	-1.039	0.054	-0.010	0.018	0.071	-0.002	0.005	-0.100	-0.292	-0.077	0.093	-0.150	0.029	-0.079	-2.541	0.011	0.121	-0.371	0.068	-0.013	0.050	0.068
YPL022W	-0.080	-0.265	0.335	0.099	-0.011	0.104	0.039	0.068	0.014	-0.082	0.230	0.096	0.498	-0.318	0.037	-0.046	-0.060	-0.004	-0.279	-1.421	0.021	-0.033	-1.255	0.069	0.102	-0.220	-0.010
YGL087C	0.505	-0.185	0.234	0.087	-0.189	0.282	0.076	-0.020	0.005	-0.129	0.092	0.087	0.497	0.889	-0.446	-0.117	0.001	0.110	-0.709	-0.052	0.099	0.052	-0.745	0.011	-0.056	0.160	0.145
YJL092W	-0.556	0.096	0.027	-0.306	0.352	0.878	-0.372	-1.572	-1.475	0.561	-0.732	-0.631	0.275	-1.487	-0.557	-0.001	-1.798	0.095	-0.695	-0.933	0.268	-0.068	-0.999	0.128	-0.555	-0.013	-1.198
YPL167C	-0.265	-0.057	0.010	-0.236	0.157	0.088	-0.011	-0.051	0.006	-0.141	-0.034	0.069	-0.014	-0.557	-0.118	-0.059	-0.086	-0.100	-0.414	-1.236	0.018	-0.016	-0.404	-0.043	0.049	-0.069	0.059
YGL175C	-0.037	-0.969	0.095	0.078	-0.024	0.177	-0.348	-0.519	-1.206	0.057	-0.072	-0.626	0.080	-0.965	-0.671	-0.130	-1.747	-0.021	-0.823	-0.138	-0.053	0.048	-0.519	0.104	-0.256	0.016	0.013
YIL154C	-0.702	-1.260	-0.066	-0.025	0.258	-0.863	-1.429	-0.028	-0.080	0.110	-1.363	-1.090	-0.991	-1.507	-0.026	-1.374	-0.852	-0.680	-0.241	-0.049	-1.535	NaN	-0.837	-0.121	-0.177	0.000	0.097
YDR076W	-0.007	NaN	0.956	NaN	NaN	0.609	NaN	NaN	-1.030	0.399	0.469	NaN	1.009	-0.419	-0.634	-0.136	NaN	NaN	-0.652	NaN	NaN	-0.281	NaN	NaN	-0.354	-0.089	-1.010
