20040824	NAME	WEIGHT	DESC	AAPO	YPD	Wort	RafA	Lova	HygB	GlyE	Calc	Caff	AntA	ActD	Alk-5g	Alk-15g	AraC	Arn	Ars	Ben	Bleo	Cis1	Cis4	CPTa	CPTc	Dox	Gal-5g	Gal-15g	H2O2	HU	Ida	IR	Lys	Mech	Mel	Min-5g	Min-15g	MMC	MMS	NaCl-5g	NaCl-15g	Nys-5g	Nys-15g	Oxa	SC	Sorb-5g	Sorb-15g	Thr	Tpt	TPZ	Trp	UVA	UVB	UVC
YML095C	RAD10	1	removal of nonhomologous ends*	-0.48	0.014	-0.233	-0.137	0.035	0.063	0.617	0.292	0.096	0.543	-0.235	-0.049	-0.12	0.131	0.154	0.128	-0.267	0.069	-2.24	-2.079	-0.01	-0.014	-0.005	0.105	0.141	-0.339	-0.051	-0.123	-0.575	-0.2	-1.395	-0.018	-0.104	0.028	-1.252	-0.274	-0.054	-0.041	-0.133	-0.105	-3.004	-0.21	-0.085	-0.152	-0.211	-0.045	-1.54	-0.171	-0.248	-3.2	-3.082
YER162C	RAD4	1	"nucleotide-excision repair, DNA damage recognition"	-0.091	0.047	-0.059	0.052	0.054	0.106	-0.209	-0.041	0.07	-0.254	0.021	-0.079	-0.146	-0.135	-0.021	-0.189	0.28	0.032	-2.187	-2.004	0.184	0.024	-0.114	-0.15	0.016	-0.109	0.019	-0.116	-0.261	-0.264	-1.689	0.107	-0.093	-0.034	-1.281	-0.303	-0.071	-0.091	-0.199	-0.201	-2.735	-0.22	-0.093	-0.042	-0.201	0.128	-1.301	-0.239	-0.23	-3.296	-3.205
YLR032W	RAD5	1	DNA repair	-0.134	-0.544	-0.105	0.047	0.117	-0.257	0.228	-0.213	-0.2	0.06	0.009	0.203	0.32	0.001	-0.285	0.052	0.282	-0.295	-1.949	-1.988	-0.157	0.08	0.14	0.274	0.468	-0.886	-0.719	-0.158	-2.403	-0.25	-1.437	-0.017	0.274	0.763	-1.596	-0.824	0.339	0.526	-0.096	-0.214	-2.46	-0.039	0.327	0.388	0.233	-0.046	-1.182	-0.074	-0.332	-2.529	-2.556
YMR201C	RAD14	1	"nucleotide-excision repair, DNA damage recognition"	-0.242	0.085	0.005	0.034	-0.078	-0.034	0.056	0.028	-0.072	-0.039	-0.226	-0.162	-0.211	-0.446	0.025	-0.126	-0.028	0.025	-2.127	-1.978	0.016	-0.048	0.059	0.024	0.082	-0.325	-0.129	-0.176	-0.3	-0.285	-1.58	-0.016	-0.089	-0.043	-1.305	-0.655	0.009	0.049	-0.196	-0.237	-2.536	-0.234	-0.136	-0.224	-0.401	-0.208	-1.135	-0.22	0.178	-2.912	-2.762
YGR258C	RAD2	1	"nucleotide-excision repair, DNA incision, 3'-to lesion"	-0.044	0.016	0.08	-0.06	0.131	0.047	-0.116	-0.162	0.004	-0.079	-0.047	0.158	0.189	0.132	-0.128	0.103	0.143	-0.027	-1.979	-1.753	0.025	0.033	-0.144	-0.133	-0.08	-0.189	-0.02	-0.129	-0.009	-0.069	-0.813	-0.002	0.123	0.081	-1.15	-0.29	0.058	-0.045	-0.021	-0.083	-2.746	-0.115	-0.066	0.007	-0.089	0.087	-0.675	-0.1	-0.098	-3.555	-3.417
YMR137C	PSO2	1	DNA repair*	-0.203	0.068	0.05	0.121	0.029	0.093	-0.1	-0.002	0.071	-0.124	0.026	-0.048	-0.103	0.122	-0.044	0.282	-1.039	0.054	-2.071	-1.743	-0.01	0.018	0.005	0.05	0.045	-0.292	-0.077	-0.15	-0.508	-0.077	-2.541	0.011	-0.014	-0.074	-1.603	-0.079	-0.017	-0.072	0.025	0.055	-2.491	-0.103	-0.062	0.017	-0.111	0.068	-0.371	-0.063	-0.013	-0.141	-0.187
YPL022W	RAD1	1	removal of nonhomologous ends*	-0.08	-0.01	-0.22	-0.033	-0.004	-0.046	0.498	0.23	-0.082	0.335	-0.265	0.083	0.089	0.099	-0.084	-0.011	0.104	0.039	-1.851	-1.72	0.068	0.014	0.096	0.08	0.103	-0.318	0.037	-0.06	-0.449	-0.149	-1.421	0.021	-0.249	0.001	-1.087	-0.279	0.076	0.155	-0.018	0.017	-2.628	-0.128	-0.311	-0.439	-0.086	0.069	-1.255	-0.07	0.102	-3.12	-2.898
YGL087C	MMS2	1	ubiquitin-dependent protein catabolism*	0.505	0.145	0.16	0.052	0.11	-0.117	0.497	0.092	-0.129	0.234	-0.185	0.941	1.39	0.087	-0.092	-0.189	0.282	0.076	-1.598	-1.524	-0.02	0.005	0.087	0.299	-0.023	0.889	-0.446	0.001	-1.045	0.527	-0.052	0.099	-1.333	-0.111	-0.601	-0.709	0.447	0.308	-0.296	-0.86	-1.789	0.337	-0.768	-1.786	0.521	0.011	-0.745	0.352	-0.056	-1.258	-1.493
YJL092W	HPR5	1	DNA repair*	-0.556	-1.198	-0.013	-0.068	0.095	-0.001	0.275	-0.732	0.561	0.027	0.096	0.132	0.842	-0.306	0.013	0.352	0.878	-0.372	-1.727	-1.521	-1.572	-1.475	-0.631	-0.074	-0.324	-1.487	-0.557	-1.798	-1.626	0.048	-0.933	0.268	-0.148	-0.012	-0.703	-0.695	0.115	0.636	0.229	0.291	-1.915	0.083	0.092	-0.912	0.254	0.128	-0.999	0.162	-0.555	-1.535	-1.687
YPL167C	REV3	1	DNA repair*	-0.265	0.059	-0.069	-0.016	-0.1	-0.059	-0.014	-0.034	-0.141	0.01	-0.057	0.109	0.105	-0.236	-0.127	0.157	0.088	-0.011	-1.7	-1.506	-0.051	0.006	0.069	0.002	0.018	-0.557	-0.118	-0.086	-0.111	-0.195	-1.236	0.018	0.047	0.063	-0.191	-0.414	0.1	0.1	-0.134	-0.18	-2.088	-0.238	-0.064	-0.003	-0.187	-0.043	-0.404	-0.152	0.049	-0.184	-0.274
YGL175C	SAE2	1	meiotic DNA double-strand break processing	-0.037	0.013	0.016	0.048	-0.021	-0.13	0.08	-0.072	0.057	0.095	-0.969	0.219	0.257	0.078	0.018	-0.024	0.177	-0.348	-1.872	-1.502	-0.519	-1.206	-0.626	0.173	0.282	-0.965	-0.671	-1.747	-1.56	-0.208	-0.138	-0.053	-0.234	0.111	-0.042	-0.823	0.168	0.253	-0.097	-0.192	-2.302	-0.202	-0.174	-0.434	-0.193	0.104	-0.519	-0.25	-0.256	-0.567	-0.682
YIL154C	IMP2'	1	DNA repair*	-0.702	0.097	0		-0.68	-1.374	-0.991	-1.363	0.11	-0.066	-1.26	-2.292	-2.016	-0.025	-0.194	0.258	-0.863	-1.429	-1.541	-1.384	-0.028	-0.08	-1.09	-0.31	-0.102	-1.507	-0.026	-0.852	-0.186	-0.305	-0.049	-1.535	-0.084	0.21	-0.079	-0.241	-1.973	-1.85	-0.455	-0.702	-1.996	-0.381	-0.978	-0.737	-0.228	-0.121	-0.837	-0.406	-0.177	-0.047	-0.007
YDR076W	RAD55	1	DNA recombinase assembly*	-0.007	-1.01	-0.089	-0.281		-0.136	1.009	0.469	0.399	0.956		-0.403	-0.35				0.609		-1.435	-1.334		-1.03		-0.235	-0.021	-0.419	-0.634		-1.476	-0.377			-0.266	0.057		-0.652	-0.14	0.227	-0.211	-0.225	-1.85	-0.324	0.138	-0.04	-0.133			-0.511	-0.354	-0.8	-0.757
