orf	hom | growth (spot assay) | ethanol [10%] | Fujita K~Iwahashi H, 2006	hom | growth (spot assay) | propan-1-ol [4%] | Fujita K~Iwahashi H, 2006	hom | growth (spot assay) | pentan-1-ol [0.5%] | Fujita K~Iwahashi H, 2006
YBL006C	-1.0	-1.0	0.0
YBL058W	-1.0	-1.0	-1.0
YBR029C	-1.0	-1.0	0.0
YBR036C	-1.0	0.0	-1.0
YBR127C	-1.0	-1.0	-1.0
YBR173C	-1.0	-1.0	-1.0
YBR179C	-1.0	-1.0	0.0
YBR200W	-1.0	0.0	-1.0
YBR279W	-1.0	-1.0	0.0
YCL007C	-1.0	-1.0	0.0
YCL008C	-1.0	-1.0	0.0
YCL029C	-1.0	-1.0	0.0
YCR020W-B	-1.0	-1.0	-1.0
YCR028C	-1.0	-1.0	0.0
YCR077C	-1.0	-1.0	0.0
YDL013W	-1.0	0.0	0.0
YDL040C	-1.0	0.0	0.0
YDL066W	-1.0	-1.0	0.0
YDL160C	-1.0	0.0	0.0
YDL185W	-1.0	-1.0	-1.0
YDL225W	-1.0	-1.0	0.0
YDR007W	-1.0	-1.0	-1.0
YDR008C	-1.0	-1.0	-1.0
YDR017C	-1.0	0.0	0.0
YDR027C	-1.0	-1.0	0.0
YDR069C	-1.0	-1.0	0.0
YDR080W	-1.0	0.0	0.0
YDR129C	-1.0	-1.0	-1.0
YDR138W	-1.0	0.0	-1.0
YDR149C	-1.0	-1.0	0.0
YDR173C	-1.0	-1.0	0.0
YDR207C	-1.0	-1.0	-1.0
YDR264C	-1.0	-1.0	-1.0
YDR293C	-1.0	-1.0	0.0
YDR354W	-1.0	-1.0	-1.0
YDR359C	-1.0	0.0	0.0
YDR433W	-1.0	0.0	0.0
YDR435C	-1.0	0.0	0.0
YEL003W	-1.0	-1.0	0.0
YEL027W	-1.0	-1.0	-1.0
YEL044W	-1.0	-1.0	0.0
YEL051W	-1.0	-1.0	-1.0
YER005W	-1.0	-1.0	0.0
YER044C	-1.0	0.0	0.0
YER083C	-1.0	-1.0	-1.0
YFL023W	-1.0	0.0	-1.0
YFL028C	-1.0	0.0	0.0
YFR019W	-1.0	-1.0	0.0
YGL058W	-1.0	-1.0	0.0
YGL070C	-1.0	-1.0	0.0
YGR078C	-1.0	0.0	0.0
YGR105W	-1.0	-1.0	-1.0
YGR135W	-1.0	-1.0	0.0
YGR167W	-1.0	0.0	0.0
YGR188C	-1.0	0.0	0.0
YGR196C	-1.0	-1.0	0.0
YGR200C	-1.0	-1.0	-1.0
YGR229C	-1.0	-1.0	0.0
YGR270W	-1.0	0.0	0.0
YHL009C	-1.0	-1.0	0.0
YHR008C	-1.0	-1.0	0.0
YHR013C	-1.0	-1.0	-1.0
YHR026W	-1.0	-1.0	-1.0
YHR030C	-1.0	-1.0	0.0
YHR039C-A	-1.0	0.0	-1.0
YHR041C	-1.0	0.0	0.0
YHR167W	-1.0	-1.0	0.0
YIL036W	-1.0	0.0	0.0
YIL090W	-1.0	0.0	0.0
YJL095W	-1.0	-1.0	0.0
YJL176C	-1.0	-1.0	0.0
YJL179W	-1.0	-1.0	0.0
YJR043C	-1.0	-1.0	0.0
YJR075W	-1.0	-1.0	0.0
YJR090C	-1.0	-1.0	-1.0
YKL037W	-1.0	-1.0	0.0
YKL048C	-1.0	-1.0	-1.0
YKL057C	-1.0	0.0	0.0
YKL073W	-1.0	-1.0	0.0
YKL110C	-1.0	-1.0	0.0
YKL113C	-1.0	0.0	0.0
YKL114C	-1.0	-1.0	0.0
YKL118W	-1.0	-1.0	-1.0
YKL119C	-1.0	-1.0	-1.0
YKR007W	-1.0	-1.0	-1.0
YKR082W	-1.0	0.0	-1.0
YLL043W	-1.0	-1.0	0.0
YLR025W	-1.0	-1.0	0.0
YLR315W	-1.0	-1.0	-1.0
YLR322W	-1.0	0.0	0.0
YLR331C	-1.0	-1.0	0.0
YLR332W	-1.0	-1.0	0.0
YLR357W	-1.0	0.0	0.0
YLR368W	-1.0	0.0	0.0
YLR384C	-1.0	-1.0	0.0
YLR386W	-1.0	-1.0	-1.0
YLR417W	-1.0	0.0	0.0
YLR435W	-1.0	-1.0	-1.0
YLR447C	-1.0	-1.0	-1.0
YML062C	-1.0	-1.0	0.0
YML094C-A	-1.0	-1.0	0.0
YML094W	-1.0	0.0	-1.0
YML112W	-1.0	0.0	0.0
YML121W	-1.0	0.0	0.0
YMR003W	-1.0	-1.0	-1.0
YMR060C	-1.0	-1.0	0.0
YMR077C	-1.0	-1.0	0.0
YMR116C	-1.0	-1.0	0.0
YMR142C	-1.0	-1.0	0.0
YMR312W	-1.0	-1.0	0.0
YNL079C	-1.0	-1.0	0.0
YNL080C	-1.0	-1.0	0.0
YNL098C	-1.0	-1.0	0.0
YNL133C	-1.0	-1.0	0.0
YNL225C	-1.0	-1.0	0.0
YNL271C	-1.0	-1.0	0.0
YOR002W	-1.0	-1.0	0.0
YOR008C	-1.0	-1.0	0.0
YOR035C	-1.0	-1.0	-1.0
YOR115C	-1.0	0.0	0.0
YOR198C	-1.0	-1.0	0.0
YOR258W	-1.0	-1.0	0.0
YOR332W	-1.0	-1.0	-1.0
YPL002C	-1.0	-1.0	0.0
YPL065W	-1.0	-1.0	0.0
YPL084W	-1.0	-1.0	0.0
YPL090C	-1.0	-1.0	0.0
YPL129W	-1.0	-1.0	-1.0
YPL161C	-1.0	0.0	0.0
YPL180W	-1.0	0.0	0.0
YPL271W	-1.0	0.0	0.0
YPR024W	-1.0	0.0	0.0
YPR036W	-1.0	-1.0	-1.0
YPR067W	-1.0	0.0	0.0
YPR101W	-1.0	-1.0	0.0
YPR131C	-1.0	-1.0	0.0
YPR135W	-1.0	-1.0	-1.0
YAL023C	0.0	-1.0	0.0
