orf	hom | growth (spot assay) | ethanol [10%] | Fujita K~Iwahashi H, 2006	hom | growth (spot assay) | propan-1-ol [4%] | Fujita K~Iwahashi H, 2006	hom | growth (spot assay) | pentan-1-ol [0.5%] | Fujita K~Iwahashi H, 2006
YBL006C	-5.771816751521023	-6.1163580720534805	0.0
YBL058W	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YBR029C	-5.771816751521023	-6.1163580720534805	0.0
YBR036C	-5.771816751521023	0.0	-9.75106831754005
YBR127C	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YBR173C	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YBR179C	-5.771816751521023	-6.1163580720534805	0.0
YBR200W	-5.771816751521023	0.0	-9.75106831754005
YBR279W	-5.771816751521023	-6.1163580720534805	0.0
YCL007C	-5.771816751521023	-6.1163580720534805	0.0
YCL008C	-5.771816751521023	-6.1163580720534805	0.0
YCL029C	-5.771816751521023	-6.1163580720534805	0.0
YCR020W-B	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YCR028C	-5.771816751521023	-6.1163580720534805	0.0
YCR077C	-5.771816751521023	-6.1163580720534805	0.0
YDL013W	-5.771816751521023	0.0	0.0
YDL040C	-5.771816751521023	0.0	0.0
YDL066W	-5.771816751521023	-6.1163580720534805	0.0
YDL160C	-5.771816751521023	0.0	0.0
YDL185W	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YDL225W	-5.771816751521023	-6.1163580720534805	0.0
YDR007W	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YDR008C	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YDR017C	-5.771816751521023	0.0	0.0
YDR027C	-5.771816751521023	-6.1163580720534805	0.0
YDR069C	-5.771816751521023	-6.1163580720534805	0.0
YDR080W	-5.771816751521023	0.0	0.0
YDR129C	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YDR138W	-5.771816751521023	0.0	-9.75106831754005
YDR149C	-5.771816751521023	-6.1163580720534805	0.0
YDR173C	-5.771816751521023	-6.1163580720534805	0.0
YDR207C	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YDR264C	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YDR293C	-5.771816751521023	-6.1163580720534805	0.0
YDR354W	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YDR359C	-5.771816751521023	0.0	0.0
YDR433W	-5.771816751521023	0.0	0.0
YDR435C	-5.771816751521023	0.0	0.0
YEL003W	-5.771816751521023	-6.1163580720534805	0.0
YEL027W	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YEL044W	-5.771816751521023	-6.1163580720534805	0.0
YEL051W	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YER005W	-5.771816751521023	-6.1163580720534805	0.0
YER044C	-5.771816751521023	0.0	0.0
YER083C	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YFL023W	-5.771816751521023	0.0	-9.75106831754005
YFL028C	-5.771816751521023	0.0	0.0
YFR019W	-5.771816751521023	-6.1163580720534805	0.0
YGL058W	-5.771816751521023	-6.1163580720534805	0.0
YGL070C	-5.771816751521023	-6.1163580720534805	0.0
YGR078C	-5.771816751521023	0.0	0.0
YGR105W	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YGR135W	-5.771816751521023	-6.1163580720534805	0.0
YGR167W	-5.771816751521023	0.0	0.0
YGR188C	-5.771816751521023	0.0	0.0
YGR196C	-5.771816751521023	-6.1163580720534805	0.0
YGR200C	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YGR229C	-5.771816751521023	-6.1163580720534805	0.0
YGR270W	-5.771816751521023	0.0	0.0
YHL009C	-5.771816751521023	-6.1163580720534805	0.0
YHR008C	-5.771816751521023	-6.1163580720534805	0.0
YHR013C	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YHR026W	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YHR030C	-5.771816751521023	-6.1163580720534805	0.0
YHR039C-A	-5.771816751521023	0.0	-9.75106831754005
YHR041C	-5.771816751521023	0.0	0.0
YHR167W	-5.771816751521023	-6.1163580720534805	0.0
YIL036W	-5.771816751521023	0.0	0.0
YIL090W	-5.771816751521023	0.0	0.0
YJL095W	-5.771816751521023	-6.1163580720534805	0.0
YJL176C	-5.771816751521023	-6.1163580720534805	0.0
YJL179W	-5.771816751521023	-6.1163580720534805	0.0
YJR043C	-5.771816751521023	-6.1163580720534805	0.0
YJR075W	-5.771816751521023	-6.1163580720534805	0.0
YJR090C	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YKL037W	-5.771816751521023	-6.1163580720534805	0.0
YKL048C	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YKL057C	-5.771816751521023	0.0	0.0
YKL073W	-5.771816751521023	-6.1163580720534805	0.0
YKL110C	-5.771816751521023	-6.1163580720534805	0.0
YKL113C	-5.771816751521023	0.0	0.0
YKL114C	-5.771816751521023	-6.1163580720534805	0.0
YKL118W	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YKL119C	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YKR007W	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YKR082W	-5.771816751521023	0.0	-9.75106831754005
YLL043W	-5.771816751521023	-6.1163580720534805	0.0
YLR025W	-5.771816751521023	-6.1163580720534805	0.0
YLR315W	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YLR322W	-5.771816751521023	0.0	0.0
YLR331C	-5.771816751521023	-6.1163580720534805	0.0
YLR332W	-5.771816751521023	-6.1163580720534805	0.0
YLR357W	-5.771816751521023	0.0	0.0
YLR368W	-5.771816751521023	0.0	0.0
YLR384C	-5.771816751521023	-6.1163580720534805	0.0
YLR386W	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YLR417W	-5.771816751521023	0.0	0.0
YLR435W	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YLR447C	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YML062C	-5.771816751521023	-6.1163580720534805	0.0
YML094C-A	-5.771816751521023	-6.1163580720534805	0.0
YML094W	-5.771816751521023	0.0	-9.75106831754005
YML112W	-5.771816751521023	0.0	0.0
YML121W	-5.771816751521023	0.0	0.0
YMR003W	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YMR060C	-5.771816751521023	-6.1163580720534805	0.0
YMR077C	-5.771816751521023	-6.1163580720534805	0.0
YMR116C	-5.771816751521023	-6.1163580720534805	0.0
YMR142C	-5.771816751521023	-6.1163580720534805	0.0
YMR312W	-5.771816751521023	-6.1163580720534805	0.0
YNL079C	-5.771816751521023	-6.1163580720534805	0.0
YNL080C	-5.771816751521023	-6.1163580720534805	0.0
YNL098C	-5.771816751521023	-6.1163580720534805	0.0
YNL133C	-5.771816751521023	-6.1163580720534805	0.0
YNL225C	-5.771816751521023	-6.1163580720534805	0.0
YNL271C	-5.771816751521023	-6.1163580720534805	0.0
YOR002W	-5.771816751521023	-6.1163580720534805	0.0
YOR008C	-5.771816751521023	-6.1163580720534805	0.0
YOR035C	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YOR115C	-5.771816751521023	0.0	0.0
YOR198C	-5.771816751521023	-6.1163580720534805	0.0
YOR258W	-5.771816751521023	-6.1163580720534805	0.0
YOR332W	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YPL002C	-5.771816751521023	-6.1163580720534805	0.0
YPL065W	-5.771816751521023	-6.1163580720534805	0.0
YPL084W	-5.771816751521023	-6.1163580720534805	0.0
YPL090C	-5.771816751521023	-6.1163580720534805	0.0
YPL129W	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YPL161C	-5.771816751521023	0.0	0.0
YPL180W	-5.771816751521023	0.0	0.0
YPL271W	-5.771816751521023	0.0	0.0
YPR024W	-5.771816751521023	0.0	0.0
YPR036W	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YPR067W	-5.771816751521023	0.0	0.0
YPR101W	-5.771816751521023	-6.1163580720534805	0.0
YPR131C	-5.771816751521023	-6.1163580720534805	0.0
YPR135W	-5.771816751521023	-6.1163580720534805	-9.75106831754005
YAL023C	0.0	-6.1163580720534805	0.0
YAL040C	0.0	-6.1163580720534805	0.0
YBL022C	0.0	-6.1163580720534805	0.0
YBL024W	0.0	-6.1163580720534805	0.0
YBL031W	0.0	-6.1163580720534805	0.0
YDR300C	0.0	-6.1163580720534805	0.0
YGL084C	0.0	-6.1163580720534805	0.0
YHR183W	0.0	-6.1163580720534805	-9.75106831754005
YJL192C	0.0	-6.1163580720534805	0.0
YKL212W	0.0	-6.1163580720534805	0.0
YML008C	0.0	-6.1163580720534805	-9.75106831754005
YML014W	0.0	-6.1163580720534805	0.0
YMR242C	0.0	-6.1163580720534805	0.0
YMR275C	0.0	-6.1163580720534805	0.0
YMR294W	0.0	-6.1163580720534805	0.0
YMR307W	0.0	-6.1163580720534805	0.0
YNL197C	0.0	-6.1163580720534805	0.0
YNL283C	0.0	-6.1163580720534805	0.0
YNL299W	0.0	-6.1163580720534805	0.0
YNL325C	0.0	-6.1163580720534805	0.0
YPL101W	0.0	-6.1163580720534805	0.0
YPL102C	0.0	-6.1163580720534805	0.0
YPR139C	0.0	-6.1163580720534805	0.0
YDL172C	0.0	0.0	-9.75106831754005
YDL173W	0.0	0.0	-9.75106831754005
YHR178W	0.0	0.0	-9.75106831754005
YJL120W	0.0	0.0	-9.75106831754005
YJL121C	0.0	0.0	-9.75106831754005
YPR074C	0.0	0.0	-9.75106831754005
