orf	hap alpha | growth (spot assay) | (S)-lactic acid [5.1% w/v], pH [2.7] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | acetic acid [0.5% w/v], pH [4.2] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | hydrogen chloride [0.28% w/v], pH [2.4] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | (S)-lactic acid [3.1% w/v], pH [2.9] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | acetic acid [0.4% w/v], pH [4.3] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | hydrogen chloride [0.24% w/v], pH [2.6] | Kawahata M~Iefuji H, 2006
YAL014C	9.98150463520449	0.0	9.671122594864464	0.0	0.0	0.0
YAL016W	0.0	0.0	0.0	0.0	-4.606255810589833	-5.1469728462241555
YAL021C	0.0	0.0	0.0	0.0	-4.606255810589833	-5.1469728462241555
YAL026C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YAL031C	0.0	0.0	9.671122594864464	0.0	0.0	0.0
YAL034C	0.0	0.0	9.671122594864464	0.0	0.0	0.0
YAL044C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YAL045C	0.0	0.0	9.671122594864464	0.0	0.0	0.0
YAL047C	0.0	0.0	0.0	-5.983701822450714	0.0	-5.1469728462241555
YAL051W	0.0	0.0	9.671122594864464	0.0	0.0	0.0
YBL025W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YBL058W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YBL079W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YBL082C	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YBL083C	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YBL093C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YBL103C	0.0	0.0	9.671122594864464	0.0	0.0	0.0
YBR021W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YBR026C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YBR035C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YBR036C	0.0	0.0	0.0	-5.983701822450714	0.0	-5.1469728462241555
YBR058C-A	0.0	0.0	0.0	-5.983701822450714	0.0	0.0
YBR068C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	0.0
YBR097W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YBR111C	0.0	9.38800380190674	9.671122594864464	0.0	0.0	0.0
YBR126C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YBR127C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YBR128C	0.0	0.0	0.0	0.0	-4.606255810589833	-5.1469728462241555
YBR131W	0.0	9.38800380190674	9.671122594864464	0.0	0.0	0.0
YBR164C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YBR166C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YBR170C	0.0	9.38800380190674	0.0	0.0	0.0	0.0
YBR191W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YBR194W	0.0	9.38800380190674	9.671122594864464	0.0	0.0	0.0
YBR221C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YBR229C	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YBR260C	0.0	0.0	0.0	-5.983701822450714	0.0	-5.1469728462241555
YBR279W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YBR289W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	0.0
YBR290W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YCL002C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
