ORF	hom | growth (culture turbidity) | freeze-thaw | YP4D, YPD | Ando A~Shima J, 2007
YAL002W	-0.028
YAL004W	-0.026
YAL005C	NaN
YAL007C	-0.030
YAL008W	-0.027
YAL009W	-0.030
YAL010C	NaN
YAL011W	-0.059
YAL012W	0.004
YAL013W	-0.033
YAL014C	-0.024
YAL015C	-0.010
YAL016W	0.124
YAL017W	-0.025
YAL018C	-0.006
YAL019W	-0.033
YAL020C	-0.060
YAL021C	0.015
YAL022C	-0.041
YAL023C	-0.280
YAL024C	NaN
YAL026C	-0.028
YAL027W	-0.015
YAL028W	NaN
YAL029C	NaN
YAL030W	-0.029
YAL031C	-0.026
YAL034C	-0.025
YAL035W	-0.447
YAL036C	-0.022
YAL037W	-0.025
YAL039C	-0.487
YAL040C	-0.049
YAL042W	-0.033
YAL043C-A	-0.027
YAL044C	-0.062
YAL045C	-0.131
YAL046C	-0.073
YAL047C	0.020
YAL048C	NaN
YAL049C	-0.017
YAL051W	NaN
YAL053W	-0.033
YAL054C	0.005
YAL055W	-0.031
YAL056W	-0.019
YAL058C-A	0.009
YAL058W	-0.040
YAL059W	NaN
YAL060W	-0.004
YAL061W	NaN
YAL062W	NaN
YAL064C-A	0.027
YAL065C	-0.027
YAL066W	-0.004
YAL067C	-0.023
YAL068C	-0.006
YAR002C-A	-0.004
YAR002W	-0.056
YAR003W	-0.136
YAR014C	-0.048
YAR015W	-0.007
YAR018C	-0.037
YAR020C	-0.020
YAR023C	NaN
YAR027W	-0.035
YAR028W	-0.056
YAR029W	-0.039
YAR030C	-0.029
YAR031W	-0.026
YAR035W	-0.017
YAR037W	-0.036
YAR040C	NaN
YAR042W	NaN
YAR043C	NaN
YAR044W	NaN
YAR047C	NaN
YAR050W	-0.001
YBL001C	-0.003
YBL002W	0.012
YBL003C	-0.004
YBL005W	0.007
YBL006C	0.044
YBL007C	NaN
YBL008W	0.009
YBL009W	-0.004
YBL010C	-0.012
YBL011W	0.014
YBL012C	0.037
YBL013W	0.025
YBL015W	0.025
YBL017C	-0.007
YBL019W	-0.011
YBL021C	-0.007
YBL022C	-0.031
YBL024W	0.036
YBL027W	0.481
YBL028C	0.020
YBL029W	-0.007
YBL031W	-0.030
YBL032W	-0.022
YBL033C	NaN
YBL036C	-0.016
YBL037W	0.042
YBL038W	-0.241
YBL039C	0.109
YBL042C	0.146
YBL043W	-0.012
YBL044W	0.000
YBL045C	NaN
YBL046W	-0.124
YBL047C	0.017
YBL048W	0.065
YBL049W	0.010
YBL051C	0.007
YBL052C	-0.004
YBL053W	-0.013
YBL054W	-0.007
YBL055C	-0.003
YBL056W	-0.019
YBL057C	-0.008
YBL058W	-0.908
YBL059W	0.011
YBL060W	0.019
YBL061C	0.006
YBL062W	-0.008
YBL063W	0.006
YBL064C	-0.013
YBL065W	-0.010
YBL066C	-0.016
YBL067C	0.021
YBL068W	-0.005
YBL069W	-0.003
YBL070C	-0.012
YBL071C	0.069
YBL072C	0.331
YBL075C	-0.013
YBL078C	0.009
YBL079W	-0.464
YBL080C	NaN
YBL081W	-0.006
YBL082C	-0.024
YBL083C	-0.062
YBL085W	-0.003
YBL086C	-0.009
YBL087C	-0.009
YBL088C	-0.012
YBL089W	0.023
YBL090W	NaN
YBL091C	-0.012
YBL091C-A	0.017
YBL093C	NaN
YBL094C	-0.019
YBL095W	0.016
YBL096C	0.014
YBL098W	0.051
YBL099W	NaN
YBL100C	NaN
YBL101C	0.003
YBL102W	0.010
YBL104C	0.005
YBL106C	0.036
YBL107C	0.046
YBR001C	0.086
YBR003W	NaN
YBR005W	0.013
YBR006W	0.036
YBR007C	0.056
YBR008C	-0.010
YBR009C	-0.023
YBR010W	0.016
YBR012C	0.040
YBR013C	0.011
YBR014C	0.013
YBR015C	0.024
YBR016W	0.005
YBR018C	-0.000
YBR019C	-0.006
YBR020W	NaN
YBR022W	0.027
