orf	hap a | inorganic phosphate abundance | standard [standard] | Freimoser FM~Amrhein N, 2006
YAL002W	0.04130882851400214
YAL004W	-0.09028031847542972
YAL005C	0.05244740937682563
YAL007C	-0.0687989952767177
YAL008W	-0.1428551267986063
YAL009W	-0.15262633258375558
YAL010C	-0.012553981479128647
YAL011W	-0.04441350123303513
YAL012W	0.35891845678591644
YAL013W	-0.08172648061332564
YAL014C	0.06342449813288334
YAL015C	0.03503688337425811
YAL016W	0.05998892021445692
YAL017W	0.15798960971734818
YAL018C	0.14708313352264676
YAL019W	0.0626906107524619
YAL020C	-0.06576627094378996
YAL021C	-0.5431589116270834
YAL022C	-0.12859873036176614
YAL023C	-0.20882605397779108
YAL024C	0.007251518845401418
YAL026C	-0.18594494777225068
YAL027W	0.10982017445155452
YAL028W	0.08973650111597918
YAL029C	-0.05084921223304739
YAL030W	0.036166963579617545
YAL031C	0.046066466178564795
YAL034C	-0.044950851860220666
YAL035W	-0.5118134483199206
YAL036C	-0.031498761947433805
YAL037W	-0.1736761557358888
YAL039C	-0.24632797486675095
YAL040C	-0.12613593487974178
YAL042C-A	-0.15519616005003894
YAL042W	-0.22631056850515396
YAL044C	0.1673031763909507
YAL045C	0.05088359297091888
YAL046C	-0.09686454588313455
YAL047C	-0.014019151279855337
YAL048C	-0.3742863362613709
YAL049C	0.08591901891187188
YAL051W	0.03447317277770238
YAL053W	-0.18135353336018534
YAL054C	-0.11704722685972999
YAL055W	-0.1948214303958201
YAL056C-A	0.37534481300230155
YAL056W	-0.06829520718713442
YAL058W	0.04204996363897334
YAL059W	0.008750359508837556
YAL060W	0.0034780897009017483
YAL061W	-0.05396156427403687
YAL062W	-0.04299320639165321
YAL064C-A	0.22685334774393856
YAL065C	-0.019378005649204
YAL066W	0.002654948762508497
YAL067C	0.17697495716738412
YAL068C	0.19160949582678682
YAR002C-A	0.10952248327869195
YAR002W	-0.23721558209972696
YAR003W	-0.14181197583981303
YAR014C	-0.05995177607895501
YAR015W	-0.38411266664524885
YAR018C	-0.0282476081258617
YAR020C	-0.031727279549558035
YAR023C	-0.12628432610119023
YAR027W	-0.17289787441185
YAR028W	-0.05524038103101484
YAR029W	0.07518117935017
YAR030C	0.12001891481727642
YAR031W	-0.15582701578030503
YAR035W	0.06628679939264619
YAR042W	0.06997896332396723
YAR047C	-0.03776687197335872
YAR050W	-0.1354036412845547
YBL001C	0.04386465648908626
YBL002W	-0.03966761363580274
YBL003C	-0.03464773666574729
YBL005W	0.009885080979126064
YBL006C	0.31477953480821147
YBL007C	0.7068740967741723
YBL008W	0.04030433251510072
YBL009W	-0.14703401623440115
YBL010C	-0.0824750311407912
YBL011W	-0.2166218297939108
YBL012C	-0.32091836348075775
YBL013W	-0.31827813994330656
YBL015W	0.059531582638046525
YBL016W	0.0783724119292531
YBL017C	0.009163871435871796
