orf	hap a | growth (colony size) | NICKEL NITRATE [2.5-4 mM] | Bishop AL~Avery SV, 2007
YAL035W	-7.414788643136161
YAL042W	-7.414788643136161
YBL099W	-7.414788643136161
YBL100C	-7.414788643136161
YBR112C	-7.414788643136161
YBR119W	7.56611086034302
YBR120C	7.56611086034302
YBR132C	7.56611086034302
YBR133C	7.56611086034302
YBR145W	7.56611086034302
YBR171W	-7.414788643136161
YBR179C	-7.414788643136161
YCL005W	-7.414788643136161
YCR036W	7.56611086034302
YCR037C	7.56611086034302
YCR038C	7.56611086034302
YCR050C	7.56611086034302
YDL044C	-7.414788643136161
YDL047W	7.56611086034302
YDL052C	-7.414788643136161
YDL075W	7.56611086034302
YDL081C	7.56611086034302
YDL104C	-7.414788643136161
YDL179W	-7.414788643136161
YDR049W	-7.414788643136161
YDR051C	-7.414788643136161
YDR059C	-7.414788643136161
YDR063W	-7.414788643136161
YDR069C	7.56611086034302
YDR089W	7.56611086034302
YDR245W	-7.414788643136161
YDR337W	-7.414788643136161
YER084W	7.56611086034302
YER087W	7.56611086034302
YER088C	-7.414788643136161
YER122C	-7.414788643136161
YER173W	-7.414788643136161
YGL220W	-7.414788643136161
YHR051W	7.56611086034302
YHR091C	-7.414788643136161
YJL012C	7.56611086034302
YJL101C	-7.414788643136161
YJL190C	-7.414788643136161
YKL001C	-7.414788643136161
YKL011C	-7.414788643136161
YKL041W	7.56611086034302
YKR001C	7.56611086034302
YKR024C	7.56611086034302
YKR065C	-7.414788643136161
YLR057W	-7.414788643136161
YLR119W	7.56611086034302
YLR357W	-7.414788643136161
YLR360W	7.56611086034302
YLR362W	7.56611086034302
YLR417W	7.56611086034302
YMR187C	7.56611086034302
YMR202W	7.56611086034302
YMR231W	-7.414788643136161
YMR233W	-7.414788643136161
YNL025C	-7.414788643136161
YNL136W	-7.414788643136161
YNL220W	-7.414788643136161
YNR010W	-7.414788643136161
YNR019W	7.56611086034302
YNR031C	7.56611086034302
YNR032W	7.56611086034302
YNR034W	7.56611086034302
YOL027C	-7.414788643136161
YOR008C	-7.414788643136161
YOR010C	-7.414788643136161
YOR012W	-7.414788643136161
YOR128C	-7.414788643136161
YOR139C	-7.414788643136161
YOR140W	-7.414788643136161
YOR147W	-7.414788643136161
YPL037C	-7.414788643136161
YPL056C	-7.414788643136161
YPL087W	7.56611086034302
YPL120W	7.56611086034302
YPR070W	-7.414788643136161
YPR172W	7.56611086034302
