orf	hom | growth (spot assay) | expression of C. jejuni CdtB [pDCH-GAL1-CdtB] | SC - Leu, Gal [2%] | Kitagawa T~Akada R, 2007
YBR098W	-8.642252286884707
YCL016C	-8.642252286884707
YCL061C	-8.642252286884707
YCR009C	-8.642252286884707
YCR044C	-8.642252286884707
YDL059C	-8.642252286884707
YDR004W	-8.642252286884707
YDR076W	-8.642252286884707
YDR162C	-8.642252286884707
YDR207C	-8.642252286884707
YDR217C	-8.642252286884707
YDR318W	-8.642252286884707
YDR320C	-8.642252286884707
YDR323C	-8.642252286884707
YDR359C	-8.642252286884707
YDR369C	-8.642252286884707
YDR386W	-8.642252286884707
YDR389W	-8.642252286884707
YEL033W	-8.642252286884707
YER016W	-8.642252286884707
YER095W	-8.642252286884707
YER173W	-8.642252286884707
YGL071W	-8.642252286884707
YGL167C	-8.642252286884707
YGL168W	-8.642252286884707
YGL175C	-8.642252286884707
YGR072W	-8.642252286884707
YGR285C	-8.642252286884707
YHR077C	-8.642252286884707
YHR154W	-8.642252286884707
YHR191C	-8.642252286884707
YJL047C	-8.642252286884707
YJL092W	-8.642252286884707
YJL115W	-8.642252286884707
YJL127C	-8.642252286884707
YJR135C	-8.642252286884707
YKL002W	-8.642252286884707
YKL041W	-8.642252286884707
YKL048C	-8.642252286884707
YKL057C	-8.642252286884707
YKL113C	-8.642252286884707
YLL002W	-8.642252286884707
YLR025W	-8.642252286884707
YLR148W	-8.642252286884707
YLR235C	-8.642252286884707
YLR288C	-8.642252286884707
YLR322W	-8.642252286884707
YLR338W	-8.642252286884707
YMR080C	-8.642252286884707
YMR116C	-8.642252286884707
YMR190C	-8.642252286884707
YNL250W	-8.642252286884707
YNL273W	-8.642252286884707
YOR144C	-8.642252286884707
YOR368W	-8.642252286884707
YPL008W	-8.642252286884707
YPL018W	-8.642252286884707
YPL194W	-8.642252286884707
YPR046W	-8.642252286884707
YPR131C	-8.642252286884707
YPR164W	-8.642252286884707
