orf	hom | growth (culture turbidity) | chitosan [25 ug/ml], time [5 h] | Zakrzewska A~Klis FM, 2007	het | growth (culture turbidity) | chitosan [25 ug/ml], time [5 h] | Zakrzewska A~Klis FM, 2007	hom | growth (culture turbidity) | chitosan [25 ug/ml], time [9 h] | Zakrzewska A~Klis FM, 2007	het | growth (culture turbidity) | chitosan [25 ug/ml], time [9 h] | Zakrzewska A~Klis FM, 2007
YAL002W	0.831694657		0.908913137	
YAL004W	0.093486898		-0.125043428	
YAL005C	0.36176897		-0.170290023	
YAL007C	0.161059418		0.068949202	
YAL008W	0.016271942		0.067878834	
YAL009W	1.612555453		1.3307926	
YAL011W	0.44511942		0.467544986	
YAL013W	0.609519232		0.968927669	
YAL014C	0.502682545		-0.088785591	
YAL015C	0.479193066		-0.239525795	
YAL016W	0.866233202		1.218900364	
YAL017W	0.786265317		-0.182859648	
YAL018C	0.472656538		0.045708419	
YAL019W	0.804273841		0.406455248	
YAL020C	0.643779343		0.367514107	
YAL021C	0.911186538		1.482469935	
YAL022C	0.105509667		-0.025486041	
YAL023C	0.68205868		0.712630793	
YAL024C	0.301140007		0.312615252	
YAL026C	1.394267926		0.323291971	
YAL027W	0.072532907		-0.121492398	
YAL028W	0.027414013		0.184814105	
YAL029C	0.064269031		-0.265676114	
YAL030W	0.232170139		-0.067916102	
YAL031C	0.148424046		-0.058240657	
YAL034C	0.268259215		-0.198319224	
YAL035W	0.793895883		-0.441594862	
YAL036C	0.295709083		-0.097434302	
YAL037W	0.277211582		0.007103834	
YAL039C	0.167688344		0.023086193	
YAL040C	0.609472217		0.61570055	
YAL042C-A	0.783248958		0.832670821	
YAL042W	0.998246279		0.735743699	
YAL044C	0.243423658		-0.039971246	
YAL045C	0.278788654		0.164645583	
YAL046C	0.008990694		0.161037946	
YAL048C	0.295928695		0.039066875	
YAL049C	0.441289823		0.056327046	
YAL051W	0.326327483		-0.0396453	
YAL053W	-0.062072673		-0.167682472	
YAL054C	0.038694377		0.255947781	
YAL055W	0.2109904		0.26401121	
YAL056C-A	0.381196921		0.499125731	
YAL056W	0.958534263		1.409137478	
YAL058W	0.567514851		0.428290341	
YAL059W	-0.089294121		-0.444876797	
YAL060W	0.23388667		-0.080261312	
YAL061W	0.185830927		0.023337911	
YAL062W	0.119713127		0.062288679	
YAL064C-A	-0.100238402		0.061868573	
YAL065C	0.364208953		-0.044250222	
YAL066W	-0.029352076		-0.087296838	
YAL067C	0.359265534		-0.189073932	
YAL068C	0.249506293		0.005993603	
YAR002C-A	-0.217059335		0.127246543	
YAR002W	-0.165703106		-0.698990794	
YAR003W	0.848454371		1.164244363	
YAR014C	0.050197965		-0.60471673	
