orf	hap a | chromosome instability (ade2-101 + SUP11) | standard [standard] | Yuen KW~Spencer FA, 2007	hom | chromosome instability (diploid bimater) | standard [standard] | Yuen KW~Spencer FA, 2007	hap alpha | chromosome instability (Mat-alpha) | standard [standard] | Yuen KW~Spencer FA, 2007
YAL011W	-1.0	2.0	2.0
YAL040C	1.0	-1.0	2.0
YAR015W		-1.0	30.0
YBL058W	1.0	3.0	1.0
YBR009C	-1.0	3.0	5.0
YBR026C		4.0	4.0
YBR073W	0.0	2.0	14.0
YBR098W	0.0	3.0	8.0
YBR099C	-1.0	4.0	11.0
YBR107C	2.0	4.0	8.0
YBR112C	-1.0		79.0
YBR113W	-1.0	-1.0	55.0
YCL016C	2.0	4.0	17.0
YCL061C	0.0	3.0	10.0
YCR065W	-1.0	3.0	1.0
YCR066W		4.0	18.0
YDL059C	-1.0	3.0	1.0
YDL074C	-1.0	-1.0	10.0
YDL101C	-1.0		9.0
YDL117W	-1.0	2.0	1.0
YDL156W	-1.0	1.0	1.0
YDL162C	-1.0	4.0	9.0
YDR004W	-1.0	4.0	14.0
YDR014W	2.0	3.0	4.0
YDR076W	-1.0	3.0	17.0
YDR200C	2.0	-1.0	-1.0
YDR217C	-1.0	2.0	9.0
YDR254W	2.0	2.0	2.0
YDR279W	-1.0	2.0	3.0
YDR290W	0.0	-1.0	3.0
YDR318W	2.0	4.0	2.0
YDR363W	-1.0	3.0	42.0
YDR369C	-1.0	4.0	47.0
YDR378C	0.0	1.0	-1.0
YDR386W	-1.0	3.0	8.0
YDR532C	-1.0	3.0	29.0
YEL061C	2.0	3.0	-1.0
YER016W	2.0	4.0	15.0
YER095W		3.0	6.0
YER116C	0.0	4.0	
YER161C	-1.0	1.0	21.0
YER173W	-1.0	3.0	5.0
YFR046C	1.0	-1.0	-1.0
YGL003C	2.0	2.0	-1.0
YGL058W	0.0		24.0
YGL060W	-1.0	3.0	-1.0
YGL086W	1.0	4.0	-1.0
YGL163C	0.0	3.0	22.0
YGL240W	2.0		2.0
YGR061C	-1.0	-1.0	15.0
YGR064W	0.0	-1.0	4.0
YGR078C	-1.0	1.0	2.0
YGR184C	2.0	2.0	-1.0
YGR188C	2.0		15.0
YGR270W		3.0	5.0
YHR031C	-1.0	4.0	13.0
YHR064C	0.0	1.0	2.0
YHR134W	-1.0		27.0
YHR154W	-1.0	3.0	22.0
YHR167W	0.0	-1.0	14.0
YHR191C	2.0	5.0	17.0
YIL009C-A	2.0	1.0	-1.0
YJL007C	-1.0	4.0	1.0
YJL030W	1.0	2.0	-1.0
YJL092W		2.0	11.0
YJL115W		2.0	21.0
YJR043C	-1.0	2.0	25.0
YJR063W	-1.0	1.0	4.0
YJR135C	2.0	3.0	3.0
YKL053W	0.0	2.0	-1.0
YKL057C	1.0		2.0
YKL113C	0.0	3.0	62.0
YKR082W	0.0	-1.0	13.0
YKR087C		1.0	29.0
YLL002W	-1.0	1.0	17.0
YLR032W	-1.0	1.0	4.0
YLR058C	-1.0	3.0	1.0
YLR079W	2.0	5.0	30.0
YLR154C	-1.0	2.0	4.0
YLR193C	-1.0	1.0	1.0
YLR234W	-1.0	4.0	41.0
YLR235C	0.0	2.0	44.0
YLR273C	2.0	-1.0	-1.0
YLR288C	2.0	2.0	10.0
YLR320W	0.0	2.0	27.0
YLR373C	-1.0	3.0	7.0
YLR374C	-1.0	4.0	17.0
YLR381W	2.0	3.0	-1.0
YLR418C	0.0	-1.0	1.0
YML009C-A	0.0	-1.0	2.0
YML009W-B	1.0	-1.0	1.0
YML028W	-1.0	3.0	7.0
YML032C	1.0	4.0	21.0
YML062C	-1.0	-1.0	4.0
YML095C	-1.0	2.0	1.0
YMR048W	2.0	4.0	11.0
YMR066W	-1.0		7.0
YMR078C	2.0	-1.0	28.0
YMR095C	2.0	1.0	1.0
YMR120C	-1.0		1.0
YMR179W	1.0	4.0	10.0
YMR190C	-1.0	3.0	13.0
YMR224C			29.0
YNL072W	-1.0	2.0	5.0
YNL140C	1.0		2.0
YNL250W	0.0	3.0	35.0
YNL273W	2.0	4.0	9.0
YOL054W	-1.0	3.0	10.0
YOL072W		3.0	18.0
YOR024W	-1.0	3.0	13.0
YOR025W	-1.0	4.0	8.0
YOR026W	1.0	4.0	23.0
YOR073W		1.0	18.0
YOR080W	1.0	-1.0	59.0
YOR144C	0.0	3.0	11.0
YOR300W	1.0	-1.0	2.0
YOR368W	-1.0	2.0	9.0
YPL008W	2.0	4.0	6.0
YPL017C	2.0		10.0
YPL018W	2.0		7.0
YPL024W	0.0	3.0	55.0
YPL055C	1.0	1.0	7.0
YPL194W	2.0	2.0	10.0
YPR032W		1.0	2.0
YPR046W	2.0	3.0	3.0
YPR067W		2.0	2.0
YPR120C	-1.0	2.0	3.0
YPR135W	2.0	4.0	26.0
YPR141C	2.0		39.0
YPR164W	1.0	4.0	1.0
YAL008W	-1.0	-1.0	2.0
YAL016W			74.0
YAL019W		-1.0	2.0
YAR002W	-1.0	-1.0	7.0
YBL031W	1.0	-1.0	-1.0
YBR156C	-1.0	-1.0	3.0
YBR231C	-1.0	3.0	-1.0
YBR277C	-1.0	-1.0	3.0
YCR067C	-1.0	-1.0	1.0
YCR081W	0.0		
YCR095C	-1.0	-1.0	1.0
YDL025C	-1.0	-1.0	6.0
YDL082W	-1.0	-1.0	1.0
YDL096C	-1.0	-1.0	1.0
YDL116W	-1.0	3.0	
YDL155W	-1.0	-1.0	1.0
YDL204W	-1.0	-1.0	15.0
YDR156W	-1.0	-1.0	1.0
YDR159W			4.0
YDR171W	-1.0	-1.0	1.0
YDR176W	-1.0	2.0	-1.0
YDR191W	-1.0	-1.0	2.0
YDR194C	-1.0		1.0
YDR226W		-1.0	4.0
YDR231C	-1.0	-1.0	1.0
YDR289C	1.0	-1.0	-1.0
YDR334W	-1.0	2.0	-1.0
YDR350C	-1.0		5.0
YDR359C		1.0	
YDR363W-A	-1.0	-1.0	2.0
YDR408C	-1.0	-1.0	5.0
YDR417C		-1.0	6.0
YDR431W	0.0	-1.0	-1.0
YDR440W	-1.0	-1.0	2.0
YEL003W	-1.0		18.0
YEL013W	-1.0		2.0
YER007W	-1.0	2.0	-1.0
YER070W	-1.0		7.0
YER156C	-1.0	-1.0	1.0
YFL012W-A		-1.0	3.0
YFL016C	-1.0	-1.0	18.0
YFR013W	-1.0	-1.0	1.0
YGL066W	0.0	-1.0	-1.0
YGL071W	0.0	-1.0	-1.0
YGL117W	-1.0	-1.0	1.0
YGL151W	-1.0	1.0	-1.0
YGL234W	-1.0	-1.0	11.0
YGR014W	-1.0	1.0	-1.0
YGR027C	-1.0	-1.0	1.0
YGR058W	-1.0	1.0	-1.0
YGR063C	0.0	-1.0	-1.0
YGR071C	-1.0	-1.0	1.0
YGR102C	-1.0	-1.0	2.0
YGR118W	0.0	-1.0	-1.0
YGR141W	-1.0	-1.0	1.0
YGR148C	-1.0	-1.0	2.0
YGR153W	-1.0	-1.0	1.0
YGR171C	-1.0	-1.0	1.0
YGR180C	-1.0		8.0
YGR219W	-1.0	-1.0	2.0
YGR285C	-1.0	3.0	
YHL006C	-1.0	-1.0	1.0
YHR001W-A	-1.0	-1.0	5.0
YHR066W	-1.0	-1.0	1.0
YHR076W	-1.0	-1.0	6.0
YHR087W	-1.0	-1.0	1.0
YHR092C	-1.0	-1.0	2.0
YHR093W	-1.0	-1.0	2.0
YHR133C	-1.0	4.0	-1.0
YHR194W		-1.0	5.0
YHR204W	-1.0	-1.0	1.0
YIL018W		-1.0	16.0
YIL052C	-1.0	-1.0	4.0
YIL084C	1.0		
YIL125W		-1.0	1.0
YIL137C	-1.0	-1.0	1.0
YIR002C	-1.0	1.0	-1.0
YIR004W	-1.0	-1.0	12.0
YIR019C	-1.0	-1.0	22.0
YJL006C	2.0		
YJL047C			14.0
YJL075C			8.0
YJL102W		-1.0	1.0
YJL124C		-1.0	4.0
YJL127C		-1.0	12.0
YJL179W	-1.0	3.0	-1.0
YJR008W	0.0	-1.0	-1.0
YJR032W	-1.0	-1.0	2.0
YJR047C		-1.0	1.0
YJR053W	-1.0	-1.0	1.0
YJR060W			5.0
YJR074W	0.0	-1.0	-1.0
YJR144W	-1.0	-1.0	5.0
YJR154W		-1.0	1.0
YKL006W		-1.0	3.0
YKL055C			5.0
YKL074C	1.0	-1.0	-1.0
YKL217W	-1.0	-1.0	1.0
YKL221W		-1.0	1.0
YKR024C	-1.0	-1.0	2.0
YKR091W		-1.0	3.0
YKR092C		-1.0	1.0
YKR093W		-1.0	1.0
YKR097W	-1.0	-1.0	1.0
YLL005C	-1.0	-1.0	2.0
YLL028W	2.0	-1.0	-1.0
YLL049W	-1.0	-1.0	2.0
YLR006C	1.0	-1.0	-1.0
YLR085C	-1.0	2.0	-1.0
YLR242C	-1.0	1.0	-1.0
