orf	hom | growth (pooled culture) | macbecin II [200-400 uM], temperature [30 C] | YPD + DMSO | McClellan AJ~Frydman J, 2007	hom | growth (pooled culture) | macbecin II [200-400 uM], temperature [37 C] | YPD + DMSO | McClellan AJ~Frydman J, 2007
YAL002W	0.45	0.7616
YAL004W	1.162	1.3888
YAL005C	1.27	1.2287
YAL007C	1.134	1.1995
YAL008W	1.114	1.1079
YAL011W	0.674	1.2244
YAL014C	1.118	0.86375
YAL015C	0.99	0.94544
YAL017W	0.968	1.0227
YAL018C	1.116	1.3117
YAL022C	1.098	1.0313
YAL024C	1.194	0.33635
YAL026C	0.628	0.64615
YAL027W	1.13	1.2042
YAL028W	1.052	1.1075
YAL029C	0.938	0.97251
YAL030W	1.14	1.0892
YAL031C	1.066	1.1921
YAL036C	1.064	1.2127
YAL037W	0.944	1.1038
YAL040C	1.32	1.3293
YAL042C-A	0.986	1.3302
YAL042W	1.022	1.2315
YAL045C	1.09	0.99428
YAL046C	1.144	0.93063
YAL048C	1.012	1.1649
YAL049C	1.024	1.0763
YAL051W	1.138	1.0817
YAL053W	0.892	0.90051
YAL054C	1.144	1.1549
YAL055W	1.09	1.1929
YAL056C-A	1.222	0.57865
YAL058W	0.96	0.94124
YAL059W	0.854	0.81503
YAL060W	1.088	1.035
YAL061W	1.13	1.0902
YAL062W	1.144	1.0321
YAL064C-A	1.098	1.1837
YAL065C	1.066	1.1553
YAL066W	1.166	1.1874
YAL067C	1.008	1.1712
YAL068C	1.06	1.1149
YAR002C-A	1.25	1.2839
YAR003W	1.232	0.79492
YAR014C	1.22	0.97325
YAR020C	0.946	1.0469
YAR023C	1.142	1.2766
YAR027W	1.064	1.1326
YAR028W	1.092	1.2457
YAR029W	1.202	1.1602
YAR030C	1.064	1.1308
YAR031W	0.95	1.0338
YAR035W	1.22	1.2125
YAR042W	0.773	0.6971499999999999
YAR047C	1.132	1.0502
YAR050W	1.124	1.0083
YBL001C	1.13	1.248
YBL002W	1.34	1.0154
YBL003C	1.226	1.2413
YBL005W	1.134	1.0427
YBL006C	0.682	0.54551
YBL008W	0.934	1.3072
YBL009W	1.12	0.87203
YBL010C	1.092	1.1095
YBL011W	1.15	1.0191
YBL012C	1.008	1.067
YBL013W	1.3	1.2573
YBL015W	1.228	1.0103
YBL017C	1.234	1.0971
YBL019W	1.308	1.1141
YBL021C	1.396	1.1388
YBL022C	0.974	0.85284
YBL024W	1.084	0.68248
YBL027W	1.272	1.5085
YBL028C	1.312	1.1871
YBL029W	1.054	1.1004
YBL031W	0.912	0.61091
YBL032W	1.2	1.2239
YBL036C	1.252	0.88973
YBL037W	1.212	1.0733
YBL043W	0.988	1.0075
YBL044W	1.168	1.1056
YBL046W	1.05	0.76459
YBL047C	0.818	0.64287
YBL048W	1.312	1.0021
YBL049W	1.118	1.0219
YBL051C	0.458	0.40338
YBL052C	1.238	0.96538
YBL053W	1.028	0.89705
YBL054W	1.194	1.1394
YBL055C	1.162	1.1069
YBL056W	1.072	0.86208
YBL057C	1.188	1.0543
YBL059W	1.268	1.0722
YBL060W	1.28	1.1531
YBL061C	1.07	0.82286
YBL062W	1.266	1.0435
YBL063W	1.338	1.0229
YBL064C	1.148	0.99575
YBL065W	1.1	0.99903
YBL066C	1.086	0.87269
YBL067C	0.952	0.7446
YBL068W	1.134	0.95977
YBL069W	1.128	0.96266
YBL070C	1.114	1.097
YBL071C	1.36	1.4529
YBL072C	1.306	1.8254
YBL075C	1.068	0.98144
YBL078C	1.132	0.88269
YBL080C	1.624	1.4706
YBL081W	1.306	0.95066
YBL082C	1.122	0.88813
YBL083C	0.89	0.52392
YBL085W	1.238	0.92498
YBL086C	1.302	0.88073
YBL088C	1.214	1.0501
YBL089W	1.27	1.3333
YBL090W	2.792	2.9207
YBL091C	1.174	0.85669
YBL091C-A	1.044	0.92028
YBL094C	1.138	0.85592
YBL095W	1.02	0.86669
YBL096C	1.14	1.241
YBL098W	1.18	1.3991
YBL102W	1.1	1.3681
YBL103C	0.894	1.25
YBL104C	1.284	1.3235
YBL106C	1.228	1.7126
YBL107C	1.112	0.76703
YBR001C	1.226	2.269
YBR003W	1.276	1.1997
