orf	hom | mitotic recombination (frequency of Rad52 foci) | minimal complete-leu [standard] | Alvaro D~Rothstein R, 2007
YAL002W	-0.1703282280319186
YAL004W	1.0804579752053762
YAL005C	0.22489891397398362
YAL007C	1.8986681485252273
YAL008W	0.67544393941205
YAL009W	0.4638620213886487
YAL010C	1.2964654609618171
YAL011W	0.22148083886397457
YAL012W	-0.23871182831935905
YAL013W	0.30283102648218974
YAL014C	0.1397218563331051
YAL015C	-0.056654602252309665
YAL016W	0.7938808796744434
YAL017W	0.5355742273512916
YAL018C	0.46500096184677625
YAL019W	1.7396357486405243
YAL020C	1.411035469130328
YAL021C	0.2677025363743241
YAL022C	3.7519988335264136
YAL023C	0.09725148831399097
YAL024C	0.9225170178780865
YAL026C	1.440470451466111
YAL027W	0.2692906236305568
YAL028W	0.664773466533188
YAL029C	0.0745804198102154
YAL030W	0.036594048822576636
YAL031C	0.13036587809124847
YAL034C	-0.19146427594930007
YAL035W	0.489668270572376
YAL036C	0.3481249038373864
YAL037W	0.8327693915379909
YAL039C	0.5355742273512916
YAL040C	0.885564003094302
YAL042C-A	0.5906049337358522
YAL042W	0.07055284699344563
YAL044C	0.26533538744522267
YAL045C	0.06503817036740704
YAL046C	0.38975530581826573
YAL047C	-0.01094826861664002
YAL048C	0.666284329949664
YAL049C	0.30283102648218974
YAL051W	-0.11958361233040553
YAL053W	-0.138784277730978
YAL054C	1.5063882288096258
YAL055W	1.232770945931072
YAL056C-A	-0.2276351656304401
YAL056W	0.33043198299551263
YAL058W	-0.3595919298375619
YAL059W	0.1924272004288978
YAL060W	0.09001641155593469
YAL061W	0.5958257956236183
YAL062W	0.01965785431496762
YAL064C-A	0.061439610196178586
YAL065C	0.43243551793605417
YAL066W	0.23185713830507343
YAL067C	0.8949970025862102
YAL068C	0.17462013171062485
YAR002C-A	0.8233062064477088
YAR002W	3.6885483587831422
YAR003W	-0.1735180657028002
YAR014C	-0.08958257264201099
YAR015W	-0.014579973421024652
YAR018C	0.2884305274317604
YAR020C	0.04630448947601142
YAR023C	0.0628716902643205
YAR027W	0.41066732169703307
YAR028W	0.5120172232147427
YAR029W	1.282779036244467
YAR030C	-0.3595919298375619
YAR031W	0.67544393941205
YAR035W	0.09042366548835633
YAR042W	-0.13911785552662578
YAR047C	0.012555798431961505
YAR050W	-0.3595919298375619
YBL001C	-0.3595919298375619
YBL002W	-0.12301230258050776
YBL003C	0.12182010237155988
YBL005W	-0.26655499777018105
YBL006C	-0.26909699044961766
YBL007C	-0.283972870896951
YBL008W	-0.21303817843938677
YBL009W	-0.11241918494213222
YBL010C	-0.27243101453233143
