orf	het | growth (pooled culture) | chromium trioxide [0.1 mM] | None | Holland S~Avery SV, 2007
YAL001C	0.012450666176570315
YAL002W	-0.005455845039671368
YAL003W	0.008503879522169536
YAL004W	-0.023605573675604903
YAL005C	
YAL007C	0.008146796450240846
YAL008W	0.019552373234978916
YAL009W	-0.009048138851669734
YAL010C	-0.003670673858568993
YAL011W	0.0321516790349583
YAL012W	0.003855038954375712
YAL013W	0.05008340606624617
YAL014C	-0.00010608738047806262
YAL015C	0.009794900462545744
YAL016W	-0.04934787782853132
YAL017W	-0.006545292870644303
YAL018C	0.01440144846323144
YAL019W	0.010452713106516399
YAL020C	0.014305051972425969
YAL021C	0.005449855361262685
YAL022C	0.016887682017451063
YAL023C	0.06590757246080488
YAL024C	-0.009779263127415769
YAL025C	0.005382081585276493
YAL026C	0.023589355057670187
YAL027W	0.04902025423585506
YAL028W	0.03211788322698692
YAL029C	-0.006645447347338688
YAL030W	0.005278828221885186
YAL031C	0.03191119438426152
YAL032C	-0.011519986260911696
YAL033W	0.029266955950028196
YAL034C	0.012515342919274664
YAL034C-B	0.009712370945879652
YAL034W-A	0.019152953667398647
YAL035W	0.0325163449568277
YAL036C	
YAL037W	-0.005450167897819106
YAL038W	0.011594578408289771
YAL039C	0.01237174819327535
YAL040C	-0.011938168082089294
YAL041W	
YAL042C-A	-0.052178064239799045
YAL042W	0.004499173951765129
YAL043C	-0.036986479087891204
YAL044C	
YAL045C	0.052006761170580965
YAL046C	0.00959834306193954
YAL047C	-0.0005390998999704605
YAL048C	0.002461721939255728
YAL049C	
YAL051W	0.010393955271050503
YAL053W	0.007918383744927001
YAL054C	-0.007279226584936736
YAL055W	0.01134553281212075
YAL056C-A	0.00554369674201845
YAL056W	0.016983579737023316
YAL058W	0.009733343361222582
YAL059W	-0.005423233462736951
YAL060W	0.0005643747218370149
YAL061W	0.01318822591755656
YAL062W	0.008214639090687387
YAL064C-A	-0.03095732033511469
YAL065C	0.016017329814230853
YAL066W	0.008708373660337752
YAL067C	0.023012123500558507
YAL068C	0.008469954030508372
YAR002C-A	0.00226605964661831
YAR002W	-0.0839637740551106
YAR003W	0.007756587106901998
YAR007C	-0.003662471432677443
YAR008W	0.013144153154799507
YAR014C	0.02105511013476527
YAR015W	-0.009327008618103472
YAR018C	
YAR019C	0.02393936346041329
YAR020C	0.011732285333601891
YAR023C	0.005025368134874817
YAR027W	0.02197039463019563
YAR028W	0.006437916767269453
YAR029W	0.022586317059895143
YAR030C	0.0019323664545221886
YAR031W	0.006532277994798604
YAR035W	0.012849992882864238
YAR042W	0.0009882652942159924
YAR047C	0.027228441319330266
