ORF	hap alpha | lipid particle number | growth phase [log] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle size | growth phase [log] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle size variation | growth phase [log] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle aggregation | growth phase [log] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle centralization around nuclear envelope | growth phase [log] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle staining intensity | growth phase [log] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle resolution | growth phase [log] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle ring shape | growth phase [log] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle number | growth phase [stationary] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle size | growth phase [stationary] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle size variation | growth phase [stationary] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle aggregation | growth phase [stationary] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle centralization around nuclear envelope | growth phase [stationary] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle staining intensity | growth phase [stationary] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle resolution | growth phase [stationary] | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle ring shape | growth phase [stationary] | Szymanski KM~Goodman JM, 2007
YDR408C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000
YNL220W	0.000	0.000	0.000	0.000	0.000	0.000	-0.500	0.000	1.000	0.000	0.000	0.000	0.000	0.000	-1.000	0.000
YDR226W	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000
YEL036C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000
YKL114C	1.000	0.000	0.000	0.000	0.000	0.000	-1.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000
YBR039W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
YER155C	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
YGR262C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	-1.000	0.000
YLR226W	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000
YGL206C	1.000	0.000	0.000	-1.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	-1.000	0.000
