orf	hap alpha | lipid particle number (BODIPY 493/503) | growth phase [log] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle size (BODIPY 493/503) | growth phase [log] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle aggregation (BODIPY 493/503) | growth phase [log] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle staining intensity (BODIPY 493/503) | growth phase [log] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle resolution (BODIPY 493/503) | growth phase [log] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle ring shape (BODIPY 493/503) | growth phase [log] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle number (BODIPY 493/503) | growth phase [stationary] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle size (BODIPY 493/503) | growth phase [stationary] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle size variation (BODIPY 493/503) | growth phase [stationary] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle aggregation (BODIPY 493/503) | growth phase [stationary] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle centralization around nuclear envelope (BODIPY 493/503) | growth phase [stationary] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle staining intensity (BODIPY 493/503) | growth phase [stationary] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle resolution (BODIPY 493/503) | growth phase [stationary] | YPD | Szymanski KM~Goodman JM, 2007
YAL009W	0.1495212235779282	0.14467285588406792	0.20992987301321997	0.0	0.0	47.72315999596003	-10.67726985103201	22.041913193731872	0.0	17.924768386213085	0.0	0.0	0.0
YAL016W	0.1495212235779282	0.14467285588406792	0.20992987301321997	0.0	0.0	0.0	10.8951733173796	0.22041913193731774	0.0	0.17924768386213008	0.0	0.0	-13.848807662907682
YAL026C	0.1495212235779282	0.14467285588406792	0.20992987301321997	0.0	0.0	0.0	10.8951733173796	22.041913193731872	0.0	0.17924768386213008	0.0	0.0	0.0
YAL059W	0.1495212235779282	-7.016633510377326	0.20992987301321997	-19.4828984838841	0.0	0.0	0.10895173317379551	0.22041913193731774	0.0	0.17924768386213008	0.0	0.0	-13.848807662907682
YBL093C	14.952122357792884	14.467285588406854	0.20992987301321997	0.0	0.0	0.0	10.8951733173796	0.22041913193731774	0.0	0.17924768386213008	0.0	0.0	-13.848807662907682
YBR011C	0.1495212235779282	0.14467285588406792	0.20992987301321997	0.0	0.0	0.0	0.10895173317379551	0.22041913193731774	0.0	0.17924768386213008	0.0	0.0	-13.848807662907682
YBR039W	0.1495212235779282	0.14467285588406792	0.20992987301321997	0.0	0.0	0.0	0.10895173317379551	22.041913193731872	0.0	0.17924768386213008	0.0	0.0	0.0
YBR127C	0.1495212235779282	0.14467285588406792	0.20992987301321997	0.0	0.0	0.0	0.10895173317379551	-21.60107492985724	0.0	0.17924768386213008	0.0	-38.9657969677682	0.0
YBR279W	14.952122357792884	14.467285588406854	0.20992987301321997	0.0	0.0	0.0	10.8951733173796	22.041913193731872	0.0	0.17924768386213008	0.0	0.0	0.0
YDL005C	14.952122357792884	0.14467285588406792	0.20992987301321997	0.0	-12.12169476067467	0.0	10.8951733173796	0.22041913193731774	0.0	0.17924768386213008	0.0	0.0	-13.848807662907682
