ORF	hom | growth (culture turbidity) | diarsenic trioxide [0.2-1.2 mM] | Dilda PJ~Hogg PJ, 2008
YHR203C	0.573
YOL121C	0.497
YML026C	0.495
YLR048W	0.460
YIL069C	0.390
YBR191W	1.036
YGL147C	0.667
YLR448W	0.655
YDL082W	0.629
YFR032C-A	0.609
YIL133C	0.608
YBL027W	0.590
YGL031C	0.520
YER002W	0.370
YPL079W	0.313
YBL087C	0.299
YLR192C	1.157
YPL193W	0.896
YNL248C	0.865
YOL041C	0.799
YDL048C	0.551
YDR083W	0.506
YIR026C	0.615
YOR208W	0.610
YML057W	0.545
YER075C	0.372
YBL056W	0.305
YGR072W	1.102
YHR077C	1.070
YPR129W	0.665
YLL043W	1.291
YCR098C	0.521
YER166W	0.401
YEL062W	0.667
YGR097W	1.259
YPL086C	0.545
YGL043W	0.472
YHR081W	0.750
YNL136W	0.718
YKR029C	0.368
YDR511W	0.390
YBR128C	0.359
YDR254W	0.457
YKL096W	0.742
YER044C	0.269
YER020W	0.261
YNL227C	0.684
YGL203C	0.635
YHR204W	0.719
YMR100W	0.807
YHL023C	0.592
YGL213C	0.638
YBR156C	0.656
YDL023C	0.688
YLR024C	0.805
YML106W	0.644
YIL008W	0.368
YKR042W	0.779
YDL096C	0.396
YKR073C	0.632
YOR309C	0.751
YDR349C	1.031
YGR078C	-2.909
YNL225C	-1.685
YML094W	-1.299
YOR349W	-1.090
YEL003W	-1.084
YER007W	-0.970
YLR200W	-0.939
YAL047C	-0.490
YER016W	-0.420
YJL080C	-1.299
YJR060W	-1.017
YMR294W	-0.700
YMR198W	-0.543
YNL271C	-0.469
YJL179W	-2.784
YNR031C	-1.416
YPL241C	-1.114
YNL307C	-0.894
YKL212W	-0.738
YBL007C	-0.702
YML124C	-0.672
YNL032W	-0.575
YCL029C	-0.565
YDR388W	-0.525
YJR083C	-0.354
YDR484W	-0.329
YLR320W	-1.361
YGL058W	-1.222
YNL250W	-0.944
YER116C	-0.892
YML032C	-0.811
YML061C	-0.753
