ORF	hap a | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008	hap alpha | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008	hom | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008
YBL017C	1.000	1.000	0.976
YJL053W	1.000	0.956	0.986
YOR132W	1.000	1.000	0.926
YHR012W	1.000	0.734	1.000
YPL120W	0.999	1.000	0.989
YAL002W	0.734	1.000	0.991
YJL154C	0.999	0.933	0.984
YOR069W	0.969	0.957	0.992
YLR360W	1.000	0.933	0.790
YOL129W	0.964	0.771	1.000
YDR495C	0.981	0.957	0.939
YGL095C	NaN	0.904	0.998
YOR068C	0.921	0.935	0.933
YGL212W	0.734	0.982	0.744
YLL040C	1.000	0.882	0.867
YML097C	0.909	0.771	0.959
YPL045W	0.818	0.548	0.990
YDR080W	0.996	0.788	0.843
YKR001C	0.967	0.614	0.883
YJR044C	0.732	0.878	0.823
YPL051W	NaN	0.894	0.687
YJR106W	1.000	0.623	0.657
YOR106W	0.893	0.645	0.909
YLR119W	0.945	0.752	0.620
YLR148W	0.823	0.429	0.977
YBR164C	0.805	0.492	0.987
YDL192W	0.827	NaN	0.565
YOR089C	0.785	1.000	0.002
YOL018C	0.803	0.563	0.897
YDR455C	0.850	0.646	0.794
YDR456W	0.745	0.815	0.824
YMR077C	0.827	NaN	0.691
YOR036W	0.808	0.701	0.784
YEL031W	0.614	NaN	0.828
YDR484W	0.751	0.344	0.920
YKL041W	0.874	0.384	0.752
YMR004W	0.747	0.517	0.709
YNR006W	0.782	0.593	0.745
YGR036C	0.778	0.469	0.756
YOL143C	NaN	NaN	0.695
YCL008C	0.827	0.457	0.497
YPR173C	0.887	0.624	0.639
YDR323C	0.027	0.665	0.928
YML001W	0.367	0.660	0.931
YBR097W	0.940	0.343	NaN
YEL053C	0.772	0.349	0.657
YDL077C	0.181	NaN	0.970
YJL004C	0.845	0.486	0.484
YGL223C	NaN	0.401	0.863
YLR039C	0.649	0.328	0.730
YPL065W	0.781	0.545	0.560
YNL041C	0.605	0.506	0.591
YDR136C	0.740	0.501	0.538
YLR417W	NaN	0.571	0.620
YPL195W	0.709	0.284	0.609
YLR261C	0.343	0.578	0.747
YPL002C	0.555	0.538	0.579
YHL031C	0.957	0.374	0.410
YKR020W	0.486	0.711	0.461
YKR019C	0.675	0.374	0.632
YOR070C	0.454	0.449	0.871
YLR262C	0.334	0.586	0.724
YJR102C	0.516	0.433	0.671
YAL016W	0.955	0.051	NaN
YHR039C-A	0.680	0.157	0.560
YBR127C	0.458	0.392	0.672
YGR261C	0.492	0.285	0.747
YML071C	0.509	0.236	0.713
YOR331C	0.485	0.106	0.631
YMR123W	0.470	0.247	0.726
YLR447C	0.634	0.248	0.469
YJL024C	0.511	0.396	0.561
YEL044W	0.427	0.193	0.809
YEL051W	0.539	0.205	0.572
