orf	hap a | transport to vacuoles (CPY) | standard | YPD | Schluter C~Conibear E, 2008	hap alpha | transport to vacuoles (CPY) | standard | YPD | Schluter C~Conibear E, 2008	hom | transport to vacuoles (CPY) | standard | YPD | Schluter C~Conibear E, 2008
YAL002W	-0.7343417894639384	-1.0	-0.9913162069518542
YAL004W	-0.032270126691415574	-0.012042737079975515	-0.010929817130446547
YAL005C	-0.003323369087386896	-0.020758259786784125	-0.028784000294666243
YAL007C	-0.011382355335668394	-0.006527237849509475	-0.004714461980446082
YAL008W	-0.0008369730436975476	-0.007603536305837113	-0.00015653487046500916
YAL009W	-0.0006857745735819321	-0.13307966389449982	-0.2643493196461866
YAL010C	0.0	-0.00827067677157284	0.0
YAL011W	-0.08109346813562873	-0.059203135833676965	-0.1903746353603028
YAL012W	-9.988612981903401e-05	-0.018539541704636762	-0.016795977303026313
YAL013W	0.0	-0.0024276195175560495	0.0
YAL014C	-0.08574568487569109	-0.04099814077325607	-0.22040612618904254
YAL015C	-0.0023562510989856103	-0.009844356581863145	-0.013002287132108412
YAL016W	-0.9547175276136455	-0.051080214206832536	
YAL017W	-0.001767188324246873	-0.011810346908709638	-0.012651700705336845
YAL018C	-0.00317390539828232	-0.039536830703011554	-0.017623984825330792
YAL019W	-0.003842096008443792	-0.012553686319110812	0.0
YAL020C	-0.000870406189558091	-0.011339908669607811	0.0
YAL021C	-0.0012410289958146715	-0.01144176413667165	-0.0011509916944445313
YAL022C	-0.0009011897133230499	-0.006730948783666751	0.0
YAL023C		-0.021781249980447268	-0.1261676561540719
YAL024C	-0.005360785412891687	-0.05595239892204662	-0.0006645263738952956
YAL026C	-0.00015825567081480653		-0.004834165116667026
YAL027W	0.0	-0.0187696665360691	-0.0002486142059948804
YAL028W	-0.004378406892921147	-0.005279957907478662	-0.002550597594916054
YAL029C		-0.0065478122209101895	0.0
YAL030W		-0.005635486542632065	-0.00517485865822389
YAL031C	-0.002646386495515194	-0.004028627754013545	-0.014272297011112177
YAL034C	-0.0010726217689240492	-0.005047375080550753	-0.025459936281106585
YAL035W	0.0	-0.014549246057129747	0.0
YAL036C	-0.002901353965173196	-0.009782239270835984	0.0
YAL037W	-0.009623944275783084	-0.010032763508600025	0.0
YAL039C	0.0		-0.00198759874286602
YAL040C	-0.0006769825918717016	-0.006578165583041395	-0.01205318502423211
YAL042C-A	-0.02323269672854497	-0.018105385021201577	-0.170155961721222
YAL042W	-0.019506325583276904	-0.020620904587940667	-0.14565161558797957
YAL044C	0.0	-0.0033648310956732393	-0.010947321625133802
YAL045C	-2.6375945130690742e-05	-0.004541569989620572	-0.049329297083981885
YAL046C	-0.001433093019166137	-0.009026547684892	-0.013178225166894908
YAL047C	-0.0761653456172224	-0.05459427704141776	-0.16184206723321098
YAL048C		-0.005099009218151153	-0.009042190751570362
YAL049C	-0.006013715491483906	-0.005465149463831414	-0.01267932450599581
YAL051W	-0.003367328995968709	-0.0066371295209095805	0.0
YAL053W	-0.03881883984402721	-0.01708316100731768	0.0
YAL054C	-0.016180492251593136	-0.022091233963376748	-0.01306663645325636
YAL055W	-0.0305822052557093	-0.003947348879675316	0.0
YAL056C-A	-0.14693592361531171	-0.0321736926847642	-0.05349297221574373
YAL056W	-0.033023968962306936	-0.006552701716275435	0.0
YAL058W	-0.08814375206268593	-0.01711293862393569	-0.04594033458188132
YAL059W	-0.002214828978303246	-0.004663295645418453	0.0
YAL060W	-0.005270031035656981	-0.005041845621080775	0.0
YAL061W	-0.014956520467575958	-0.005129039266183448	0.0
YAL062W	-0.011665060523948811	-0.00370158347883964	-0.0022651516546771133
YAL064C-A	-0.020760081607857604	-0.007426179114794367	-0.011716572944947996
YAL065C		-0.004827777729165422	-0.02688439197343851
YAL066W	-0.009301353842032484	-0.001839248959884392	0.0
YAL067C	-0.0034915655353979316	-0.002087328449936212	-0.01325021638644158
YAL068C	-0.07803509373808382	-0.005420198498259497	-0.021740058660051045
YAR002C-A	-0.09222342936047548	-0.03112812843491122	-0.028017047162560572
YAR002W	-0.014410058027084111	-0.009223318572856026	-0.04700556017057681
YAR003W	-0.010321786530661885	-0.011711252839304648	0.0
YAR014C	-0.10891401928403091	-0.0448656258080669	-0.23356472869088252
YAR015W	0.0	-0.0027197464707579993	
YAR018C	-0.045450078668386136	-0.034647238984395756	-0.09375154386797327
YAR020C	-0.0008528222261376306	-0.011871306064415936	0.0
YAR023C	-0.000527518902736463	-0.013079939565755311	0.0
YAR027W	0.0	-0.008063557811440495	-0.02136240584890333
YAR028W	-8.658341832279486e-05	-0.00825878079006832	0.0
YAR029W	-0.025547412044944515	-0.013699560323874987	0.0
YAR030C	-0.007086337260438616	-0.015684574891301206	0.0
YAR031W	-0.019845049903165043	-0.010209338672293634	0.0
YAR035W	-0.0026815544223561154	-0.00792787451632435	0.0
YAR042W	-0.0005099349393313337	-0.0053544528391506275	0.0
YAR047C	-0.0004220151222137002	-0.010104075179254726	0.0
YAR050W	-0.023245214220600195	-0.016993693239540877	-0.007137180733044442
YBL001C	-0.03033172421677087	-0.018000421969801103	-0.0025819580130274967
YBL002W	-0.0065318277794873545	-0.018532206633046937	-0.0066965170598859355
YBL003C	-0.08905177658601662	-0.012370548926409401	-0.003295524218273808
YBL005W	-0.029775564691760962	-0.010218165595473424	-0.06782677743564858
YBL006C	-0.04174314704070523	-0.029307319857151775	-0.003627631310034152
YBL007C	-0.05313688257337385	-0.028126175368282914	0.0
YBL008W	-0.03442208098818713	-0.014433217374110761	-0.003116697322699124
YBL009W	-0.04200754242515637	-0.009286864301135393	-0.0027776820894022413
YBL010C	-0.050706163552172036	-0.008684014913016461	-0.012415695892077845
YBL011W	-0.02159909384198279	-0.005683591325003926	-0.012764489626980189
YBL012C	-0.0028706219835465036	-0.009027987228381216	-0.0075841117643733625
YBL013W	-0.01076379151163348	-0.017407286916771316	-0.01717302223027002
YBL015W	-0.025432863589719856	-0.014233143343845527	-0.010367195034452943
YBL016W	-0.0960028482011602	-0.01577989826037052	
YBL017C	-1.0	-1.0	-0.975768109277631
YBL019W	-0.02072135284502607	-0.005875881518127098	-0.0077917433067626555
YBL021C	-0.0028832372254366536	-0.010871370074545741	-0.04440671229939834
YBL022C	-0.10527122014009602	-0.03454616507723837	-0.012364602493359191
YBL024W	-0.007556484745492283	-0.009770105327480138	-0.000723823148722148
YBL025W	-0.0007057970738065125	-0.003343690932796221	
YBL027W	-0.0022255915775295588	-0.005056189411932952	-0.01130735661052895
YBL028C	-0.013035166938832814	-0.006178403643181182	-0.009138676279609874
YBL029W	-0.0196672354207231	-0.020619413025609986	-0.013212901191452383
YBL031W	-0.010607979734019167	-0.007418777201110922	-0.004994408409391585
YBL032W	-0.008615871684917968		-0.031058763245386332
YBL033C	-0.04002551154719519		-0.005470143548815299
YBL036C	-0.012424585847136906	-0.010630798846085737	-0.014209313321187729
YBL037W	-0.04069278146606511	-0.01372648719861764	-0.006262390610754133
YBL038W	-0.00693001612201266	-0.0031112560267216064	0.0
YBL039C	-0.009461070322726008	-0.016395183811111796	-0.009937666053540082
YBL042C	-0.0020249325022382164	-0.016358283244893936	-0.011500100253204274
YBL043W	-0.012071573466149751	-0.026393951169943086	-0.006676204101108405
YBL044W		-0.014255621813181012	-0.008251909165937247
YBL045C	-0.0023915869471041987	-0.0030605647929377836	-0.005196337378931654
YBL046W	-0.015740414159554607	-0.011054835317145816	-0.024309621947476705
YBL047C	-0.008033065564481976	-0.03931405722946311	-0.0015640416246402778
YBL048W	-0.0093913536215463	-0.028532633717054605	-0.008359922878756462
YBL049W	-0.01247458418051187	-0.03523752833490768	-0.008472409717291633
YBL051C	-0.04540111019095446	-0.025933559203131874	-0.008005828427234147
YBL052C	-0.010805248039932032	-0.03493941051389347	-0.012477146698359285
YBL053W	-0.0022522494567136634	-0.019615013807003374	-0.009963212752929105
YBL054W	-0.009895038028212594	-0.03781548705567999	-0.014536071939495932
YBL055C	-0.012152884229080878	-0.18927154333455376	-0.007016826759321856
YBL056W	-0.010975085529227597	-0.01996974621736923	-0.005092308740384665
YBL057C	-0.030024721360580122	-0.005556334512520248	-0.01297360891102256
YBL058W	-0.08100289119226725	-0.04313321176028499	-0.1128746022604998
YBL059W	-0.008162388719288597	-0.01748803970057237	-0.01317561446617417
YBL060W	-0.01691162878637103	-0.01659998194570804	-0.014533909487067762
YBL061C	-0.01689110362988335	-0.017531418626477127	-0.007425353801869249
YBL062W	-0.0194406011336471		-0.005291816962946938
YBL063W	-0.02801700223174441	-0.0062999979392458555	-0.007629803982474306
YBL064C		-0.009592468910236395	-0.006048831688955248
YBL065W	-0.0052784349751980155	-0.008677384824452126	-0.00643776824033226
YBL066C	-0.004319168823915238	-0.009240761785250014	-0.005024184208730095
YBL067C	-0.009499683343887781	-0.020125166766780816	-0.006199332379585811
YBL068W	-0.010167490016179042	-0.016253439531686016	-0.007604400844734866
YBL069W	-0.0063291785557332125	-0.012912087018580485	-0.012055119033693858
YBL070C	-0.003031020608937462	-0.01907813444916602	-0.0051774644049454545
YBL071C	-0.0035415711825688293	-0.011867704749648158	-0.004468686986429652
YBL072C	-0.00625812472920576	-0.0126691546190995	-0.011863781887820595
YBL075C	-0.007899736675423945	-0.013197471627947545	-0.014252216424041187
YBL078C	-0.02709775957144082	-0.018526832994383846	-0.024930521562282034
YBL079W	-0.009114235799449782		-0.013063940949730036
YBL080C	-0.001099963334539826		0.0
YBL081W	-0.004480949709695497	-0.011510455914553002	-0.006284488044146601
YBL082C	-0.03173678909417904		-0.05489985693848795
YBL083C	-0.05553772220232465	-0.057292147171587274	-0.029804482594196827
YBL085W		-0.016915276376184438	-0.005333624570802982
YBL086C	-0.006947985507233648	-0.012931394882418085	-0.0039038131187231874
YBL087C	-0.0025082497250081773	-0.014458970912622146	-0.003923221900985059
YBL088C	-0.003356884267238256	-0.01838370504986268	-0.002981184995869495
YBL089W	-0.01714109529681629	-0.018698366288576757	-0.0016023329904318966
YBL090W	-4.1665277812470065e-05		
YBL091C	-0.007991400286669505	-0.011402033674289415	-0.002912323727765113
YBL091C-A	-0.01994617354691174	-0.010097855729334065	-0.0096116551948572
YBL093C	-0.21316355426391437		
YBL094C	-0.08170998791125696	-0.012027369702982254	-0.00022227541636650027
YBL095W	-0.01633058067444451	-0.0062899580125326945	-0.012194708732463904
YBL096C	-0.015786016214208633	-0.0056384724966384156	-0.011185478667752397
YBL098W		-0.004390458815057211	-0.007939631388181993
YBL099W	-0.006945472439356328		0.0
YBL100C	-0.01700801288214192		
YBL101C	-0.09349970019047203	-0.0046109716803547154	-0.028540066118440236
YBL102W	-0.045193110637645764	-0.011464235115746055	-0.032882423004917616
YBL103C	-0.030970173742765915	-0.0033907679672698695	-0.054639804639836954
YBL104C	-0.007182069303712074	-0.003850786755952857	-0.0046282116726389655
YBL106C		-0.0036692412506976646	-0.0028330781010546
YBL107C	-0.12494807736086569	-0.0023330749464199477	-0.006108558788517625
YBR001C	-0.0519224306122176	-0.0037105282141452808	-0.011340820146320636
YBR003W	-0.007672562139665765		0.0
YBR005W	-0.019431463528182792	-0.015005417993717145	-0.012422081981451718
YBR006W	-0.03897521041496373	-0.05029783389585875	-0.07358139917536997
YBR007C	-0.05858897877447945	-0.007657103274585854	-0.01023481368047759
YBR008C	-0.0517489331949106	-0.004028438052535657	-0.009733348116615873
YBR009C	-0.04467397657998454	-0.002065351393253974	-0.0043644716692202885
YBR010W	-0.019998616905384875	-0.002669653691781678	-0.01097498723838725
YBR012C	-0.02677234924031751	-0.007424715490099016	-0.015637229879197787
YBR013C	-0.01250023128024623	-0.007903479004088826	-0.007274119448690591
YBR014C	-0.039661461950666194	-0.004556870308848811	-0.01309341500766087
YBR015C	-0.04498492862933905	-0.03736932575523376	-0.10660200782714185
YBR016W	-0.01956222547866686	-0.0057037653229136814	-0.014877025033062997
YBR018C	-0.02003413249687877	-0.0092898524711675	-0.013212523396291032
YBR019C	-0.021774521576907773	-0.006162127095002224	-0.006721116215783906
YBR020W	-0.009306910179639825	-0.003921492356584095	-0.008825218465680733
YBR021W	-0.005787140946969398	-0.9011854755904126	
YBR022W	-0.023843802190295093	-0.005895328746086548	-0.008192955589590005
YBR023C	-0.02091747114167648	-0.006924970058560232	-0.009165595011949919
YBR024W	-0.022610427665933575	-0.01071283193969752	-0.004806874255569376
YBR025C	-0.016929600985025797	-0.007378457476917627	-0.0017951335715546942
YBR026C	-0.013710269284973558		-0.15957083224466048
YBR027C	-0.029321629446751468	-0.008088145150707417	-0.01268504338948335
YBR028C	-0.01136626407439149	-0.01046628369584796	-0.010166751744104781
YBR030W	-0.011328198889932244	-0.009782507234179314	-0.010124213033860645
YBR031W	-0.019180135020488195	-0.007579576215817916	-0.013884635017857557
YBR032W	-0.00919840714296591	-0.005523607623977321	-0.01651494415296931
YBR033W		-0.003928389633179422	-0.01712608473711934
YBR034C	-0.0069629979124006085	-0.00742700762309159	-0.025591288072141248
YBR035C	-0.02019410396909024	-0.07761535425848862	-0.014078334702817037
YBR036C	-0.0015830946832545991	-0.001018698190435932	-0.0013548562498993822
YBR037C	-0.0027659688005577717		-0.01506203500647999
YBR038W			-0.0118512846690722
YBR039W	-0.04091024382096582	-0.00019314962652358913	
YBR040W	-0.015226794572994794	-0.012131613925941472	-0.03305555187979363
YBR041W	-0.013611103224683563	-0.00984414099871973	-0.01926846517523026
YBR042C	-0.014901459364328202	-0.005877950949587112	-0.01272615189012819
YBR043C	-0.03909442473478729	-0.00777528218043583	-0.007070144161103435
YBR044C	-0.024030848787976206	-0.00793428544759128	-0.009449710489469425
YBR045C	-0.01692433202478128	-0.009063754317199985	-0.021963140424798154
YBR046C	-0.014594316811938195	-0.005358390544638018	-0.009983965612961618
YBR047W	-0.03429273106167501	-0.004360066625666561	-0.012453118866020931
YBR048W	-0.009901579516905956	-0.0025251767901114776	-0.0074630858896713
YBR050C	-0.011408633186207108	-0.00423913298477247	-0.05389844055022589
YBR051W	-0.00515729040555419	-0.007529831655150603	-0.004574963098521517
YBR052C	-0.0028015439619701625	-0.010193071549965045	-0.00299812027689549
YBR053C	-0.005442999697584565	-0.007464366314487693	-0.020521088172931995
YBR054W	-0.007319589462615455	-0.004034140914678688	-0.03358848205439282
YBR056W	-0.01386541916432531	-0.004189291728143586	-0.01888164026591025
YBR057C	-0.03872756332884778	-0.006581203948898226	-0.00422834779650434
YBR058C	-0.011863538946767276	-0.003715112480138925	-0.00783774900517346
YBR059C	-0.032861795847245856	-0.014885795241884164	-0.032492898073755175
YBR061C	-0.029840513882040585	-0.01310198300288832	
YBR062C	-0.050325789727171395	-0.014604270542650313	-0.017554333929351428
YBR063C		-0.002408288994692367	-0.01626274941618085
YBR064W	-0.006129382287105143	-0.004854668493116485	-0.010683872756262503
YBR065C	-0.002126571992335096	-0.0033991288685364923	-0.029363465844231145
YBR066C		-0.006804057295210141	-0.02869360646857201
YBR067C	-0.00812003059461136	-0.008988050196430744	-0.020904778650991804
YBR068C	-0.01534178836334274	-0.005115011290059037	-0.00901820656798793
YBR069C	-0.016419628782323625	-0.004472080067280917	-0.005921388463514655
YBR071W	-0.013870872791282199	-0.006019576420161025	-0.010915566708490778
YBR072W	-0.018002783035527735	-0.008296451253949034	-0.012625489195153437
YBR073W	-0.014511877987588191	-0.007224866984044545	-0.020410424035755034
YBR074W	-0.01197836085694346	-0.005234933469615174	-0.018711814742972944
YBR076W	-0.01308702784142967	-0.00345540479967661	-0.012063480320098251
YBR077C	-0.004419525774011738	-0.0016454460311343612	-0.0007951898442731238
YBR078W	-0.004746130369085521	-0.0036725552838369965	-0.01793828338225385
YBR081C	-0.016787954508763765	-0.002630363512788565	
YBR082C	-0.021041924430573747	-0.011041720319408692	
YBR083W	-0.042652402543950134	-0.011065731096948212	-0.018779062827772985
YBR084C-A	-0.0762356527762536	-0.017155666697026804	-0.01864897056321247
YBR084W	-0.009163698359054801	-0.0069487849117659565	-0.03269628622777846
YBR085W	-0.024643351180707068	-0.004719419359380204	
YBR089C-A	0.0	-0.005132854536747733	-0.021690759659942643
YBR090C	-0.054248934177786354	-0.022391651088056963	-0.00884805172707074
YBR092C	0.0	-0.007755249281467461	-0.006099046876485018
YBR093C	0.0	-0.0038558362485778316	-0.010214306909084626
YBR094W	0.0	-0.007083090160634752	-0.002350518852062269
YBR095C	-0.008229944808943386	-0.0052275611136794785	
YBR096W		-0.01125856886028037	
YBR097W	-0.9401151447932629	-0.34280502563810433	
YBR098W	-0.006055572238128543	-0.010399288966328052	-0.011431187492229667
YBR099C	-6.0888361172801455e-05	-0.013775838401507347	-0.005071265299060216
YBR101C	-0.013642957177932917	-0.007017442527451954	-0.007531592803624859
YBR103W	-0.011047372133145647	-0.016632012868270856	-0.0919760216730672
YBR104W	0.0	-0.004718528771277521	-0.015231987852995644
YBR105C	-0.0016439857520903361	-0.004324041112573571	-0.012217293124786888
YBR106W	-9.133254175920221e-05	-0.026602969432880395	-0.2976120228411435
YBR107C	-0.047869034167408585	-0.011257009589838244	-0.009995175969078961
YBR108W	-0.03548010583118665	-0.013485154090020376	-0.009407159443723168
YBR111C	-0.036461637277736506	-0.007817342316354385	
YBR112C	-0.015255158431288735		
YBR113W	0.0	-0.010039575409577787	-0.06787767912322555
YBR114W	-6.814000497796125e-05	-0.007580599136640009	-0.06868469072148821
YBR115C	-0.026657079987093952	-0.006189389891295011	
YBR116C	-0.034970027911889065	-0.0038765804518178884	-0.013622821034960274
YBR117C		-0.004172215794648299	
YBR119W	-0.039840678444805135	-0.0008031937105986244	-0.002483458237516098
YBR120C	0.0	-0.018908821794115734	-0.015819218106075353
YBR121C	0.0		
YBR122C	-0.010951126973631245		
YBR125C		-0.012109672395786496	-0.02193295899268872
YBR126C	0.0	-0.01611398934899035	-0.008830687685181226
YBR127C	-0.458180726838882	-0.3917626205230607	-0.6724752538914986
YBR128C	-6.814000497796125e-05		-0.11327428804088684
YBR129C	0.0	-0.004436773603378689	-0.03814285376622433
YBR130C	-0.0005784394313008756	-0.004303020724374074	-0.011092195096268782
YBR131W	-0.7036539342417166	-0.07877982569192811	-0.3887034946302155
YBR132C	0.0	-0.0057046098254983305	
YBR133C	-3.044418058640073e-05	-0.005624436597573831	-0.0020710111097201407
YBR134W	-0.00042621852831578453	-0.0010704310378499692	-0.0063446653913063105
YBR137W	0.0	-0.0020112316730964462	-0.015095066515843093
YBR138C	0.0	-0.0027735823969610887	-0.0056925806282880865
YBR139W	-0.010659976550413782	-0.002541576096941759	-0.009812668866329343
YBR141C	-0.006787406874865342	-0.002649303277293938	-0.015791559075050053
YBR144C	-0.00747268721464262	-0.00038383937213480265	-0.012891201297326207
YBR145W	-0.012771517490248815	-0.00830300521606355	-0.01968711652601743
YBR146W	-0.000306630022519645		-0.017448424036441236
YBR147W	0.0	-0.008170111908506087	-0.022325208204639447
YBR148W	-3.044418058640073e-05	-0.009571432578872462	-0.00828404443900298
YBR149W	0.0	-0.00930771883320676	-0.0055811994313559555
YBR150C	-0.10712982409341795	-0.006939329540258848	-0.012906244682687567
YBR151W	-0.0001826650835714915	-0.007701078489730072	-0.0056689541393716006
YBR156C	-0.0028592942708826116	-0.0075134387579663805	-0.00673078610666697
YBR157C	-0.006473300474688611	-0.005976253568375786	-0.032468449189434624
YBR158W	-0.012515047584437585	-0.00696148280527565	-0.014403872622790853
YBR159W	-0.033765364350447455	-0.006876249987788709	-0.0041988622356018655
YBR161W	0.0	-0.0086626155740584	-0.006965374392661121
YBR162C	-0.007458558266395046	-0.008217212274456171	-0.005861929220409642
YBR162W-A	-0.0065300838122098505	-0.028747985001648338	-0.07483022308567373
YBR163W	0.0	-0.012997503616531035	0.0
YBR164C	-0.8050778529723215	-0.4923784262840527	-0.9873435387599003
YBR165W	-0.03230375062288291	-0.009345306669080991	
YBR166C	-0.031247737888630257	-0.005406602165773286	
YBR168W	-0.06344425559847862	-0.00835874493818438	-0.01926946765860195
YBR169C	-0.02637635218225911	-0.006093086694860865	-0.012200102092919801
